#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,Legionärin 3. Klasse,Legionärinnen 3. Klasse,Legionärin,Legionärin 3. Klasse,3,1,0,1,1,0
2,Legionärin 2. Klasse,Legionärinnen 2. Klasse,Legionärin,Legionärin 2. Klasse,3,1,0,1,1,0
3,Legionärin 1. Klasse,Legionärinnen 1. Klasse,Legionärin,Legionärin 1. Klasse,3,1,0,1,1,0
4,Phönixlegionärin,Phönixlegionärinnen,Phönixlegionärin,Phönixlegionärin,3,1,0,1,1,0
5,Legionsgefreite 3. Klasse,Legionsgefreite 3. Klasse,Legionsgefreite,Legionsgefreite 3. Klasse,8,2,0,1,1,0
6,Legionsgefreite 2. Klasse,Legionsgefreite 2. Klasse,Legionsgefreite,Legionsgefreite 2. Klasse,8,2,0,1,1,0
7,Legionsgefreite 1. Klasse,Legionsgefreite 1. Klasse,Legionsgefreite,Legionsgefreite 1. Klasse,8,2,0,1,1,0
8,Phönixgefreite,Phönixgefreite,Phönixgefreite,Phönixgefreite,8,2,0,1,1,0
9,Zweiter Legionsfähnrich,Zweite Legionsfähnriche,Legionsfähnrich,Zweiter Legionsfähnrich,4,2,0,1,0,0
10,Erster Legionsfähnrich,Erste Legionsfähnriche,Legionsfähnrich,Erster Legionsfähnrich,4,2,0,1,0,0
11,Phönixfähnrich,Phönixfähnriche,Phönixfähnrich,Phönixfähnrich,4,2,0,1,0,0
12,Zweite Legionshauptmann,Zweite Legionshauptmänner,Legionshauptmann,Zweite Legionshauptmann,3,1,0,1,1,0
13,Erste Legionshauptmann,Erste Legionshauptmänner,Legionshauptmann,Erste Legionshauptmann,3,1,0,1,1,0
14,Phönixhauptmann,Phönixhauptmänner,Phönixhauptmann,Phönixhauptmann,3,1,0,1,1,0
15,Major der Legion,Majore der Legion,Major,Major der Legion,4,2,0,1,0,0
16,Oberst der Legion,Obersts der Legion,Oberst,Oberst der Legion,4,1,0,1,0,0
17,Generalmajor der Legion,Generalmajore der Legion,Generalmajor,Generalmajor der Legion,4,2,0,1,0,0
18,General der Legion,Generäle der Legion,General,General der Legion,4,2,0,1,0,0
19,Phönixgeneral,Phönixgeneräle,Phönixgeneral,Phönixgeneral,4,2,0,1,0,0
