#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown4,SortKey,FontColor,Unknown3,Category,Unknown1,Unknown2
0,Nichts,0,0,0,0,0,0,0,0,0,True,True
1,,0,0,0,0,0,0,0,0,0,False,False
2,Schwarz,193002,1,0,0,0,1,1,0,1,True,True
3,Weiß,193003,1,0,0,0,2,2,0,1,True,True
4,Violett,193004,1,0,0,0,5,1,0,1,True,True
5,Abgestufter Verteidiger,193005,1,0,0,0,6,1,0,1,True,True
6,Abgestufter Angreifer,193006,1,0,0,0,8,1,0,1,True,True
7,Abgestufter Heiler,193007,1,0,0,0,7,1,0,1,True,True
8,Elfenbein,193008,1,0,0,0,4,2,0,1,True,True
9,Transparent,193009,1,0,0,0,10,1,0,1,True,True
10,Beige,193010,1,0,0,0,3,2,0,1,True,True
11,Angestuftes Rosa,193011,1,0,0,0,9,2,0,1,True,True
12,,0,0,0,0,0,0,0,0,0,False,False
13,,0,0,0,0,0,0,0,0,0,False,False
14,,0,0,0,0,0,0,0,0,0,False,False
15,,0,0,0,0,0,0,0,0,0,False,False
16,,0,0,0,0,0,0,0,0,0,False,False
17,,0,0,0,0,0,0,0,0,0,False,False
18,,0,0,0,0,0,0,0,0,0,False,False
19,,0,0,0,0,0,0,0,0,0,False,False
20,,0,0,0,0,0,0,0,0,0,False,False
21,,0,0,0,0,0,0,0,0,0,False,False
22,,0,0,0,0,0,0,0,0,0,False,False
23,,0,0,0,0,0,0,0,0,0,False,False
24,,0,0,0,0,0,0,0,0,0,False,False
25,,0,0,0,0,0,0,0,0,0,False,False
26,,0,0,0,0,0,0,0,0,0,False,False
27,,0,0,0,0,0,0,0,0,0,False,False
28,,0,0,0,0,0,0,0,0,0,False,False
29,,0,0,0,0,0,0,0,0,0,False,False
30,,0,0,0,0,0,0,0,0,0,False,False
31,,0,0,0,0,0,0,0,0,0,False,False
32,,0,0,0,0,0,0,0,0,0,False,False
33,,0,0,0,0,0,0,0,0,0,False,False
34,,0,0,0,0,0,0,0,0,0,False,False
35,,0,0,0,0,0,0,0,0,0,False,False
36,,0,0,0,0,0,0,0,0,0,False,False
37,,0,0,0,0,0,0,0,0,0,False,False
38,,0,0,0,0,0,0,0,0,0,False,False
39,,0,0,0,0,0,0,0,0,0,False,False
40,,0,0,0,0,0,0,0,0,0,False,False
41,,0,0,0,0,0,0,0,0,0,False,False
42,,0,0,0,0,0,0,0,0,0,False,False
43,,0,0,0,0,0,0,0,0,0,False,False
44,,0,0,0,0,0,0,0,0,0,False,False
45,,0,0,0,0,0,0,0,0,0,False,False
46,,0,0,0,0,0,0,0,0,0,False,False
47,,0,0,0,0,0,0,0,0,0,False,False
48,,0,0,0,0,0,0,0,0,0,False,False
49,,0,0,0,0,0,0,0,0,0,False,False
50,,0,0,0,0,0,0,0,0,0,False,False
51,,0,0,0,0,0,0,0,0,0,False,False
52,Companion-App 1,193901,154,1032,1034,1036,4000,1,0,7,True,True
53,Companion-App 2,193902,155,1033,1035,1037,4001,1,0,7,True,True
54,Schatten von Bahamut (fatal),193701,319,0,0,0,2500,1,0,4,True,True
55,Heldenlied von Ultima (fatal),193702,320,0,0,0,2501,1,0,4,True,True
56,Alexander (fatal),193703,321,0,0,0,2502,2,0,4,True,True
57,Drachenkrieg (fatal),193704,322,0,0,0,2503,1,0,4,True,True
58,Aufträge der Omikron,193966,344,0,0,0,2315,1,0,3,True,True
59,Kaffeepause,193012,1,0,0,0,11,1,0,1,True,True
60,Geometrisch: Kreise,193013,1,0,0,0,12,1,0,1,True,True
61,Musik,193014,347,0,0,0,13,1,0,7,True,True
62,Fernöstlich,193015,1,0,0,0,14,1,0,1,True,True
63,Aufträge der Pixies,193962,429,0,0,0,2311,1,0,3,True,True
64,Aufträge der Qitari,193963,430,0,0,0,2312,1,0,3,True,True
65,Aufträge der Zwerge,193964,431,0,0,0,2313,1,0,3,True,True
66,Aufträge der Arkasodara,193965,432,0,0,0,2314,1,0,3,True,True
67,Aufträge der Loporrit,193967,433,0,0,0,2316,1,0,3,True,True
68,Omega (fatal),193705,434,0,0,0,2504,1,0,4,True,True
69,Tiefes Gewölbe: Eureka Orthos 1,193710,465,0,0,0,2358,1,0,4,True,True
70,Tiefes Gewölbe: Eureka Orthos 2,193711,466,0,0,0,2359,1,0,4,True,True
71,Die vier Tierheiligen,193712,467,0,0,0,2251,2,0,3,True,True
72,Inselparadies 1,193713,468,0,0,0,2340,2,0,8,True,True
73,Inselparadies 2,193714,469,0,0,0,2341,1,0,8,True,True
74,Aufträge der Kojin,193960,524,0,0,0,2308,1,0,3,True,True
75,Aufträge der Ananta,193959,525,0,0,0,2309,1,0,3,True,True
76,Aufträge der Namazuo,193961,526,0,0,0,2310,1,0,3,True,True
77,Das Ende einer Ära,193715,527,0,0,0,2250,1,0,3,True,True
78,10. Jubiläum,193716,523,0,0,0,3950,1,0,7,True,True
79,Fischer auf großer Fahrt,193717,529,0,0,0,2346,1,0,8,True,True
80,Kapitalbeschaffung,193718,530,0,0,0,2347,1,0,8,True,True
81,Mahjong-Profi,193719,531,0,0,0,2350,1,0,8,True,True
82,Aufträge der Vanu Vanu,193956,567,0,0,0,2305,1,0,3,True,True
83,Aufträge der Gnath,193957,568,0,0,0,2306,1,0,3,True,True
84,Aufträge der Mogrys,193958,569,0,0,0,2307,1,0,3,True,True
85,Mythen Eorzeas: Halone,193723,572,0,0,0,2252,2,0,3,True,True
86,Mythen Eorzeas: Menphina,193724,572,0,0,0,2253,2,0,3,True,True
87,Mythen Eorzeas: Thaliak,193725,572,0,0,0,2254,2,0,3,True,True
88,Mythen Eorzeas: Nymeia,193726,572,0,0,0,2255,2,0,3,True,True
89,Mythen Eorzeas: Llymlaen,193727,572,0,0,0,2256,2,0,3,True,True
90,Mythen Eorzeas: Oschon,193728,572,0,0,0,2257,2,0,3,True,True
91,Mythen Eorzeas: Byregot,193729,572,0,0,0,2258,2,0,3,True,True
92,Mythen Eorzeas: Rhalgr,193730,572,0,0,0,2259,2,0,3,True,True
93,Mythen Eorzeas: Azeyma,193731,572,0,0,0,2260,2,0,3,True,True
94,Mythen Eorzeas: Nald'thal,193732,572,0,0,0,2261,2,0,3,True,True
95,Mythen Eorzeas: Nophica,193733,572,0,0,0,2262,2,0,3,True,True
96,Mythen Eorzeas: Althyk,193734,572,0,0,0,2263,2,0,3,True,True
97,Tatarus Wohlstandsmanufaktur,193722,573,0,0,0,2242,1,0,3,True,True
98,Khloes Abenteueralbum,193720,570,0,0,0,2351,2,0,8,True,True
99,Traumtafel,193721,571,0,0,0,2352,1,0,8,True,True
100,Stolperville 1,193735,575,0,0,0,3951,1,0,7,True,True
101,Stolperville 2,193736,576,0,0,0,3952,1,0,7,True,True
102,Stolperville 3,193737,577,0,0,0,3953,1,0,7,True,True
103,Yo-kai Watch,193738,607,0,0,0,3954,1,0,7,True,True
104,Aufträge der Kobolde,193954,694,0,0,0,2302,1,0,3,True,True
105,Aufträge der Sylphen,193952,695,0,0,0,2301,1,0,3,True,True
106,Aufträge der Amalj'aa,193951,696,0,0,0,2300,1,0,3,True,True
107,Aufträge der Sahagin,193955,697,0,0,0,2303,1,0,3,True,True
108,Aufträge der Ixal,193953,698,0,0,0,2304,1,0,3,True,True
109,Tuliyollal 1,193662,701,0,0,0,1036,1,0,9,True,True
110,Tuliyollal 2,193663,702,0,0,0,1037,1,0,9,True,True
111,Lösung Neun 1,193664,699,0,0,0,1038,1,0,9,True,True
112,Lösung Neun 2,193665,700,0,0,0,1039,2,0,9,True,True
113,Aufträge der Pelupelu,193968,767,0,0,0,2317,1,0,3,True,True
114,Ishgard 1,193654,768,0,0,0,1020,2,0,9,True,True
115,Ishgard 2,193672,769,0,0,0,1021,1,0,9,True,True
116,Frohehalde 1,193655,770,0,0,0,1022,2,0,9,True,True
117,Frohehalde 2,193673,771,0,0,0,1023,1,0,9,True,True
118,Kugane 1,193656,772,0,0,0,1024,1,0,9,True,True
119,Kugane 2,193668,773,0,0,0,1025,2,0,9,True,True
120,Rhalgrs Wacht 1,193657,774,0,0,0,1026,1,0,9,True,True
121,Rhalgrs Wacht 2,193669,775,0,0,0,1027,2,0,9,True,True
122,Crystarium 1,193658,776,0,0,0,1028,2,0,9,True,True
123,Crystarium 2,193670,777,0,0,0,1029,1,0,9,True,True
124,Eulmore 1,193659,778,0,0,0,1030,1,0,9,True,True
125,Eulmore 2,193671,779,0,0,0,1031,1,0,9,True,True
126,Alt-Sharlayan 1,193660,780,0,0,0,1032,1,0,9,True,True
127,Alt-Sharlayan 2,193666,781,0,0,0,1033,2,0,9,True,True
128,Radz-at-Han 1,193661,782,0,0,0,1034,1,0,9,True,True
129,Radz-at-Han 2,193667,783,0,0,0,1035,1,0,9,True,True
130,Eine zweite Zukunft,193739,872,0,0,0,2505,2,0,4,True,True
131,Aufträge der Mamool Ja,193969,873,0,0,0,2318,1,0,3,True,True
132,Tiefes Gewölbe: Palast der Toten 1,193706,874,0,0,0,2354,1,0,4,True,True
133,Tiefes Gewölbe: Palast der Toten 2,193707,875,0,0,0,2355,2,0,4,True,True
134,Tiefes Gewölbe: Himmelssäule 1,193708,876,0,0,0,2356,1,0,4,True,True
135,Tiefes Gewölbe: Himmelssäule 2,193709,877,0,0,0,2357,1,0,4,True,True
136,Kreszentia,193740,879,0,0,0,2403,1,0,4,True,True
137,Kosmo-Erkundung 1,193741,878,0,0,0,2343,1,0,8,True,True
138,Monster Hunter Wilds 1,193742,943,0,0,0,3955,1,0,7,True,True
139,Monster Hunter Wilds 2,193743,944,0,0,0,3956,2,0,7,True,True
140,Aufträge der Yok Huy,193970,938,0,0,0,2319,1,0,3,True,True
141,Tiefes Gewölbe: Pilgers Pfad 1,193744,941,0,0,0,2401,1,0,4,True,True
142,Tiefes Gewölbe: Pilgers Pfad 2,193745,942,0,0,0,2402,1,0,4,True,True
143,Kosmo-Erkundung 2,193746,940,0,0,0,2344,1,0,8,True,True
144,Inselparadies 3,193747,939,0,0,0,2342,2,0,8,True,True
145,Kosmo-Erkundung 3,193748,1020,0,0,0,2345,2,0,8,True,True
146,Schlichter Stil 1,193016,1044,0,0,0,15,2,0,7,True,True
147,Schlichter Stil 2,193017,1045,0,0,0,16,2,0,7,True,True
