#,ItemPossibleReward[0],ItemPossibleReward[1],ItemPossibleReward[2],ItemPossibleReward[3],PreviousQuest[0],PreviousQuest[1],PreviousQuest[2],DefaultTalkChallenge,DefaultTalkUnavailable,DefaultTalkNPCWin,DefaultTalkDraw,DefaultTalkPCWin,TripleTriadCardFixed[0],TripleTriadCardFixed[1],TripleTriadCardFixed[2],TripleTriadCardFixed[3],TripleTriadCardFixed[4],TripleTriadCardVariable[0],TripleTriadCardVariable[1],TripleTriadCardVariable[2],TripleTriadCardVariable[3],TripleTriadCardVariable[4],Fee,StartTime,EndTime,TripleTriadRule[0],TripleTriadRule[1],PreviousQuestJoin,UsesRegionalRules,Unknown0
2293760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False
2293761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False
2293762,9808,9785,9773,14198,0,0,0,592042,592043,592044,592045,592046,37,14,1,0,0,21,2,7,12,0,10,0,0,2,0,1,False,True
2293763,9786,9791,0,0,0,0,0,592047,592048,592049,592050,592051,23,3,4,0,0,26,11,15,20,0,10,0,0,2,4,1,True,False
2293764,9787,9779,0,0,0,0,0,592052,592053,592054,592055,592056,36,7,10,0,0,24,16,8,0,0,10,0,0,2,0,1,False,False
2293765,9780,9776,0,0,0,0,0,592057,592058,592059,592060,592061,26,9,13,0,0,25,15,5,6,0,10,0,0,2,0,1,False,False
2293766,9798,9784,0,0,0,0,0,592062,592063,592064,592065,592066,38,26,6,0,0,27,13,11,8,0,15,0,0,3,6,1,True,False
2293767,9801,9783,0,0,66046,0,0,592067,592068,592069,592070,592071,30,29,15,0,0,35,28,11,12,5,15,0,0,3,0,1,False,False
2293768,9779,15615,0,0,0,0,0,592072,592073,592074,592075,592076,22,28,13,0,0,26,4,7,8,0,15,0,0,3,0,1,False,False
2293769,9799,0,0,0,66046,0,0,592077,592078,592079,592080,592081,28,30,14,0,0,36,29,13,10,8,15,0,0,3,0,1,False,False
2293770,9807,0,0,0,0,0,0,592082,592083,592084,592085,592086,45,36,14,0,0,23,13,18,5,6,15,0,0,3,0,1,False,False
2293771,9775,0,0,0,0,0,0,592087,592088,592089,592090,592091,13,7,2,5,4,0,0,0,0,0,5,0,0,2,0,1,True,False
2293772,9830,9786,0,0,0,0,0,592092,592093,592094,592095,592096,38,33,2,0,0,59,26,14,12,15,20,0,0,3,0,1,False,False
2293773,9798,9783,0,0,0,0,0,592097,592098,592099,592100,592101,51,24,37,0,0,27,20,16,12,0,20,0,0,3,8,1,True,False
2293774,9806,9795,0,0,0,0,0,592102,592103,592104,592105,592106,56,24,35,0,0,44,30,10,18,14,20,0,0,3,0,1,False,False
2293775,9812,9791,0,0,66053,0,0,592107,592108,592109,592110,592111,41,34,2,0,0,49,26,22,20,0,20,0,0,3,0,1,False,False
2293776,9804,9792,0,0,66503,0,0,592112,592113,592114,592115,592116,54,33,19,0,0,37,25,15,13,20,20,0,0,3,0,1,False,False
2293777,9800,9789,0,0,66046,0,0,592117,592118,592119,592120,592121,28,29,30,0,0,49,21,27,18,17,20,0,0,3,0,1,False,False
2293778,9817,9796,0,0,66046,0,0,592122,592123,592124,592125,592126,33,28,2,0,0,67,46,19,20,13,20,0,0,3,0,1,False,False
2293779,9793,9805,0,0,0,0,0,592127,592128,592129,592130,592131,45,34,11,0,0,60,41,22,27,2,20,0,0,3,0,1,False,False
2293780,9809,9797,9782,0,0,0,0,592132,592133,592134,592135,592136,55,51,50,0,0,44,38,26,33,0,25,0,0,8,0,1,False,False
2293781,9816,9821,0,0,0,0,0,592137,592138,592139,592140,592141,59,56,47,0,0,57,58,43,50,45,25,0,0,12,5,1,True,False
2293782,9813,9806,0,0,0,0,0,592142,592143,592144,592145,592146,52,53,57,0,0,44,47,42,38,35,25,0,0,9,0,1,False,False
2293783,9819,9815,9794,0,66050,0,0,592147,592148,592149,592150,592151,66,52,43,0,0,48,42,39,44,0,25,0,0,8,0,1,False,False
2293784,9829,9809,9804,16765,67029,0,0,592152,592153,592154,592155,592156,58,51,33,0,0,45,38,47,0,0,25,0,0,4,6,1,True,True
2293785,9823,9812,0,0,66053,0,0,592157,592158,592159,592160,592161,52,41,66,0,0,0,40,0,32,13,25,0,0,11,9,1,True,False
2293786,9832,9816,0,0,0,0,0,592162,592163,592164,592165,592166,61,50,45,0,0,62,41,39,49,0,30,0,0,6,0,1,True,False
