#,Unknown0,Unknown1,Unknown2
0,Minimale Verluste I,Das Brett mit 3 kampfunfähigen Bestien abschließen.,True
1,Minimale Verluste II,Das Brett mit 2 kampfunfähigen Bestien abschließen.,True
2,Minimale Verluste III,Das Brett mit 1 kampfunfähigen Bestie abschließen.,True
3,Keine Verluste,Das Brett ohne eine einzige kampfunfähige Bestie abschließen.,True
4,In Unterzahl I,Das Brett mit einer Formation aus 6 oder 7 Bestien abschließen.,True
5,In Unterzahl II,Das Brett mit einer Formation aus 4 oder 5 Bestien abschließen.,True
6,In Unterzahl III,Das Brett mit einer Formation aus 1 bis 3 Bestien abschließen.,True
7,Unversehrter Bändiger,Das Brett mit 100 % LP bei dir abschließen.,True
8,Unversehrte Bestien,Das Brett mit 100 % LP bei all deinen Bestien abschließen.,True
9,Universalgenie I,Mindestens 5 Mal Universalität ausführen.,False
10,Universalgenie II,Mindestens 10 Mal Universalität ausführen.,False
11,Universalgenie III,Mindestens 15 Mal Universalität ausführen.,False
12,Gewitzt,"Das Brett abschließen, ohne „Schaden -“ oder „Erhöhte Verwundbarkeit“ zu erleiden. ",True
13,Mit leeren Händen,"Das Brett abschließen, ohne Bestienausrüstung zu erhalten.",True
14,Wettrüsten,Das Brett mit mindestens 10 Teilen Bestienausrüstung abschließen.,True
15,Sparsamkeit,"Das Brett abschließen, ohne ein Bändigerutensil zu benutzen.",True
16,Sammelleidenschaft,Das Brett mit mindestens 10 Bändigerutensilien abschließen.,True
17,Heilfasten,"Das Brett abschließen, ohne auch nur eine Bestie zu füttern.",True
18,Völlerei,Das Brett mit mindestens 20 Fütterungen abschließen.,True
19,Geizhals,"Das Brett abschließen, ohne einen einzigen Bestientaler auszugeben.",True
20,Talerregen,Das Brett mit mindestens 2.000 Bestientalern abschließen.,True
21,Schlaflose Nächte,"Das Brett abschließen, ohne in einem Zelt zu rasten.",True
22,Freund der Biestlinge,"Das Brett mit einer Formation abschließen, die nur aus Biestlingen besteht.",True
23,Freund der Gezieferlinge,"Das Brett mit einer Formation abschließen, die nur aus Gezieferlingen besteht.",True
24,Freund der Wölklinge,"Das Brett mit einer Formation abschließen, die nur aus Wölklingen besteht.",True
25,Freund der Saatlinge,"Das Brett mit einer Formation abschließen, die nur aus Saatlingen besteht.",True
26,Freund der Woglinge,"Das Brett mit einer Formation abschließen, die nur aus Woglingen besteht.",True
27,Freund der Schupplinge,"Das Brett mit einer Formation abschließen, die nur aus Schupplingen besteht.",True
28,Freund der Ätherlinge,"Das Brett mit einer Formation abschließen, die nur aus Ätherlingen besteht.",True
29,Freund der Todlinge,"Das Brett mit einer Formation abschließen, die nur aus Todlingen besteht.",True
30,Bestialisch I,Das Brett auf „Bestialisch I“ abschließen.,False
31,Bestialisch II,Das Brett auf „Bestialisch II“ abschließen.,False
32,Bestialisch III,Das Brett auf „Bestialisch III“ abschließen.,False
