#,Unknown0,Unknown1,Unknown2,Unknown3,Pet,Action,Location,Unknown7,Unknown8,Unknown9,LocationKey,Unknown11[0],Unknown11[1],Unknown11[2],Unknown11[3],Unknown11[4],Unknown11[5],Unknown11[6],Unknown11[7],Unknown11[8],Unknown11[9],Unknown11[10],Unknown11[11],Unknown11[12],Unknown11[13],Unknown11[14],Unknown11[15]
0,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
1,"Ursprünglich aus Ilsabard stammendes Raubtier. Einst war der Fleischfresser in Landis weit verbreitet, doch die Garlear dezimierten den Bestand so heftig, dass die Tiere heute beinahe als Fabelwesen gelten. Artgenossen behandeln einander liebevoll.",Physischer Hiebschaden,Auf Gegner: 6-mal physischer Hiebschaden,242001,47,45187,0,1,42,3,0,100,91,100,79,100,False,False,False,False,False,False,False,False,False,False,False
2,"Global verbreitetes Nagetier mit ausgeprägten Schneidezähnen. Eigentlich ein Schädling, der Gärten und Speicher verwüstet, doch das Volk verehrt den Nager als Boten der Göttin Nophica. Häufig als Motiv in Gemälden und Schnitzereien zu sehen.",Magischer Feuerschaden,Auf Verbündete: Hast,242002,48,48643,54,1,35,3,1,91,100,91,91,91,False,False,False,False,False,False,False,False,False,False,False
3,"Schafe wurden während der großen Eiszeit domestiziert und sind durch generationenlange Züchtung rund und flauschig geworden. Als Nutztier vollkommen etabliert und auf freiem Feld nur als entlaufenes Hoftier anzutreffen, samt klingendem Glöckchen.",Physischer Schlagschaden,Auf Gegner: Schlaf / Auf Verbündete: Schlaf-Resistenz +,242003,49,45188,30,1,21,4,1,82,82,82,82,82,False,False,False,False,False,False,False,True,False,False,False
4,"Ein Landfisch, der sich mithilfe einer gashaltigen Schwebeblase und großen Flossen fortbewegt. Bevorzugt die Nähe von Gewässern und fängt mit seinem langgestreckten Maul herkömmliche Fische. Stark ortsgebunden und verlässt sein Revier niemals.",Magischer Wasserschaden,Auf Verbündete: Magische Verwundbarkeit - / Paralyse-Resistenz +,242004,50,48648,30,5,45,2,1,100,100,100,100,100,False,False,False,False,False,False,False,False,False,False,False
5,"In Waldgebieten hausender Affe. Der Opo-Opo ist sozial veranlagt und bildet Kolonien von mehreren Dutzend Tieren mit einem Alphatier als Mittelpunkt. Äußerst intelligent und eine Plage für Bauern, aber zähmbar und dann ein zuverlässiger Kumpane.",Physischer Schlagschaden,Auf Feind: Elementneutraler Schaden / Paralyse,242005,52,49696,57,1,18,3,1,97,97,97,97,76,False,False,True,False,False,False,False,False,False,False,False
6,"Aus Mazlaya stammender, flugunfähiger Vogel. Das Brustfleisch ist schmackhaft, aber da der Dodo giftige Sekrete versprüht, müssen Züchter seine Giftdrüsen entfernen. Im Zuge seiner Verbreitung haben sich unterschiedliche Gefiederfarben ausgebildet.",Magischer Erdschaden / Blind,Auf Verbündete: Erdresistenz + / Blind-Resistenz,242006,53,48647,31,3,5,2,1,91,91,100,100,100,False,False,False,False,True,False,False,False,False,False,False
7,"Ein eigenartiges Wesen, das ständig auf der Suche nach Erzen ist und daraus seine Schale bildet. Je nach Mineralvorkommen im Lebensraum können Farbe und Härte der Schale variieren. Die Tentakel sind stark giftig, daher wird vom Verzehr abgeraten.",Magischer Blitzschaden,Auf Verbündete:  Physische Verwundbarkeit - / Giftresistenz +,242007,54,48645,42,7,43,1,1,100,100,91,100,100,False,False,False,True,False,False,False,False,False,False,False
8,"Ein großer Gliederfüßler mit ausgeprägtem Sozialverhalten. Das geschlechtsreife Männchen lebt für gewöhnlich mit mehreren paarungsfähigen Weibchen zusammen. Die Schaudermilbe verschießt klebrige Fäden, mit der sie ihre Beute fängt und konserviert.",Physischer Stichschaden / Gift,Auf Gegner: Elementneutraler Schaden / Rückstoß / Fessel,242008,55,45187,54,2,27,1,1,100,100,100,100,100,False,False,False,False,False,True,False,False,True,False,False
9,"Die gewaltige Krabbe ist unter anderem an den Küsten von La Noscea und im Velodyna-Hathoeva-Flusssystem beheimatet und als köstliche Delikatesse geschätzt. Besonders beliebt sind Gerichte, bei denen das zarte Fleisch im eigenen Panzer gegart wird.",Magischer Wasserschaden,Auf Gegner: Wasserschaden / Wasserresistenz -,242009,56,49695,30,5,8,2,1,97,97,97,97,97,False,False,False,False,False,False,False,False,False,False,False
