#,Type,AssignmentTalk,Quest[0],Quest[1],Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
393216,Gildenfreibriefe,1,65756,65756,0,0,False,False,False,False,False
393217,Gildenfreibriefe,2,65756,65756,1,0,False,False,False,False,False
393218,Gildenfreibriefe,3,65757,65757,1,0,False,False,False,False,False
393219,Gildenfreibriefe,4,65979,65979,1,0,False,False,False,False,False
393220,Gildenfreibriefe,5,65756,65756,1,0,False,False,False,False,False
393221,Gildenfreibriefe,6,66229,66229,1,0,False,False,False,False,False
393222,Gildenfreibriefe,7,66223,66223,1,0,False,False,False,False,False
393223,Gildenfreibriefe,8,66223,66223,1,0,False,False,False,False,False
393224,Gildenfreibriefe,9,66224,66224,1,0,False,False,False,False,False
393225,Gildenfreibriefe,10,66229,66229,1,0,False,False,False,False,False
393226,Gildenfreibriefe,11,66230,66230,1,0,False,False,False,False,False
393227,Gildenfreibriefe,12,65756,65536,1,0,False,False,False,False,False
393228,Gildenfreibriefe,13,66228,66228,1,0,False,False,False,False,False
393229,Gildenfreibriefe,14,65550,65550,1,0,False,False,False,False,False
393230,Gildenfreibriefe,15,65552,65552,1,0,False,False,False,False,False
393231,Gildenfreibriefe,16,65553,65553,1,0,False,False,False,False,False
393232,Gildenfreibriefe,17,65980,65980,1,0,False,False,False,False,False
393233,Gildenfreibriefe,18,65551,65551,1,0,False,False,False,False,False
393234,Gildenfreibriefe,19,66223,65536,1,0,False,False,False,False,False
393235,Gildenfreibriefe,20,66229,65536,1,0,False,False,False,False,False
393236,Gildenfreibriefe,21,66232,66232,1,0,False,False,False,False,False
393237,Gildenfreibriefe,22,66231,66231,1,0,False,False,False,False,False
393238,Gildenfreibriefe,23,65554,65554,1,0,False,False,False,False,False
393239,Staatserlass annehmen,24,66229,65536,2,1,True,False,False,False,False
393240,Staatserlass annehmen,25,66229,65536,2,5,True,False,False,False,False
393241,Staatserlass annehmen,26,65756,65536,2,1,False,True,False,False,False
393242,Staatserlass annehmen,27,65756,65536,2,5,False,True,False,False,False
393243,Staatserlass annehmen,28,66223,65536,2,1,False,False,True,False,False
393244,Staatserlass annehmen,29,66223,65536,2,5,False,False,True,False,False
393245,Staatserlass annehmen,30,65756,65536,2,5,True,True,True,False,False
393246,Staatserlass annehmen,31,65756,65536,2,5,True,True,True,False,False
393247,Staatserlass annehmen,32,66223,65536,2,8,True,True,True,False,False
393248,Ishgarder Freibriefe,33,67642,67642,3,0,False,False,False,True,False
393249,Freibriefe,34,68457,68457,4,0,False,False,False,False,True
393250,Manufaktur-Freibriefe,35,69138,69138,5,0,False,False,False,False,True
393251,Klauber-Freibriefe,36,69706,69706,7,0,False,False,False,False,True
393252,Tuliyollal-Freibriefe,37,70539,70539,8,0,False,False,False,False,True
