#,Vision,Objective,PreviousObjective,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19
0,,,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
1,Meilenstein: Strandhütte bauen,**Mit Miaurizius sprechen**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
2,Meilenstein: Strandhütte bauen,**Noch einmal mit Miaurizius sprechen**,Mit Miaurizius sprechen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
3,Meilenstein: Strandhütte bauen,"**Im Sammeln-Modus Material sammeln
Miaurizius Bericht erstatten**",Nochmals mit Miaurizius sprechen,0,0,0,2,3,0,255,255,2,2,3,0,0,3,4,1,0,0,1,0
4,Meilenstein: Strandhütte bauen,"**Eine Steinaxt über das Pionierswerk basteln
Miaurizius Bericht erstatten**",Im Sammeln-Modus Material sammeln und Miaurizius Bericht erstatten,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
5,Meilenstein: Strandhütte bauen,**Material sammeln und eine Strandhütte bauen**,Eine Steinaxt basteln und Miaurizius Bericht erstatten,0,0,0,10,0,11,3,8,10,10,5,5,5,11,1,12,4,9,0,0
6,Meilenstein: Strandhütte bauen,**Miaurizius Bericht erstatten**,Material sammeln und eine Strandhütte bauen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
7,Meilenstein: Feldfrüchte anbauen,**Mit Miaurizius sprechen**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
8,Meilenstein: Feldfrüchte anbauen,"**Feldolin bitten, das Land zu roden**",Mit Miaurizius sprechen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
9,Meilenstein: Feldfrüchte anbauen,**Mit Feldolin sprechen**,"Feldolin bitten, das Land zu roden",0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
10,Meilenstein: Feldfrüchte anbauen,**Im Säen-Modus Feldfrüchte pflanzen**,Mit Feldolin sprechen,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
11,Meilenstein: Feldfrüchte anbauen,**Im Gießen-Modus die Felder wässern**,Im Säen-Modus Feldfrüchte pflanzen,40,-240,112,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
12,Meilenstein: Feldfrüchte anbauen,**Feldolin Bericht erstatten**,Im Gießen-Modus die Felder wässern,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
13,Meilenstein: Weidetiere halten,**Mit Miaurizius sprechen**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
14,Meilenstein: Weidetiere halten,"**Thierobald bitten, das Land zu roden**",Mit Miaurizius sprechen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
15,Meilenstein: Weidetiere halten,**Mit Thierobald sprechen**,"Thierobald bitten, das Land zu roden",0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
16,Meilenstein: Weidetiere halten,**Im Fangen-Modus ein Tier einfangen**,Mit Thierobald sprechen,600,300,-252,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
17,Meilenstein: Weidetiere halten,**Mit Thierobald sprechen**,Im Fangen-Modus ein Tier einfangen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
18,Meilenstein: Weidetiere halten,**Im Füttern-Modus ein Weidetier füttern**,Mit Thierobald sprechen,40,-292,148,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
19,Meilenstein: Weidetiere halten,**Thierobald Bericht erstatten**,Im Füttern-Modus ein Weidetier füttern,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
20,Meilenstein: Inselatelier bauen und Handel treiben,**Mit Miaurizius sprechen**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
21,Meilenstein: Inselatelier bauen und Handel treiben,"**Siedlund den Ersten bitten, das Land zu roden**",Mit Miaurizius sprechen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
22,Meilenstein: Inselatelier bauen und Handel treiben,**Mit Siedlund dem Ersten sprechen**,"Siedlund den Ersten bitten, das Land zu roden",0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
23,Meilenstein: Inselatelier bauen und Handel treiben,**Material sammeln und einen Steinhammer über das Pionierswerk basteln**,Mit Siedlund dem Ersten sprechen,0,0,0,3,9,11,255,255,3,2,4,0,0,4,10,12,0,0,0,0
24,Meilenstein: Inselatelier bauen und Handel treiben,**Material sammeln und ein Inselatelier bauen**,Material sammeln und einen Steinhammer über das Pionierswerk basteln,0,0,0,9,0,14,11,8,10,10,10,5,5,10,1,15,12,9,0,0
25,Meilenstein: Inselatelier bauen und Handel treiben,**Siedlund dem Ersten Bericht erstatten**,Material sammeln und ein Inselatelier bauen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
26,Meilenstein: Die Insel frei genießen,**Mit Miaurizius sprechen**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
27,Meilenstein: Die Insel frei genießen,**Deine Insel frei erweitern und gestalten**,Mit Miaurizius sprechen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
28,Meilenstein: Die Insel zu neuen Höhen führen,**Mit Miaurizius sprechen**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
29,Meilenstein: Die Insel zu neuen Höhen führen,**Deine Pionierskünste vertiefen**,Mit Miaurizius sprechen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
30,Meilenstein: Erkunden mit Erkundigunde,**Mit Miaurizius sprechen**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
31,Meilenstein: Erkunden mit Erkundigunde,**Den Piz Paradies untersuchen**,Mit Miaurizius sprechen,40,420,-145,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
32,Meilenstein: Erkunden mit Erkundigunde,**Miaurizius Bericht erstatten**,Den Piz Paradies untersuchen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
33,Meilenstein: Erkunden mit Erkundigunde,**Mit Erkundigunde sprechen**,Miaurizius Bericht erstatten,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
34,Meilenstein: Erkunden mit Erkundigunde,"**Im Pionierswerk eine Felsbrecher-Ausstattung in Marionettengröße herstellen
Erkundigunde Bericht erstatten**",Mit Erkundigunde sprechen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
35,Meilenstein: Mehr Pep im Paradies,**Mit Miaurizius sprechen**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
36,Meilenstein: Mehr Pep im Paradies,**Deine Insel genießen**,Mit Miaurizius sprechen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
37,Meilenstein: Die Heulenden Höhlen erkunden,**Mit Miaurizius sprechen**,,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
38,Meilenstein: Die Heulenden Höhlen erkunden,**Mit Erkundigunde sprechen**,Mit Miaurizius sprechen,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
39,Meilenstein: Die Heulenden Höhlen erkunden,**Die Heulenden Höhlen erkunden**,Mit Erkundigunde sprechen,40,310,-255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,1
