#,Name,Description,Icon,Action,Pet,MasterOrder,DisableOrder,Unknown0
0,,,405,0,0,False,True,False
1,Lauf,Du schickst dein Familiar weg.,530,0,0,False,True,False
2,Bei Fuß,"Du befiehlst deinem Familiar, dir zu folgen.",529,0,0,False,True,False
3,Dorthin,"Du befiehlst deinem Familiar, an einen bestimmten Ort zu gehen.",527,0,0,False,True,False
4,Bleib,"Du befiehlst deinem Familiar, hier zu warten.",528,0,0,False,True,False
5,Schütz,"Du lässt dein Familiar angreifen, sobald du selbst einen Angriff startest oder angegriffen wirst.",531,0,0,False,True,False
6,Aus,"Du befiehlst deinem Familiar, nicht anzugreifen, bis du das Zeichen dazu gibst.",532,0,0,False,True,False
7,Fass,Du lässt dein Familiar angreifen.,786,0,0,True,False,False
8,Gib Acht,"Du lässt dein Familiar angreifen, aber bei einigen Kommandos wartet es noch auf dein Zeichen.",786,0,0,True,False,False
9,Böe,"Führt eine windbasierte magische Attacke aus.
Attacke-Wert: 90",786,637,1,True,False,False
10,Rückstoß,"Schleudert den Gegner mit einer windbasierten magischen Attacke um 15y zurück.
Attacke-Wert: 80
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,638,1,True,False,False
11,Fallböe,"Führt eine windbasierte magische Attacke auf das Ziel und die Gegner in seiner Nähe aus.
Attacke-Wert: 80
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,639,1,True,False,False
12,Glanzsmaragd,"Erhöht den erlittenen Magieschaden des Ziels um 10 %.
Dauer: 15 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,640,1,True,False,False
13,Ausstemmen,"Führt eine erdbasierte magische Attacke auf das Ziel aus.
Attacke-Wert: 70
Zusatzeffekt: Erhöhte Feindseligkeit",786,633,2,True,False,False
14,Glanztopas,"Führt eine erdbasierte magische Attacke auf alle umstehenden Gegner aus.
Attacke-Wert: 60
Zusatzeffekt: Erhöhte Feindseligkeit
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,634,2,True,False,False
15,Einrollen,"Vermindert den Schaden, den das Familiar erleidet, um 20 %.
Wirkungsdauer: 20 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,635,2,True,False,False
16,Ansturm,"Führt eine erdbasierte magische Attacke aus.
Attacke-Wert: 60
Zusatzeffekt: **Betäubung**
Wirkungsdauer: 2 Sekunden
Bei der Haltung **Gib Acht** wird dieses Kommando nur auf ausdrücklichen Befehl ausgeführt.",786,636,2,True,False,False
17,Windklinge,"Führt eine windbasierte magische Attacke aus.
Attacke-Wert: 110",786,792,5,True,False,False
