#,Name,InclusionShopSeries,ClassJobCategory
0,,0,0
1,Verteidiger,1,75
2,Nahkämpfer (DRG/SNT),2,76
3,Nahkämpfer (MÖN/SAM),3,77
4,Fernkämpfer,4,78
5,Nahkämpfer (NIN/VPR),5,104
6,Heiler,6,80
7,Magier,7,79
8,Kampfbedarf,8,0
9,Handwerker,9,33
10,Handwerksbedarf,10,0
11,Sammler,11,32
12,Sammelbedarf,12,0
13,Verteidiger,13,75
14,Nahkämpfer (DRG/SNT),14,76
15,Nahkämpfer (MÖN/SAM),15,77
16,Fernkämpfer,16,78
17,Nahkämpfer (NIN/VPR),17,104
18,Heiler,18,80
19,Magier,19,79
20,Kampfbedarf,20,0
21,Handwerker,21,33
22,Handwerksbedarf,22,0
23,Sammler,23,32
24,Sammelbedarf,24,0
25,Verteidiger,25,75
26,Nahkämpfer (DRG/SNT),26,76
27,Nahkämpfer (MÖN/SAM),27,77
28,Fernkämpfer,28,78
29,Nahkämpfer (NIN/VPR),29,104
30,Heiler,30,80
31,Magier,31,79
32,Kampfbedarf,32,0
33,Handwerker,33,33
34,Handwerksbedarf,34,0
35,Sammler,35,32
36,Sammelbedarf,36,0
37,Verteidiger,37,75
38,Nahkämpfer (DRG/SNT),38,76
39,Nahkämpfer (MÖN/SAM),39,77
40,Fernkämpfer,40,78
41,Nahkämpfer (NIN/VPR),41,104
42,Heiler,42,80
43,Magier,43,79
44,Kampfbedarf,44,0
45,Handwerker,45,33
46,Handwerksbedarf,46,0
47,Sammler,47,32
48,Sammelbedarf,48,0
49,Handwerkerscheine (Ausrüstung),49,0
50,"Handwerkerscheine (Rezepte, Material, Verschiedenes)",50,33
51,Sammlerscheine (Ausrüstung),51,0
52,"Sammlerscheine (Almanache, Material, Verschiedenes)",52,32
53,Handwerkerscheine (Materia),53,33
54,Sammlerscheine (Materia),54,32
55,Handwerkerscheine (Ausrüstung),55,0
56,"Handwerkerscheine (Rezepte, Material, Verschiedenes)",56,0
57,Sammlerscheine (Ausrüstung),57,0
58,"Sammlerscheine (Almanache, Material, Verschiedenes)",58,0
59,Handwerkerscheine (Ausrüstung),59,0
60,"Handwerkerscheine (Rezepte, Material, Verschiedenes)",60,0
61,Sammlerscheine (Ausrüstung),61,0
62,"Sammlerscheine (Almanache, Material, Verschiedenes)",62,0
63,Wolfsmarken (Krieger-Waffen),63,0
64,Wolfsmarken (Magier-Waffen),64,0
65,Wolfsmarken (Krieger-Ausrüstung),65,0
66,Wolfsmarken (Magier-Ausrüstung),66,0
67,Wolfsmarken (Anderes),67,1
68,,0,0
69,,0,0
70,Handwerkerscheine (Ausrüstung),70,0
71,"Handwerkerscheine (Rezepte, Material, Verschiedenes)",71,0
72,Sammlerscheine (Ausrüstung),72,0
73,"Sammlerscheine (Almanache, Material, Verschiedenes)",73,0
74,Verteidiger,74,75
75,Nahkämpfer (DRG/SNT),75,76
76,Nahkämpfer (MÖN/SAM),76,77
77,Nahkämpfer (NIN/VPR),77,104
78,Fernkämpfer,78,78
79,Heiler,80,80
80,Magier,79,79
81,Kampfbedarf,81,0
82,Handwerker,82,33
83,Handwerksbedarf,83,0
84,Sammler,84,32
85,Sammelbedarf,85,0
86,,0,0
