#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,Dritte Novizin,Dritte Novizinnen,Novizin,Dritte Novizin,3,1,0,1,1,0
2,Zweite Novizin,Zweite Novizinnen,Novizin,Zweite Novizin,3,1,0,1,1,0
3,Erste Novizin,Erste Novizinnen,Novizin,Erste Novizin,3,1,0,1,1,0
4,Erleuchtete Novizin,Erleuchtete Novizinnen,Novizin,Erleuchtete Novizin,3,1,0,1,1,0
5,Dritte Schlangenjüngerin,Dritte Schlangenjüngerinnen,Schlangenjüngerin,Dritte Schlangenjüngerin,3,1,0,1,1,0
6,Zweite Schlangenjüngerin,Zweite Schlangenjüngerinnen,Schlangenjüngerin,Zweite Schlangenjüngerin,3,1,0,1,1,0
7,Erste Schlangenjüngerin,Erste Schlangenjüngerinnen,Schlangenjüngerin,Erste Schlangenjüngerin,3,1,0,1,1,0
8,Erleuchtete Schlangenjüngerin,Erleuchtete Schlangenjüngerinnen,Schlangenjüngerin,Erleuchtete Schlangenjüngerin,3,1,0,1,1,0
9,Zweite Schlangenpriesterin,Zweite Schlangenpriesterinnen,Schlangenpriesterin,Zweite Schlangenpriesterin,3,1,0,1,1,0
10,Erste Schlangenpriesterin,Erste Schlangenpriesterinnen,Schlangenpriesterin,Erste Schlangenpriesterin,3,1,0,1,1,0
11,Erleuchtete Schlangenpriesterin,Erleuchtete Schlangenpriesterinnen,Schlangenpriesterin,Erleuchtete Schlangenpriesterin,3,1,0,1,1,0
12,Zweite Priorin,Zweite Priorinnen,Priorin,Zweite Priorin,3,1,0,1,1,0
13,Erste Priorin,Erste Priorinnen,Priorin,Erste Priorin,3,1,0,1,1,0
14,Erleuchtete Priorin,Erleuchtete Priorinnen,Priorin,Erleuchtete Priorin,3,1,0,1,1,0
15,Einäugige Seherin,Einäugige Seherinnen,Seherin,Einäugige Seherin,3,1,0,1,1,0
16,Zweiäugige Seherin,Zweiäugige Seherinnen,Seherin,Zweiäugige Seherin,3,1,0,1,1,0
17,Dreiäugige Seherin,Dreiäugige Seherinnen,Seherin,Dreiäugige Seherin,3,1,0,1,1,0
18,Auge der Schlange,Augen der Schlange,Auge der Schlange,Auge der Schlange,3,1,0,1,2,0
19,Saatseherin,Saatseherinnen,Saatseherin,Saatseherin,3,1,0,1,1,0
