#,Transient,Item,Companion,Location[0],Location[1],Location[2],Location[3],Location[4],Location[5]
0,,0,0,0,0,0,0,0,0
1,Bin gerade beschäftigt.,15168,200,148,135,141,0,0,0
2,Ich dreh' am Rad!,15169,201,152,138,145,0,0,0
3,"Von jedem Versuch, das Verhalten eines Yo-kai zu imitieren, wird abgeraten.",15170,202,153,139,146,0,0,0
4,Zieh dich warm an!,15171,203,154,180,134,0,0,0
5,Lachhaft!,15172,204,140,148,135,0,0,0
6,Ich dreh' am Rad ...,15173,205,141,152,138,0,0,0
7,Ich muss mal kurz für kleine Zwergpudel!,15174,206,145,153,139,0,0,0
8,Noko noko!,15175,207,146,154,180,0,0,0
9,Hmpf.,15176,208,134,140,148,0,0,0
10,Kriegerherz!,15177,209,135,141,152,0,0,0
11,Ich bin super duper!,15178,210,138,145,153,0,0,0
12,Aktiviere Schlummermodus ...,15179,211,139,146,154,0,0,0
13,"3, 2, 1, ...",15180,212,180,134,140,0,0,0
14,Meister!,30803,392,397,398,399,400,401,402
15,Brechen wir auf!,30804,391,397,398,399,400,401,402
16,Jetzt geht's los!,30805,390,612,613,614,620,621,622
17,Wenn's sein muss ...,30806,393,612,613,614,620,621,622
