#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,Ohne,0,82091,0,0,0,0,0,0
1,Grau,190002,82091,1,0,0,0,1,1
2,Vierecke,190003,82091,1,0,0,0,3,1
3,Violett,190004,82091,1,0,0,0,4,1
4,Abgestufter Verteidiger,190005,82091,1,0,0,0,5,1
5,Abgestufter Angreifer,190006,82091,1,0,0,0,7,1
6,Abgestufter Heiler,190007,82091,1,0,0,0,6,1
7,Pergament,190008,82091,1,0,0,0,2,1
8,Äther-Sphäre,190009,82091,1,0,0,0,9,1
9,Holzmuster,190010,82091,1,0,0,0,8,1
10,Welt des Nichts,190011,82091,1,0,0,0,10,1
11,Paladin (dynamisch),190301,82091,124,0,0,0,2150,2
12,Krieger (dynamisch),190302,82091,125,0,0,0,2151,2
13,Dunkelritter (dynamisch),190303,82091,126,0,0,0,2152,2
14,Revolverklinge (dynamisch),190304,82091,127,0,0,0,2153,2
15,Weißmagier (dynamisch),190305,82091,128,0,0,0,2154,2
16,Gelehrter (dynamisch),190306,82091,129,0,0,0,2155,2
17,Astrologe (dynamisch),190307,82091,130,0,0,0,2156,2
18,Weiser (dynamisch),190308,82091,131,0,0,0,2157,2
19,Mönch (dynamisch),190309,82091,132,0,0,0,2158,2
20,Dragoon (dynamisch),190310,82091,133,0,0,0,2159,2
21,Ninja (dynamisch),190311,82091,134,0,0,0,2160,2
22,Samurai (dynamisch),190312,82091,135,0,0,0,2161,2
23,Schnitter (dynamisch),190313,82091,136,0,0,0,2162,2
24,Barde (dynamisch),190314,82091,137,0,0,0,2164,2
25,Maschinist (dynamisch),190315,82091,138,0,0,0,2165,2
26,Tänzer (dynamisch),190316,82091,139,0,0,0,2166,2
27,Schwarzmagier (dynamisch),190317,82091,140,0,0,0,2167,2
28,Beschwörer (dynamisch),190318,82091,141,0,0,0,2168,2
29,Rotmagier (dynamisch),190319,82091,142,0,0,0,2169,2
30,Team Astra,190401,82091,143,0,0,0,3000,10
31,Team Umbra,190402,82091,144,0,0,0,3001,10
32,Kristallkönig (1. Saison),190403,82091,145,0,0,0,3200,5
33,Kristallfürst (1. Saison),190404,82091,146,0,0,0,3201,5
34,Kristallkämpfer (1. Saison),190405,82091,147,0,0,0,3202,5
35,Crystalline Conflict: Bronze (1. Saison),190406,82091,148,0,0,0,3208,5
36,Crystalline Conflict: Silber (1. Saison),190407,82091,149,0,0,0,3207,5
37,Crystalline Conflict: Gold (1. Saison),190408,82091,150,0,0,0,3206,5
38,Crystalline Conflict: Platin (1. Saison),190409,82091,151,0,0,0,3205,5
39,Crystalline Conflict: Diamant (1. Saison),190410,82091,152,0,0,0,3204,5
40,Crystalline Conflict: Kristall (1. Saison),190411,82091,153,0,0,0,3203,5
41,Companion-App 1,190901,82091,154,1032,1034,1036,4000,7
42,Companion-App 2,190902,82091,155,1033,1035,1037,4001,7
43,Gladiator,190201,82091,156,0,0,0,2000,2
44,Marodeur,190202,82091,157,0,0,0,2001,2
45,Druide,190203,82091,158,0,0,0,2002,2
46,Faustkämpfer,190204,82091,159,0,0,0,2003,2
47,Pikenier,190205,82091,160,0,0,0,2004,2
48,Schurke,190206,82091,161,0,0,0,2005,2
49,Waldläufer,190207,82091,162,0,0,0,2006,2
50,Thaumaturg,190208,82091,163,0,0,0,2007,2
51,Hermetiker,190209,82091,164,0,0,0,2008,2
52,Paladin (normal),190210,82091,165,0,0,0,2050,2
53,Krieger (normal),190211,82091,166,0,0,0,2051,2
54,Dunkelritter (normal),190212,82091,167,0,0,0,2052,2
55,Revolverklinge (normal),190213,82091,168,0,0,0,2053,2
56,Weißmagier (normal),190214,82091,169,0,0,0,2054,2
57,Gelehrter (normal),190215,82091,170,0,0,0,2055,2
58,Astrologe (normal),190216,82091,171,0,0,0,2056,2
59,Weiser (normal),190217,82091,172,0,0,0,2057,2
60,Mönch (normal),190218,82091,173,0,0,0,2058,2
61,Dragoon (normal),190219,82091,174,0,0,0,2059,2
62,Ninja (normal),190220,82091,175,0,0,0,2060,2
63,Samurai (normal),190221,82091,176,0,0,0,2061,2
64,Schnitter (normal),190222,82091,177,0,0,0,2062,2
65,Barde (normal),190223,82091,178,0,0,0,2064,2
66,Maschinist (normal),190224,82091,179,0,0,0,2065,2
67,Tänzer (normal),190225,82091,180,0,0,0,2066,2
68,Schwarzmagier (normal),190226,82091,181,0,0,0,2067,2
69,Beschwörer (normal),190227,82091,182,0,0,0,2068,2
70,Rotmagier (normal),190228,82091,183,0,0,0,2069,2
71,Blaumagier (normal),190229,82091,184,0,0,0,2071,2
72,Zimmerer (normal),190230,82091,244,0,0,0,2100,2
73,Grobschmied (normal),190231,82091,245,0,0,0,2101,2
74,Plattner (normal),190232,82091,246,0,0,0,2102,2
75,Goldschmied (normal),190233,82091,247,0,0,0,2103,2
76,Gerber (normal),190234,82091,248,0,0,0,2104,2
77,Weber (normal),190235,82091,249,0,0,0,2105,2
78,Alchemist (normal),190236,82091,250,0,0,0,2106,2
79,Gourmet (normal),190237,82091,251,0,0,0,2107,2
80,Minenarbeiter (normal),190238,82091,276,0,0,0,2108,2
81,Gärtner (normal),190239,82091,277,0,0,0,2109,2
82,Fischer (normal),190240,82091,278,0,0,0,2110,2
83,Gridania,190652,82091,299,0,0,0,1001,9
84,Limsa Lominsa,190651,82091,299,0,0,0,1000,9
85,Ul'dah,190653,82091,299,0,0,0,1002,9
86,Endlose Schatten von Bahamut (fatal),190701,82091,319,0,0,0,2500,4
87,Heldenlied von Ultima (fatal),190702,82091,320,0,0,0,2501,4
88,Alexander (fatal),190703,82091,321,0,0,0,2502,4
89,Drachenkrieg (fatal),190704,82091,322,0,0,0,2503,4
90,Kristallkönig (2. Saison),190412,82091,323,0,0,0,3209,5
91,Kristallfürst (2. Saison),190413,82091,324,0,0,0,3210,5
92,Kristallkämpfer (2. Saison),190414,82091,325,0,0,0,3211,5
93,Crystalline Conflict: Bronze (2. Saison),190415,82091,326,0,0,0,3217,5
94,Crystalline Conflict: Silber (2. Saison),190416,82091,327,0,0,0,3216,5
95,Crystalline Conflict: Gold (2. Saison),190417,82091,328,0,0,0,3215,5
96,Crystalline Conflict: Platin (2. Saison),190418,82091,329,0,0,0,3214,5
97,Crystalline Conflict: Diamant (2. Saison),190419,82091,330,0,0,0,3213,5
98,Crystalline Conflict: Kristall (2. Saison),190420,82091,331,0,0,0,3212,5
99,Kristallkönig (3. Saison),190421,82091,332,0,0,0,3218,5
100,Kristallfürst (3. Saison),190422,82091,333,0,0,0,3219,5
101,Kristallkämpfer (3. Saison),190423,82091,334,0,0,0,3220,5
102,Crystalline Conflict: Bronze (3. Saison),190424,82091,335,0,0,0,3226,5
103,Crystalline Conflict: Silber (3. Saison),190425,82091,336,0,0,0,3225,5
104,Crystalline Conflict: Gold (3. Saison),190426,82091,337,0,0,0,3224,5
105,Crystalline Conflict: Platin (3. Saison),190427,82091,338,0,0,0,3223,5
106,Crystalline Conflict: Diamant (3. Saison),190428,82091,339,0,0,0,3222,5
107,Crystalline Conflict: Kristall (3. Saison),190429,82091,340,0,0,0,3221,5
108,Crystalline Conflict: Blau,190430,82091,341,0,0,0,3002,10
109,Crystalline Conflict: Rot,190431,82091,342,0,0,0,3003,10
110,Unstetes Gewölbe: Die Unterstadt von Sil'dih,190705,82091,343,0,0,0,2403,4
111,Aufträge der Omikron,190966,82091,344,0,0,0,2315,3
112,Blauer Himmel,190012,82091,1,0,0,0,12,1
113,Strand,190013,82091,1,0,0,0,11,1
114,Sternenhimmel,190014,82091,1,0,0,0,13,1
115,Ziegelmauer,190015,82091,1,0,0,0,19,1
116,Comic,190016,82091,1,0,0,0,20,1
117,Steppmuster: Schwarz,190017,82091,1,0,0,0,17,1
118,Steppmuster: Weiß,190018,82091,1,0,0,0,18,1
119,Geometrisch: Kreise,190019,82091,1,0,0,0,21,1
120,Äthereffekt: Violett,190020,82091,1,0,0,0,16,1
121,Äthereffekt: Blau,190021,82091,1,0,0,0,14,1
122,Äthereffekt: Rot,190022,82091,1,0,0,0,15,1
123,Musiknoten,190023,82091,347,0,0,0,22,7
124,Fernöstlich,190024,82091,1,0,0,0,23,1
125,Gemeines Grau,190025,82091,1,0,0,0,900,1
126,Rares Rosa,190026,82091,1,0,0,0,901,1
127,Gewöhnliches Grün,190027,82091,1,0,0,0,902,1
128,Besonderes Blau,190028,82091,1,0,0,0,903,1
129,Fantastisches Flieder,190029,82091,1,0,0,0,904,1
130,Flagge von Limsa Lominsa,190601,82091,346,0,0,0,1010,9
131,Flagge von Gridania,190602,82091,346,0,0,0,1011,9
132,Flagge von Ul'dah,190603,82091,346,0,0,0,1012,9
133,Kristallkönig (4. Saison),190432,82091,409,0,0,0,3227,5
134,Kristallfürst (4. Saison),190433,82091,410,0,0,0,3228,5
135,Kristallkämpfer (4. Saison),190434,82091,411,0,0,0,3229,5
136,Crystalline Conflict: Kristall (4. Saison),190440,82091,412,0,0,0,3230,5
137,Crystalline Conflict: Diamant (4. Saison),190439,82091,413,0,0,0,3231,5
138,Crystalline Conflict: Platin (4. Saison),190438,82091,414,0,0,0,3232,5
139,Crystalline Conflict: Gold (4. Saison),190437,82091,415,0,0,0,3233,5
140,Crystalline Conflict: Silber (4. Saison),190436,82091,416,0,0,0,3234,5
141,Crystalline Conflict: Bronze (4. Saison),190435,82091,417,0,0,0,3235,5
142,Kristallkönig (5. Saison),190441,82091,418,0,0,0,3236,5
143,Kristallfürst (5. Saison),190442,82091,419,0,0,0,3237,5
144,Kristallkämpfer (5. Saison),190443,82091,420,0,0,0,3238,5
145,Crystalline Conflict: Kristall (5. Saison),190449,82091,421,0,0,0,3239,5
146,Crystalline Conflict: Diamant (5. Saison),190448,82091,422,0,0,0,3240,5
147,Crystalline Conflict: Platin (5. Saison),190447,82091,423,0,0,0,3241,5
148,Crystalline Conflict: Gold (5. Saison),190446,82091,424,0,0,0,3242,5
149,Crystalline Conflict: Silber (5. Saison),190445,82091,425,0,0,0,3243,5
150,Crystalline Conflict: Bronze (5. Saison),190444,82091,426,0,0,0,3244,5
151,Falken,190450,82091,427,0,0,0,3004,10
152,Raben,190451,82091,428,0,0,0,3005,10
153,Aufträge der Pixies,190962,82091,429,0,0,0,2311,3
154,Aufträge der Qitari,190963,82091,430,0,0,0,2312,3
