#,Name,Description,LGBEventObject,LGBMapRange,Quest,Announce,IconObjective0,IconObjective1,Unknown6,Unknown7,Unknown2,EventType,EnemyType,MaxParticipants,Duration,Unknown5,SingleBattle,Unknown9,Unknown8
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,"Peeriefool, das faule Gemüse",Die schillernde Clarricie vom Bestientrupp hat faulendes Gemüse auf dem Schlachtfeld ausgesetzt. Räume den Unrat weg.,8373717,8511877,69477,0,0,0,0,0,0,1,4,48,20,0,0,0,True
2,Die drei Mäuler des Canis dirus,"Um Chaos in den Kampfreihen zu stiften, hat das Spezialbataillon einen dreiköpfigen Hund losgelassen. Besiege den Kläffer.",8374110,8511881,69477,0,0,0,0,0,0,1,2,48,20,0,0,0,True
3,"Vigil, Feuerkraft hoch zehn",Magitek-Soldat Dabog steuert ein neues Modell des Wachskorpions aufs Schlachtfeld. Schicke es unverzüglich zurück.,8367113,8511882,69477,0,0,0,0,0,0,1,1,48,20,0,0,0,True
4,"Gabriel, die stählerne Schwinge",Magitek-Soldat Dabog steuert eine neuartige Flugmaschine aufs Schlachtfeld. Bringe sie zu Fall.,8367033,8511886,69477,0,0,0,0,0,0,2,3,1,20,0,1,0,True
5,"Akbaba, Tod von oben",Abgerichtete Flugungeheuer reißen tiefe Lücken in die Reihen des Widerstands. Besiege das schrecklichste von ihnen: Akbaba.,8342248,8511887,69477,0,0,0,0,0,0,1,4,48,20,0,0,0,True
6,Spartoi der Gefürchtete,"Llofii, Elitesoldatin und Überläuferin, hat ihr Monozeros aus den Laboren der Garlear gerettet. Besiege den gefürchteten Geist Spartoi, der sich ihnen in den Weg stellt.",8367316,8511891,69481,0,0,0,0,0,0,1,5,48,20,0,0,0,True
7,Der Rote Meteor und seine Meute,"Eine Meute roter Chocobos macht sich an der Front breit. Besiege das Leittier, den Roten Meteor.",8374867,8511892,69481,0,0,0,0,0,0,1,4,48,20,0,0,0,True
8,Lyon der Bestienkönig,"Lyon, Anführer des Bestientrupps, fordert dich zum Duell heraus.",8374963,8511893,69481,0,0,0,0,0,0,2,3,1,20,0,2,0,True
9,Die Flammenden Hundert,Die Flammenden Hundert stürmen über das Schlachtfeld und haben Pyroboli dabei! Besiege die Einheit und halte den Ansturm auf.,8375462,8511895,69481,0,0,0,0,0,0,3,2,24,20,0,0,0,True
10,Verteidigungsmaschine Patriot,Die mobile Infanterie hat ihre Verteidigung mit einer neuartigen Konstruktion befestigt. Zerstöre die Patriot-Maschine.,8374781,8511898,69481,0,0,0,0,0,0,1,1,48,20,0,0,0,True
11,Die bösen Blicke der Eale,"Die Magier des Spezialbataillons haben eine mysteriöse Kreatur beschworen. Besiege die Eale, doch hüte dich vor ihren Blicken!",8377121,8511901,69484,0,0,0,0,0,0,1,2,24,20,0,0,0,True
12,Sartauvoir Eisenfeuer,"Sartauvoir quo Soranus, hochrangiger Anführer des Spezialbataillons, spielt mit dem Feuer. Fordere ihn zum Duell heraus.",8374538,8511905,69484,0,0,0,0,0,0,2,3,1,20,0,3,0,True
13,"Dáinsleif, Bestie aus Eisen","Magitechnicus Sicinius von der mobilen Infanterie hat einen neuen Prototypen in den Kampf geschickt. Besiege Dáinsleif, die Bestie aus Eisen.",8367337,8511910,69484,0,0,0,0,0,0,1,1,48,20,0,0,0,True
14,Im Schatten von Modell X,Magitechnicus Sicinius von der mobilen Infanterie hat die Arbeitsmaschine Modell X zu einer riesigen Waffe umfunktioniert. Verwandle sie in Altmetall.,8377886,8511912,69484,0,0,0,0,0,0,1,1,48,20,0,0,0,True
15,Der untote Chlevnik,Mit einer geheimen Tinktur hat der Bestientrupp ein totes Ungeheuer zum Leben erweckt. Töte den gehörnten Chlevnik ein weiteres Mal!,8367328,8511913,69484,0,0,0,0,0,0,1,5,48,20,0,0,0,True
16,Sturm auf Castrum Lacus Litore,Die Zeit ist reif: Erobere den Stützpunkt der IV. Legion und verjage die garleischen Besatzer aus Bozja!,0,0,69487,9626,0,0,0,0,0,4,6,48,20,1,0,0,True
17,Der Geistertrupp,Eine neue Spezialeinheit der IV. Legion ist auf dem Schlachtfeld erschienen! Die Magier des Geistertrupps kontrollieren Zirnitras und müssen schnellstens in ihre Schranken gewiesen werden.,8664684,8664761,69620,0,0,0,0,0,0,3,2,48,20,0,0,0,True
18,Schwarzbrands Testflug,Gerüchteweise ist dieser Prototyp einer fliegenden Magitek-Maschine ein Nebenprodukt aus der Entwicklungsarbeit zum Höllentaucher. Bereite dem Testflug ein jähes Ende!,8664685,8664762,69629,0,0,0,0,0,0,1,1,48,20,0,0,0,True
19,"Hyper-Dabog, Stärkster unter Stärksten",Der Ehrgeiz der garleischen Ingenieure kennt keine Grenzen. Wieder haben sie den Magitek-Soldaten Dabog einer Überarbeitung unterzogen. Kann die Hypervariante überhaupt besiegt werden?,8664686,8664763,69620,0,0,0,0,0,0,2,3,1,20,0,4,0,True
20,Shemhazai der Verräter,"Die Jünger, eine ketzerische Randgruppe der IV. Legion, haben ihr Leben riskiert und die Macht eines Auracitensplitters entfesselt. Das Ergebnis dieses Frevels darf nicht länger existieren.",8664687,8664764,69620,0,0,0,0,0,0,1,8,48,20,0,0,0,True
21,"Hedetet, Stachel des Karglands","Ein mutiger Bändiger des Bestientrupps hat im Kargland einen außergewöhnlichen Fang gemacht. Mach dem Skorpionweibchen klar, dass es in Zadnor nicht willkommen ist.",8664688,8664765,69620,0,0,0,0,0,0,1,4,48,20,0,0,0,True
22,"Halb Pferd, halb Garlear","Die Magitek-Reiter, automatische Waffen aus den Schmieden der Legionsingenieure, galoppieren über das Schlachtfeld und müssen dringend aufgehalten werden.",8664689,8664766,69628,0,0,0,0,0,0,3,7,48,20,0,0,0,True
23,"Menenius, Tribunus der IV. Legion","Der Kommandant der garleischen Besatzungsmacht schreitet über bozianischen Boden, als sei es sein Geburtsrecht. Zeige ihm, was der Widerstand von seiner Anwesenheit hält!",8664690,8664767,69628,0,0,0,0,0,0,2,3,1,20,0,5,0,True
24,"Hanbi, König im Exil","Unausprechliche Rituale des Spezialbataillons haben einen König aus dem Nichts gerufen, der nur einen Tribut kennt: Blut. Schicke den ungebetenen Gast zurück in seine Dimension. ",8664691,8664768,69628,0,0,0,0,0,0,1,2,48,20,0,0,0,True
