#,JapaneseSingularDemonstrative,JapanesePluralDemonstrative,EnglishArticleSingularConsonant,EnglishArticleGenericConsonant,EnglishArticlePluralConsonant,EnglishArticleSingularVowel,EnglishArticleGenericVowel,EnglishArticlePluralVowel,GermanNominativeMasculine,GermanNominativeFeminine,GermanNominativeNeutral,GermanNominativePlural,GermanGenitiveMasculine,GermanGenitiveFeminine,GermanGenitiveNeutral,GermanGenitivePlural,GermanDativeMasculine,GermanDativeFeminine,GermanDativeNeutral,GermanDativePlural,GermanAccusativeMasculine,GermanAccusativeFeminine,GermanAccusativeNeutral,GermanAccusativePlural,FrenchArticleSingular,FrenchArticleSingularMasculine,FrenchArticlePluralMasculine,FrenchArticleSingularMasculineElided,FrenchArticlePluralMasculineElided,FrenchArticleSingularElided,FrenchArticlePluralElided,FrenchArticleSingularMasculineContracted,FrenchArticlePluralMasculineContracted,FrenchArticleSingularFeminine,FrenchArticlePluralFeminine,FrenchArticleSingularFeminineElided,FrenchArticlePluralFeminineElided,FrenchArticleSingularElidedAlt,FrenchArticlePluralElidedAlt,FrenchArticleSingularNeutral,FrenchArticlePluralNeutral
1,その,それらの,,,,,,,ein ,eine ,ein ,[n] ,eines ,einer ,eines ,[n] ,einem ,einer ,einem ,[n] ,einen ,eine ,ein ,[n] ,,,,,,,,,,,,,,,,,
2,,あれらの,,,,,,,der ,die ,das ,die ,des ,der ,des ,der ,dem ,der ,dem ,den ,den ,die ,das ,die ,,,,,,,,,,,,,,,,,
3,,これらの,,,,,,,dein ,deine ,dein ,deine ,deines ,deiner ,deines ,deiner ,deinem ,deiner ,deinem ,deinen ,deinen ,deine ,dein ,deine ,,,,,,,,,,,,,,,,,
4,,,,,,,,,kein ,keine ,kein ,keine ,keines ,keiner ,keines ,keiner ,keinem ,keiner ,keinem ,keinen ,keinen ,keine ,kein ,keine ,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,dieser ,diese ,dieses ,diese ,dieses ,dieser ,dieses ,dieser ,diesem ,dieser ,diesem ,diesen ,diesen ,diese ,dieses ,diese ,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,e,e,e,e,er,er,er,er,er,er,er,er,e,e,e,e,,,,,,,,,,,,,,,,,
25,,,,,,,,,e,e,e,en,en,en,en,en,en,en,en,en,en,e,e,en,,,,,,,,,,,,,,,,,
26,,,,,,,,,er,e,es,en,en,en,en,en,en,en,en,en,en,e,es,en,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,en,,en,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,es,,es,,,,,n,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,s,,s,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,ns,,ns,,n,,,,n,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,en,,en,,en,,en,,en,,en,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,ens,,ens,,en,,en,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,n,,n,,n,,n,,n,,n,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,ses,,ses,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,des,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,er,e,es,e,en,en,en,er,en,en,en,en,en,e,es,e,,,,,,,,,,,,,,,,,
38,,,,,,,,,er,e,es,e,en,er,en,er,em,en,em,en,en,e,es,e,,,,,,,,,,,,,,,,,
39,,,,,,,,,der,die,das,,des,der,des,,dem,der,dem,,den,die,das,,,,,,,,,,,,,,,,,,
