#,Name,NameShort,ExpReward,CeruleumTankReq,SurveyDurationmin,SurveyDistance,X,Y,RankReq,Unknown0,Unknown1,SurveillanceReq,Unknown2,Passengers
0,Wolkenmeer - Sektor 1,Wolkenmeer 1,10610,1,180,13,371,831,1,0,0,0,0,False
1,Wolkenmeer - Sektor 2,Wolkenmeer 2,10610,1,180,13,615,800,1,0,0,0,0,False
2,Wolkenmeer - Sektor 3,Wolkenmeer 3,27840,1,180,13,156,800,4,0,0,0,0,False
3,Wolkenmeer - Sektor 4,Wolkenmeer 4,46660,1,180,13,787,834,7,0,0,0,0,False
4,Wolkenmeer - Sektor 5,Wolkenmeer 5,75920,2,360,13,492,720,10,0,0,0,0,False
5,Wolkenmeer - Sektor 6,Wolkenmeer 6,102600,2,360,13,334,653,14,0,0,0,0,False
6,Wolkenmeer - Sektor 7,Wolkenmeer 7,118350,2,360,13,587,645,17,0,0,0,0,False
7,Wolkenmeer - Sektor 8,Wolkenmeer 8,146210,3,540,13,516,544,20,0,0,0,0,False
8,Wolkenmeer - Sektor 9,Wolkenmeer 9,174980,3,540,13,380,493,24,0,0,0,0,False
9,Wolkenmeer - Sektor 10,Wolkenmeer 10,200430,3,540,13,721,629,27,0,0,0,0,False
10,Wolkenmeer - Sektor 11,Wolkenmeer 11,231750,4,720,13,185,567,30,0,0,0,0,False
11,Wolkenmeer - Sektor 12,Wolkenmeer 12,263530,4,720,13,906,642,34,0,0,0,0,False
12,Wolkenmeer - Sektor 13,Wolkenmeer 13,292170,4,720,13,202,434,37,0,0,0,0,False
13,Wolkenmeer - Sektor 14,Wolkenmeer 14,338330,5,900,13,77,689,40,0,0,0,0,False
14,Wolkenmeer - Sektor 15,Wolkenmeer 15,374020,5,900,13,103,348,44,0,0,0,0,False
15,Wolkenmeer - Sektor 16,Wolkenmeer 16,406590,5,900,13,886,445,47,0,0,0,0,False
16,Wolkenmeer - Sektor 17,Wolkenmeer 17,0,6,1440,13,721,335,50,0,0,90,0,False
17,Wolkenmeer - Sektor 18,Wolkenmeer 18,0,6,1440,13,540,371,50,0,0,90,0,False
18,Wolkenmeer - Sektor 19,Wolkenmeer 19,0,6,1440,13,248,234,50,0,0,90,0,False
19,Wolkenmeer - Sektor 20,Wolkenmeer 20,0,6,1440,13,421,141,50,0,0,90,0,False
20,Wolkenmeer - Sektor 21,Wolkenmeer 21,0,6,1440,13,556,208,50,0,0,90,0,False
21,Wolkenmeer - Sektor 22,Wolkenmeer 22,0,6,1440,13,663,105,50,0,0,90,0,False
22,Das Diadem (schwer),Diadem (schwer),0,1,20,1,0,0,50,0,0,90,0,True
23,Wolkenmeer - Sektor 23,Wolkenmeer 23,0,6,1440,13,130,120,50,0,0,90,0,False
24,Wolkenmeer - Sektor 24,Wolkenmeer 24,0,6,1440,13,390,380,50,0,0,90,0,False
25,,,0,0,0,0,0,0,0,0,0,0,0,False
127,,,0,0,0,0,483,927,0,0,0,0,0,False
128,,,0,0,0,0,0,0,0,0,0,0,0,False
