#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
1,Nr. 1,Ein kleiner Hopser wird zu einem großen Sprung,"Meine Wenigkeit, Reportingway, hat es sich zur Aufgabe gemacht, die Reise ins Unbekannte, welche wir mit Projekt Kosmo-Erkundung antreten, in kleinen, aber feinen Berichten für die Nachwelt aufzuzeichnen.

Endlich ist es so weit, das Projekt, an dem Searchingway all die Zeit über herumgebrütet hat, steht in den Startlöchern! Dabei soll der Mond zu einer Art Basislager ausgebaut werden, von dessen sicheren Pforten aus wir weitere Expeditionen in die Weiten des Alls wagen wollen.
Leider fehlt es noch an allen Ecken und Kanten, denn mehr als eine Grundausstattung, bestehend aus einfachen Werkzeugen und Geräten, steht uns momentan nicht zur Verfügung. Und mehr als ein Hangar für schweres Baugerät und ein paar Geschäfte, um Projektteilnehmer mit allem Nötigen zu versorgen, konnte auch noch nicht errichtet werden.

Der Weg bis zum Aufbruch in die Unendlichkeit scheint somit mehr als nur steinig. Wo wir auch schon bei einem weiteren Problem sind, mit dem wir uns herumplagen: ständige Meteorschauer. Unsere Zelte sind zwar aus besonders robustem Stoff gefertigt, mehr als eine Übergangslösung sind sie aber definitiv nicht.
Wie sich aus meinen Ausführungen ergeben sollte, ist die zahlreiche Hilfe aller Projektteilnehmer imperativ, um die Kosmo-Erkundung nicht nur erfolgreich, sondern vor allem sicher und bestens ausgestattet über die Ziellinie zu bringen."
2,Nr. 2,"Große Station, großes Lächeln","Es vergeht kein Tag, an dem nicht ein paar emsige neue Helferlein zum Projekt dazustoßen!
Da wären Forscher aus dem Labyrinthos, interessierte Astrobiologen der Magieakademie, drei, vier Pfotenvoll Klauber und Abenteurer und - nicht zu vergessen - zahlreiche Handwerker und Sammler! Und mit der Hilfe dieser vielfältigen Gruppe an Projektteilnehmern konnte nun auch endlich die Mondtor-Station ausgebaut werden.

Mit einem festen Dach über unseren Köpfen brauchen wir uns um Meteorschauer keine Sorgen mehr zu machen und können uns daher voll und ganz auf die Zukunft des Projekts konzentrieren.

Unsere nächsten Schritte werden uns aus den sicheren Wänden unserer muckeligen Projektbasis hinaus in die raue Wildnis von Sinus Ardorum bringen, wo es uns hoffentlich gelingt, weitere Strukturen für die Kosmo-Erkundung zu errichten."
3,Nr. 3,"Zapp, zapp, zapp dich durchs All!","Es hat schon etwas Eigentümliches, dass wir Loporrit nach all den Jahrtausenden auf dem Mond erst jetzt auf die Idee gekommen sind, eine Erkundung zu starten.
Und doch hoppeln wir nun fleißig von einer Aufgabe zur nächsten, um nicht nur eine geeignete Startrampe für unser Raumschiff zu schaffen, sondern das gesamte Projekt für den Aufbruch in das Unbekannte und die Erkundung fremder Gestirne bereit zu machen.

Ich bin mir sicher, dass unsere neueste Erfindung, der „Kosmozapper“, genau in diese Kerbe schlagen wird. Schließlich wissen wir nicht, ob wir uns auf unseren Zielgestirnen auf Ätherströme und somit Teleportationsmagie verlassen können.
Aber mit dem Kosmozapper können wir uns trotzdem schneller hin- und herbewegen, als Searchingway eine Karotte verputzt! Und wenn das Zappernetz erst einmal das gesamte Erkundungsareal abdeckt, steht dem Erfolg des Projekts nichts mehr im Weg!"
4,Nr. 4,Leben zwischen Sternen und Raketen,"Die Habitationsmodule für unsere fleißigen Helferlein von Ætheris und der Kosmoport für unser galaktastisches Raumschiff sind fertiggestellt!
Zugegeben, beide Einrichtungen kommen noch etwas simpel und ohne viel Tamtam daher, für den Anfang soll uns das aber genügen. Ich bin mir sicher, je weiter das Projekt schreitet, desto bessere Stationsstrukturen werden wir errichten können.

Unsere Fehlschläge bei der Errichtung von Smileton gaben uns die nötige Erfahrung, die wir für die Habitationsmodule benötigten ... Und damit meine ich nicht in Sachen Tödlichkeit, sondern Komfort!

Für den Kosmoport haben wir uns an den neuesten Studien der Ätherologie bedient. Es wurde Technik verbaut, die unser Raumschiff auf sogenannten Himmelsadern - also Ätherströmen außerhalb der Atmosphäre - fliegen lässt, wodurch Abstürze und Fehlstarts vermieden werden. Ein gewaltiger Hopps in die richtige Richtung, wenn man mich fragt."
5,Nr. 5,Den Mechas ihr Zuhause,"In Kollaboration mit den fähigsten Forschern Ætheris' gelang es uns, wahre Meisterwerke an Maschinen für eine möglichst effiziente Aufgabenbewältigung in widerspenstigen Gefilden zu kreieren: die Mechas!

Unseren lieben Projektteilnehmern sind sie sicherlich bereits aus den zahlreichen Mecha-Einsätzen ein Begriff, doch mussten wir die Schmuckstücke bisher noch leider in Zelten lagern. Und das führte mehr als nur ein Mal zu mondstaubigen Getriebekomplikationen.
Doch jetzt haben sie ihren eigenen Hangar, der sie außerhalb der Einsätze vor den Widrigkeiten des Erkundungsareals schützt. Und da Wartung und Entwicklung nun ebenfalls einfacher vonstattengehen, werden sich unsere metallenen Freunde sicherlich noch vieler Aufrüstungen erfreuen dürfen."
6,Nr. 6,"Zapp, zapp, zapp dich gen Nordwesten!","Der Kosmozapper erstreckt sich nun bis in die Kalabassenbucht im Nordwesten von Sinus Ardorum!

Die Zwischenzapperstation auf dem Weg dorthin verfügt übrigens über ein Pausenareal für unsere fleißigen Arbeiterchen und Ladestationen für Mechas im Einsatz - eine Raststätte für alle kundigen Erkunder, sozusagen!
Es lohnt sich also zwischen all dem kosmischen Herumgezappe, mal eine kleine Ver­schnauf­pause an einer der Stationen einzulegen!"
7,Nr. 7,"Zapp, zapp, zapp dich gen Südosten!","Der Kosmozapper erstreckt sich nun bis zu Weddingways Traugarten im Südosten von Sinus Ardorum!

In dem Garten werden allerlei pedologische Experimente durchgeführt, um auch auf so widrigem Untergrund wie Mondregolith Dinge wachsen zu lassen.
Der Leiter dieser Forschung ist - wer hätte es gedacht - Weddingway, der sich mit seinen Forscherkollegen aus Sharlayan auf die Kreuzung und Vermehrung von Pflanzen- und Pilzarten spezialisiert hat. Und einigen Gerüchten zufolge soll auch ein Fungi-Liebhaber namens Lovingway des Öfteren den Garten frequentieren ... Vielleicht ist deshalb dort der Pilzanteil so hoch ..."
8,Nr. 8,"Wo gebohrt wird, entstehen Tunnel","Der Glimmberg wird nun von Piercingways Tunnel geschmückt und vor allem durchzogen!

Da das Kratergestein in und um den Berg herum aus einer Mischung von gehärteten Kristallen und weichem Geröll besteht, waren die Aushubarbeiten zwar eine Heraus­forde­rung, aber zugleich auch ein guter Test unserer handwerklichen Fä­hig­kei­ten. Ein Test, den wir bestanden haben, wohlgemerkt!
Die Techniken, die wir dazu mit den sharlayanischen Forschern entwickelt haben, werden sich für die Zukunft des Projektes sicher noch als nützlich erweisen."
9,Nr. 9,"Zapp, zapp, zapp dich gen Südwesten!","Der Kosmozapper erstreckt sich nun bis hinter Piercingways Tunnel im Südwesten von Sinus Ardorum!

Der Radius am Glimmberg sollte uns Fuhren über Fuhren an Rohmetall bescheren. Und auch die ein oder andere allagische Ruine soll dort schlummern. Möge uns am Ende des Zappernetzes eine erfolgreiche Kosmo-Erkundung erwarten!"
10,Nr. 10,Grandios erweitert ist halb gewonnen,"Diesmal wurden die Stationsstrukturen um Verbindungswege, Trennwände sowie einer gehörigen Anzahl an Rohren erweitert und die Versorgungsschalter im Inneren der Station renoviert.

Kurz gesagt, ist die Station jetzt grandios, aber noch lange nicht perfekt. Über weitere Verbesserungsmöglichkeiten soll sich das Projektkomitee just den Kopf zerbrechen."
11,Nr. 11,Besser infrastrukturiert als elendig krepiert,"Unsere Infrastruktur wurde um ein Strom- und ein Wasserwerk ergänzt. Alles dank der Unterstützung unserer fleißigen Projektteilnehmer.

Die Kosmo-Erkundung steht und fällt mit ihrer Energieproduktion. Darum ist die Errichtung der Energisierungswerke auch so wichtig für die Zukunft des Projekts.
Gleiches gilt für die Hydrofizierungswerke. Sie ermöglichen es uns, verunreinigtes Wasser mithilfe der Macht des Zentralkristalls zu reinigen und trinkbar zu machen.
Diese Grundversorgung sichert unser Überleben nicht nur in Sinus Ardorum, sondern zukünftig hoffentlich auch auf anderen Gestirnen!"
12,Nr. 12,Mechas und der Traum vom Weltraum,"Es ist endlich so weit: Sternenhangar und Kosmoport konnten fertiggestellt werden!

Beide Strukturen sind unterirdisch direkt mit den Energisierungswerken verkoppelt, was ihr Energiezufuhrpotenzial aufs Maximum treibt. Solange besagte Werke laufen, sollten wir keine Fehlstarts aufgrund von fehlender Energie mehr erleben.
Und falls es doch mal Probleme mit der Zufuhr geben sollte, ist das auch nicht so schlimm. Denn dafür haben wir extra Notfallaggregate verbaut, die sowohl Mecha- als auch Weltraumverkehr rund um die Uhr gewährleisten.
Es ist eben immer besser, auf alle Eventualitäten vorbereitet zu sein."
13,Nr. 13,Aufzüge sind praktisch,"Es gibt nun einen Aufzug, der einen bis zu den Tiefen des großen Risses im Nordosten von Sinus Ardorum bringt: Der Nadir-Lift!

Dabei ist die Errichtung des Lifts in die Tiefen zu einem Musterfall für unsere zukünftigen Erkundungstouren auf fremden Gestirnen geworden. Wenn es ihn nicht gäbe, wären uns auch all die seltenen Ressourcen entgangen, die dort schlummern.
Und da der Lift auch schweres Gerät transportieren kann, hat sich das Abbaugebiet hier auf Sinus Ardorum nun um ein ganzes Stück erweitert.

Der sogenannte Lunare Nadir, wie wir den Abschnitt nennen, stellt aber auch das letzte Stück unerschlossener Fläche auf unserem Vorstoß auf dem Mond dar. Nutzen wir seine Gaben geschickt und weise, um das Projekt weiter zu beflügeln."
14,Nr. 14,"Zapp, zapp, zapp dich in die Tiefen!","Der Kosmozapper erstreckt sich nun bis in die Tiefen des Lunaren Nadirs im Nordosten von Sinus Ardorum! Damit sind alle Radien komplett und das Zappernetz ist fertig ausgebaut!

Die Zapperstrecke bis so tief in den Untergrund zu verlegen, war ein riesiges Unterfangen, aber es hat sich gelohnt. Die einzigartige Flora dort unten sollte jeder ein Mal erlebt haben und mit dem neuen Radius ist das einfacher denn je!
Der Ausbauprozess des Kosmozappers ist eine Erfahrung, die das Projekt um einiges stärker gemacht hat, da bin ich mir sicher. Sie wird uns auch in Zukunft noch von großem Nutzen sein!"
15,Nr. 15,Hoppeldihopp in die Hoppopolis,"Das ist ja fast so, als befände sich da, wo unsere Mondtor-Station einst stand, ein weiterer Mond - und zwar auf dem Mond! Zumindest erweckt die große Kuppel da in der Mitte des Geländes einen solchen Eindruck ...

„Lunare Hoppopolis“ - die Stadt, die uns die nötige Kraft spendet, den Hoppser ins Unbekannte zu wagen!

Ihre Kuppel dient natürlich in erster Linie dem Schutz des Zentralkristalls vor Meteorschauern. Ohne den wäre das ganze Projekt nämlich dem Untergang geweiht. Ein Fünkchen Entspannung soll sie den Projektteilnehmern mit ihren entschleunigenden Qualitäten aber ebenfalls bescheren, auch wenn allerlei Forscher und wir Loporrit das mit unserer geschäftigen Art etwas zunichtemachen.

Unsere Projektaktivitäten hier auf dem Mond finden mit der Fertigstellung dieser zentralen Einrichtung ihr Ende. Danke für die zahlreiche und vor allem aufrichtige Hilfe bis hierhin!"
