#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Beerencreme-Herztorte,4,10,16,22,0,0,0,0,4,4,4,4,0,0,0,0
2,Beerencreme-Herztorte,4,7,8,13,14,22,0,0,4,2,2,2,2,4,0,0
3,Beerencreme-Mogrytorte,4,8,11,14,15,19,0,0,4,2,2,2,2,4,0,0
4,Beerencreme-Mogrytorte,4,11,10,17,16,19,0,0,4,2,2,2,2,4,0,0
5,Beerencreme-Eierschokotorte,4,9,7,15,17,20,0,0,4,2,2,2,2,4,0,0
6,Beerencreme-Eierschokotorte,4,10,11,16,13,20,0,0,4,2,2,2,2,4,0,0
7,Beerencreme-Chocobotorte,4,7,11,13,15,23,0,0,4,2,2,2,2,4,0,0
8,Beerencreme-Chocobotorte,4,8,9,14,16,23,0,0,4,2,2,2,2,4,0,0
9,Beerencreme-Kaktortorte,4,11,9,17,14,21,0,0,4,2,2,2,2,4,0,0
10,Beerencreme-Kaktortorte,4,9,10,15,16,21,0,0,4,2,2,2,2,4,0,0
11,Schlagsahne-Herztorte,1,7,8,16,14,22,0,0,4,2,2,2,2,4,0,0
12,Schlagsahne-Herztorte,1,8,11,13,14,22,0,0,4,2,2,2,2,4,0,0
13,Schlagsahne-Mogrytorte,1,7,13,19,0,0,0,0,4,4,4,4,0,0,0,0
14,Schlagsahne-Mogrytorte,1,11,10,14,17,19,0,0,4,2,2,2,2,4,0,0
15,Schlagsahne-Eierschokotorte,1,9,7,17,13,20,0,0,4,2,2,2,2,4,0,0
16,Schlagsahne-Eierschokotorte,1,10,11,15,16,20,0,0,4,2,2,2,2,4,0,0
17,Schlagsahne-Chocobotorte,1,7,11,13,16,23,0,0,4,2,2,2,2,4,0,0
18,Schlagsahne-Chocobotorte,1,8,9,14,17,23,0,0,4,2,2,2,2,4,0,0
19,Schlagsahne-Kaktortorte,1,11,9,17,15,21,0,0,4,2,2,2,2,4,0,0
20,Schlagsahne-Kaktortorte,1,9,10,15,13,21,0,0,4,2,2,2,2,4,0,0
21,Schokoladencreme-Herztorte,2,9,10,13,17,22,0,0,4,2,2,2,2,4,0,0
22,Schokoladencreme-Herztorte,2,11,9,14,15,22,0,0,4,2,2,2,2,4,0,0
23,Schokoladencreme-Mogrytorte,2,8,9,17,16,19,0,0,4,2,2,2,2,4,0,0
24,Schokoladencreme-Mogrytorte,2,7,11,15,17,19,0,0,4,2,2,2,2,4,0,0
25,Schokoladencreme-Eierschokotorte,2,8,14,20,0,0,0,0,4,4,4,4,0,0,0,0
26,Schokoladencreme-Eierschokotorte,2,10,11,13,15,20,0,0,4,2,2,2,2,4,0,0
27,Schokoladencreme-Chocobotorte,2,9,7,14,17,23,0,0,4,2,2,2,2,4,0,0
28,Schokoladencreme-Chocobotorte,2,11,10,17,15,23,0,0,4,2,2,2,2,4,0,0
29,Schokoladencreme-Kaktortorte,2,8,11,15,17,21,0,0,4,2,2,2,2,4,0,0
30,Schokoladencreme-Kaktortorte,2,7,8,16,13,21,0,0,4,2,2,2,2,4,0,0
31,Zitronencreme-Herztorte,5,11,10,13,17,22,0,0,4,2,2,2,2,4,0,0
32,Zitronencreme-Herztorte,5,8,11,14,17,22,0,0,4,2,2,2,2,4,0,0
33,Zitronencreme-Mogrytorte,5,7,8,15,13,19,0,0,4,2,2,2,2,4,0,0
34,Zitronencreme-Mogrytorte,5,8,11,14,17,19,0,0,4,2,2,2,2,4,0,0
35,Zitronencreme-Eierschokotorte,5,10,11,15,17,20,0,0,4,2,2,2,2,4,0,0
36,Zitronencreme-Eierschokotorte,5,9,7,13,14,20,0,0,4,2,2,2,2,4,0,0
37,Zitronencreme-Chocobotorte,5,11,17,23,0,0,0,0,4,4,4,4,0,0,0,0
38,Zitronencreme-Chocobotorte,5,11,9,14,15,23,0,0,4,2,2,2,2,4,0,0
39,Zitronencreme-Kaktortorte,5,8,9,17,13,21,0,0,4,2,2,2,2,4,0,0
40,Zitronencreme-Kaktortorte,5,7,11,15,13,21,0,0,4,2,2,2,2,4,0,0
41,Pistaziencreme-Herztorte,3,7,8,16,15,22,0,0,4,2,2,2,2,4,0,0
42,Pistaziencreme-Herztorte,3,8,10,14,13,22,0,0,4,2,2,2,2,4,0,0
43,Pistaziencreme-Mogrytorte,3,10,11,15,13,19,0,0,4,2,2,2,2,4,0,0
44,Pistaziencreme-Mogrytorte,3,9,7,17,16,19,0,0,4,2,2,2,2,4,0,0
45,Pistaziencreme-Eierschokotorte,3,11,9,15,14,20,0,0,4,2,2,2,2,4,0,0
46,Pistaziencreme-Eierschokotorte,3,8,9,13,16,20,0,0,4,2,2,2,2,4,0,0
47,Pistaziencreme-Chocobotorte,3,7,11,16,15,23,0,0,4,2,2,2,2,4,0,0
48,Pistaziencreme-Chocobotorte,3,11,10,14,13,23,0,0,4,2,2,2,2,4,0,0
49,Pistaziencreme-Kaktortorte,3,9,15,21,0,0,0,0,4,4,4,4,0,0,0,0
50,Pistaziencreme-Kaktortorte,3,8,11,16,14,21,0,0,4,2,2,2,2,4,0,0
51,Abenteurer-Spezialtorte,6,12,18,24,0,0,0,0,4,4,4,4,0,0,0,0
