#,Message,YesButton,NoButton
0,dummy,"Ja, frag nicht lange.",Was?! Warte!
1,Photozelle nehmen?,Ja,Nein
2,,,
3,,,
4,Das Kleinod des Ketzers zerstören?,Ja,Nein
5,Photozellen einsetzen?,Ja,Nein
6,UNKNOWN wirklich verlassen?,Ja,Nein
7,,,
8,Die Instanz verlassen?,Ja,Nein
9,Die Tür mit dem kleinen Schlüssel öffnen?,Ja,Nein
10,,,
11,Die Sprengung durchführen?,Ja,Nein
12,Da ist ein Schalter. Drücken?,Ja,Nein
13,Den Schlüssel mitnehmen?,Ja,Nein
14,専用鍵Aを取得しますか？,はい,いいえ
15,専用鍵Bを取得しますか？,はい,いいえ
16,専用鍵Cを取得しますか？,はい,いいえ
17,専用鍵Dを取得しますか？,はい,いいえ
18,Mit dem kleinen Schlüssel die Tür aufschließen?,Ja,Nein
19,Die Misteltür aufschließen?,Ja,Nein
20,Die Nelkentür aufschließen?,Ja,Nein
21,Die Lilientür aufschließen?,Ja,Nein
22,Die Rosentür aufschließen?,Ja,Nein
23,,,
24,,,
25,Die Lampe löschen?,Ja,Nein
26,Den Hebel umlegen und das Tor öffnen?,Ja,Nein
27,,,
28,,,
29,Das Kleinod des Ketzers benutzen?,Ja,Nein
30,Den Magitek-Transporter benutzen?,Ja,Nein
31,Das blutige Pergament lesen?,Ja,Nein
32,Den Aufzugshebel betätigen?,Ja,Nein
33,Den Aufzugshebel betätigen?,Ja,Nein
34,Die Sprengvorrichtung aktivieren?,Ja,Nein
35,12 Unzen Sprengstoff in die Pulverkammer füllen?,Ja,Nein
36,Die Abkürzung nehmen?,Ja,Nein
37,Das Versteck-Haupttor öffnen?,Ja,Nein
38, benutzen?,Ja,Nein
39,Da ist ein Schalter. Drücken?,Ja,Nein
40,In den Magiewirbel springen?,Ja,Nein
41,In den Magiewirbel springen?,Ja,Nein
42,Die Falle auslösen?,Ja,Nein
43,Den Hebel umlegen und das Tor öffnen?,Ja,Nein
44,Die Tür der Kapitänsstube öffnen?,Ja,Nein
45,Das Wellenfahrer-Tor öffnen?,Ja,Nein
46,Die Kerkertür öffnen?,Ja,Nein
47,Die Waage des Urteils drücken?,Ja,Nein
48,In den Treibsand springen?,Ja,Nein
49,"Den garleischen Kennschlüssel benutzen, um die Sperre zu entriegeln?",Ja,Nein
50,In den Entsorgungsschacht zwängen?,Ja,Nein
51,Den nächsten Bereich betreten?,Ja,Nein
52,Den garleischen Kennschlüssel benutzen?,Ja,Nein
53,Den Sprengstoff Klasse XXXVII benutzen?,Ja,Nein
54,"Den Echelon-Lift aktivieren?
※ Alle Grup­pen­mit­glieder begleiten dich.",Ja,Nein
55,"Die Porta Decumana öffnen?
※ Alle Grup­pen­mit­glieder begleiten dich.",Ja,Nein
56,Den Lift rufen?,Ja,Nein
57,Den Lift aktivieren?,Ja,Nein
58,Die Magitek-Kampfmaschine besteigen?,Ja,Nein
59,Das Laternenöl benutzen?,Ja,Nein
60,Teleportieren?,Ja,Nein
61,Den nächsten Bereich betreten?,Ja,Nein
62,Den Schleichpfad betreten?,Ja,Nein
63,Die Bretterbarrikade entriegeln?,Ja,Nein
64,Dich der Kristallkugel anvertrauen?,Ja,Nein
65,Dich der Kristallkugel anvertrauen?,Ja,Nein
66,Die Lilientür aufschließen?,Ja,Nein
67,Die Rosentür aufschließen?,Ja,Nein
68,Mit dem kleinen Schlüssel die Tür aufschließen?,Ja,Nein
69,Zur zweiten Runde weitergehen?,Ja,Nein
70,Zur dritten Runde weitergehen?,Ja,Nein
71,Die Steintafel auf den Steinsockel legen?,Ja,Nein
72,Das Tor zur Hauptvorratskammer aufschließen?,Ja,Nein
73,Den Pumpenhebel betätigen?,Ja,Nein
74,Den Sonnenstein in die Vertiefung einsetzen?,Ja,Nein
75,Das Rad drehen?,Ja,Nein
76,Die Zelle öffnen?,Ja,Nein
77,Den Mondstein in die Vertiefung einsetzen?,Ja,Nein
78,Den Sonnenstein in die Vertiefung einsetzen?,Ja,Nein
79,Den Mondstein in die Vertiefung einsetzen?,Ja,Nein
80,Den Sternenstein in die Vertiefung einsetzen?,Ja,Nein
81,Die Tür zum Häretiker-Steig öffnen?,Ja,Nein
82,Die Tür zur Eissäulen-Arena öffnen?,Ja,Nein
83,Den nächsten Bereich betreten?,Ja,Nein
84,Die Elfenbein-Kapelle verlassen?,Ja,Nein
85,,,
86,Den Kennschlüssel benutzen?,Ja,Nein
87,Den Spielinhalt UNKNOWN verlassen?,Ja,Nein
88,(仮)本棚に魔道書を挿し込みますか？,はい,いいえ
89,Ein Donnerei opfern?,Ja,Nein
90,Den Stahlhebel einsetzen und betätigen?,Ja,Nein
91,Die Tür zur Kaserne öffnen?,Ja,Nein
92,Die Tür zum Kommandozimmer öffnen?,Ja,Nein
93,Den Aufzug aktivieren?,Ja,Nein
94,Das Tor zum zweiten Turmbau öffnen?,Ja,Nein
95,Das Tor öffnen?,Ja,Nein
96,Über den Hyperpfad transportieren lassen?,Ja,Nein
97,Den weißen Kristall untersuchen?,Ja,Nein
98,Den schwarzen Kristall untersuchen?,Ja,Nein
99,Du spürst eine unheimliche Präsenz. Die Umgebung untersuchen?,Ja,Nein
100,Teleportieren?,Ja,Nein
101,Zum Anfang des Inhalts zurückkehren?,Ja,Nein
102,Die Schatztruhe öffnen?,Ja,Nein
103,Fortschritt speichern und den Inhalt abschließen?,Ja,Nein
104,"Ein oder mehrere Grup­pen­mit­glieder sind offline. Der Fortschritt wurde gespeichert, als das Mitglied offline gegangen ist.
Den Inhalt wirklich verlassen?",Ja,Nein
105,"Wenn dein Inventar beim Verlassen des Inhalts voll ist, kannst du keine Gegenstände als Vergütung entgegennehmen.
Den Fortschritt speichern und den Inhalt verlassen?",Ja,Nein
106,Das Tor öffnen?,Ja,Nein
107,Den Hebel umlegen?,Ja,Nein
108,Das Ixal-Tor öffnen?,Ja,Nein
109,Die beflügelnde Säule aktivieren?,Ja,Nein
110,"Den Weltensalon verlassen?
※ Aktive Gegnervermittlungen werden abgebrochen.",Ja,Nein
111,Die Kürbistruhe öffnen?,Ja,Nein
112,Das Tor öffnen?,Ja ,Nein
113,Die Plattform aktivieren?,Ja,Nein
114,Den weißen Kristall untersuchen?,Ja,Nein
115,Den schwarzen Kristall untersuchen?,Ja,Nein
116,Duftfalle anzünden?,Ja,Nein
117,"（仮）魔獣を呼び寄せかねない危険をおかしても、
魔力の奔流に身を任せますか？",はい,いいえ
118,"Das Fehlende Juwel verlassen?
※ Wenn du das Fehlende Juwel verlässt, kannst du unter Umständen nicht wieder zurückkehren.
※ Kampfunfähige Charaktere werden zur Landungsstelle zurückversetzt.",Ja,Nein
119,"(仮)緊急任務を取りやめることになります。
本当によろしいですか？",はい,いいえ
120,Die Projektionskräfte der Mirakelschnecke nutzen?,Ja,Nein
121,Das Tor öffnen?,Ja ,Nein
122,Auf den Yol aufsitzen?,Ja,Nein
123,Zu Testebene II wechseln?,Ja,Nein
124,Auf „Höher“ tippen?,Ja,Nein
125,Auf „Niedriger“ tippen?,Ja,Nein
126,Zu Testebene III wechseln?,Ja,Nein
127,Mit dem Kristall teleportieren?,Ja,Nein
128,Den Hebel umlegen?,Ja,Nein
129,Diese Karte wählen?,Ja,Nein
130,Zum Frachtwaggon zurückkehren?,Ja,Nein
131,Die Vene des Drachen öffnen?,Ja,Nein
132,Teleportieren?,Ja,Nein
133,Die Glücksaltäre anbeten?,Ja,Nein
134,Das GATE verlassen?,Ja,Nein
135,Das Hauptquartier verlassen?,Ja,Nein
136,Die Transportfunktion des Zugriffspunktes nutzen?,Ja,Nein
137,Diese Karte wählen?,Ja,Nein
138,Die Opo-Opo-Statue berühren?,Ja,Nein
139,Die Wolfsstatue berühren?,Ja,Nein
140,Die Eulenstatue berühren?,Ja,Nein
141,Die Coeurlstatue berühren?,Ja,Nein
142,Die Schlangenstatue berühren?,Ja,Nein
143,Die Kolibristatue berühren?,Ja,Nein
144,Teleportieren?,Ja,Nein
145,Den Schoß der Erde betreten?,Ja,Nein
146,Den Schoß der Ströme betreten?,Ja,Nein
147,Den Schoß der Flammen betreten?,Ja,Nein
148,Zum Schoß der Hexerei zurückkehren?,Ja,Nein
149,Mit dem Kristall teleportieren?,Ja,Nein
150,Die Transportfunktion des Zugriffspunktes nutzen?,Ja,Nein
151,Das Portal benutzen?,Ja,Nein
152,Zu den Moraby-Trockendocks gehen?,Ja,Nein
153,Den Sockel zurück aufs Podest stellen?,Ja,Nein
154,Die Waage des Urteils drücken?,Ja,Nein
155,Teleportieren?,Ja,Nein
156,,,
157,Die Suzaku-Statue drehen?,Ja,Nein
158,Die Seiryu-Statue drehen?,Ja,Nein
159,Die Kristallkugel berühren?,Ja,Nein
160,Ein unheilvoll anmutendes Katana ruht in der Schachtel ... Den Deckel schließen?,Ja,Nein
161,Die Pforte öffnen?,Ja,Nein
162,Am Seil ziehen?,Ja,Nein
163,Am Seil ziehen?,Ja,Nein
164,Teleportieren?,Ja,Nein
165,Eine kleine Figur ist in den Stamm gebettet ... Sie herausnehmen?,Ja,Nein
166,Im Schrein befindet sich ein kleiner Sockel. Den Dogu darauf stellen?,Ja,Nein
167,Die Transportvorrichtung benutzen?,Ja,Nein
168,Den Dimensionsspalt berühren?,Ja,Nein
169,Den Hypno-Automaten aktivieren?,Ja,Nein
170,,,
