#,ExpReward,ScriptRewardAmount,Points
0,0,0,0
1,25468,3,0
2,45238,4,0
3,64653,5,0
4,83212,6,0
5,163602,7,0
6,330469,8,0
7,332169,10,0
8,367148,12,0
9,457736,14,0
10,470949,16,0
11,484161,18,0
12,692336,20,0
13,1000,29,0
14,1000,43,0
15,1000,58,0
16,25525,3,0
17,45339,4,0
18,64797,5,0
19,85394,7,0
20,167893,8,0
21,339135,9,0
22,341459,11,0
23,377417,13,0
24,470539,15,0
25,478503,16,0
26,486466,18,0
27,695631,20,0
28,1000,30,3
29,1000,45,10
30,1000,60,25
31,1000,63,175
32,1000,69,370
33,1000,76,800
34,25468,1,0
35,45238,1,0
36,64653,1,0
37,83212,1,0
38,163602,1,0
39,330469,1,0
40,332169,1,0
41,367148,1,0
42,457736,2,0
43,470949,1,0
44,484161,1,0
45,692336,2,0
46,1000,1,0
47,1000,2,0
48,1000,3,0
49,25525,1,0
50,45339,1,0
51,64797,1,0
52,85394,1,0
53,167893,1,0
54,339135,1,0
55,341459,1,0
56,377417,1,0
57,470539,2,0
58,478503,1,0
59,486466,1,0
60,695631,2,0
61,1000,1,1
62,1000,2,7
63,1000,3,21
64,1000,1,24
65,1000,2,37
66,1000,3,80
67,26696,3,0
68,47420,4,0
69,67771,5,0
70,90527,7,0
71,177985,8,0
72,359521,9,0
73,366198,11,0
74,372874,13,0
75,464875,15,0
76,496578,18,0
77,528280,20,0
78,755426,22,0
79,1000,31,3
80,1000,47,10
81,1000,63,25
82,1000,66,175
83,1000,72,370
84,1000,80,1100
85,26696,1,0
86,47420,1,0
87,67771,1,0
88,90527,1,0
89,177985,1,0
90,359521,1,0
91,366198,1,0
92,372874,1,0
93,464875,2,0
94,496578,1,0
95,528280,1,0
96,755426,2,0
97,1000,1,1
98,1000,2,7
99,1000,3,21
100,1000,1,24
101,1000,2,37
102,1000,3,110
103,26696,3,0
104,47420,4,0
105,67771,5,0
106,90527,7,0
107,177985,8,0
108,359521,9,0
109,366198,11,0
110,372874,13,0
111,464875,15,0
112,496578,18,0
113,528280,20,0
114,755426,22,0
115,1000,31,3
116,1000,47,10
117,1000,63,25
118,1000,66,175
119,1000,72,370
120,1000,80,820
121,26696,3,0
122,47420,4,0
123,67771,5,0
124,90527,7,0
125,177985,8,0
126,359521,9,0
127,366198,11,0
128,372874,13,0
129,464875,15,0
130,496578,18,0
131,528280,20,0
132,755426,22,0
133,1000,31,3
134,1000,47,10
135,1000,63,25
136,1000,66,175
137,1000,72,370
138,1000,80,820
