#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Item1,Item2,PopRange0,PopRange1,PopRange2,Unknown5,Unknown6,Unknown7,Unknown8,Image,PlaceName,Unknown9,Objective1,Objective2,Objective3,RequiredAmount1,RequiredAmount2,Unknown10,Unknown11,Unknown12,Unknown13
0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Expedition Baumhörnchen,"Das Auftauchen des Fehlenden Juwels verursachte gewaltige Umwälzungen des ätherischen Elementargleichgewichts, welche das Gelände des gesamten Diadems veränderte. Das Haus Haillenarte bittet interessierte Aben­teurer­gruppen, bei der Neuevaluierung und Kartografierung der vorhandenen Rohstoffe zu assistieren. Nehmt dazu nach eigenem Ermessen Proben der hiesigen Gesteins-, Pflanzen- und Fischvorkommen. Die Proben selbst dürfen die Sammler als Teil ihrer Belohnung behalten.

※ Fülle den Bewertungsbalken durch das Abschließen von Sammel-FATEs und anderen Aktionen!",Hier Kontrollzentrale Haillenarte. Die Expedition zur Probengewinnung wurde erfolgreich abgeschlossen. Ich wiederhole: Expedition abgeschlossen.,"Das Haus dankt der Besatzung des Luftschiffs für die geleisteten Dienste. Kehrt zur *Bounty* zurück, um eure Belohnung in Empfang zu nehmen.","Es steht euch frei, eure Expedition des gesamten Diadems auf eigene Faust fortzusetzen. Benutzt die Ätherfissuren und das Portal, wie es euch beliebt. Viel Erfolg!",0,0,0,0,0,0,0,0,6710323,111102,0,0,10,11,12,0,0,0,0,0,0
6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Expedition Kristallklar,"Die heftigen Umwälzungen, denen die Elementar­kräfte des Diadems unterliegen, lassen immer mehr Äther kristallisieren. Die aufgeladenen Kristalle stellen vielseitige und wertvolle Ressourcen dar. Das Haus Haillenarte bietet allen Aben­teurer­gruppen eine Belohnung an, welche überladene Elementarkristalle einsammeln und bei dem Piloten des Luftschiffs *Bounty* abliefern.

Außerdem warten in der näheren Umgebung weitere Aufgaben darauf, von engagierten Aben­teurer­gruppen erledigt zu werden.

※ Fülle den Bewertungsbalken durch das Abschließen von FATEs und anderen Aktionen!",Hier Kontrollzentrale Haillenarte. Die Expedition zur Kristallsammlung wurde erfolgreich abgeschlossen. Ich wiederhole: Expedition abgeschlossen.,Das Haus dankt der Besatzung des Luftschiffs für die geleisteten Dienste. Die Belohnung wurde an euren Koordinaten abgeworfen.,"Es steht euch frei, eure Expedition des gesamten Diadems auf eigene Faust fortzusetzen. Benutzt die Ätherfissuren und das Portal, wie es euch beliebt. Viel Erfolg!",2002042,2002045,6798633,6798655,6710324,0,0,0,6710323,111101,0,0,13,20,25,4,4,1,0,0,0
8,Expedition Maulkorb,"Die dichten Ätherströme des Diadems ziehen hochgefährliche Kreaturen an, die zu einer ernsten Bedrohung für die Sicherheit des Expeditionspersonals geworden sind. Schlagkräftigen Aben­teurer­gruppen, welche die Ungeheuer beseitigen, winken großzügige Belohnungen. Das Haus Haillenarte hat Duftfallen aufgestellt, die angezündet werden müssen, um die unerwünschten Kreaturen anzulocken.

Außerdem warten in der näheren Umgebung weitere Aufgaben darauf, von engagierten Aben­teurer­gruppen erledigt zu werden.

※ Fülle den Bewertungsbalken durch das Abschließen von FATEs und anderen Aktionen!",Hier Kontrollzentrale Haillenarte. Die Expedition zur Ungeheuerbeseitigung wurde erfolgreich abgeschlossen. Ich wiederhole: Expedition abgeschlossen.,Das Haus dankt der Besatzung des Luftschiffs für die geleisteten Dienste. Die Belohnung wurde an euren Koordinaten abgeworfen.,"Es steht euch frei, eure Expedition des gesamten Diadems auf eigene Faust fortzusetzen. Benutzt die Ätherfissuren und das Portal, wie es euch beliebt. Viel Erfolg!",0,0,6710332,6710294,6710302,0,0,0,6887965,111101,0,0,61,86,71,3,3,3,0,0,0
9,Expedition Maulkorb,"Die dichten Ätherströme des Diadems ziehen hochgefährliche Kreaturen an, die zu einer ernsten Bedrohung für die Sicherheit des Expeditionspersonals geworden sind. Schlagkräftigen Aben­teurer­gruppen, welche die Ungeheuer beseitigen, winken großzügige Belohnungen. Das Haus Haillenarte hat Duftfallen aufgestellt, die angezündet werden müssen, um die unerwünschten Kreaturen anzulocken.

Außerdem warten in der näheren Umgebung weitere Aufgaben darauf, von engagierten Aben­teurer­gruppen erledigt zu werden.

※ Fülle den Bewertungsbalken durch das Abschließen von FATEs und anderen Aktionen!",Hier Kontrollzentrale Haillenarte. Die Expedition zur Ungeheuerbeseitigung wurde trotz der Komplikationen erfolgreich abgeschlossen. Ich wiederhole: Expedition abgeschlossen.,Das Haus dankt der Besatzung des Luftschiffs für die geleisteten Dienste. Die Belohnung wurde an euren Koordinaten abgeworfen.,"Es steht euch frei, eure Expedition des gesamten Diadems auf eigene Faust fortzusetzen. Benutzt die Ätherfissuren und das Portal, wie es euch beliebt. Viel Erfolg!",0,0,6710307,6710345,6710345,0,0,0,6887983,111101,0,0,80,85,94,3,3,2,0,0,0
