#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown_70_4,Pronoun,Article,Model,Icon,Unknown_70_8,Style
0,,,,,0,0,0,1,0,0,0,0,0,-1
1,oval[a] Brille,oval[a] Brillen,Ungefärbtes Gesichtsaccessoire,Ovale Brille,3,1,0,1,1,0,71037,200049,0,0
2,oval[a] Brille[p] - Silber,oval[a] Brillen[p] - Silber,Silbernes Gesichtsaccessoire,Ovale Brille - Silber,3,1,0,1,1,0,136573,200053,0,0
3,oval[a] Brille[p] - Gold,oval[a] Brillen[p] - Gold,Goldenes Gesichtsaccessoire,Ovale Brille - Gold,3,1,0,1,1,0,202109,200052,0,0
4,oval[a] Brille[p] - Schwarz,oval[a] Brillen[p] - Schwarz,Schwarzes Gesichtsaccessoire,Ovale Brille - Schwarz,3,1,0,1,1,0,267645,200054,0,0
5,oval[a] Brille[p] - Weiß,oval[a] Brillen[p] - Weiß,Weißes Gesichtsaccessoire,Ovale Brille - Weiß,3,1,0,1,1,0,333181,200059,0,0
6,oval[a] Brille[p] - Grau,oval[a] Brillen[p] - Grau,Graues Gesichtsaccessoire,Ovale Brille - Grau,3,1,0,1,1,0,398717,200050,0,0
7,oval[a] Brille[p] - Rot,oval[a] Brillen[p] - Rot,Rotes Gesichtsaccessoire,Ovale Brille - Rot,3,1,0,1,1,0,464253,200057,0,0
8,oval[a] Brille[p] - Blau,oval[a] Brillen[p] - Blau,Blaues Gesichtsaccessoire,Ovale Brille - Blau,3,1,0,1,1,0,529789,200056,0,0
9,oval[a] Brille[p] - Grün,oval[a] Brillen[p] - Grün,Grünes Gesichtsaccessoire,Ovale Brille - Grün,3,1,0,1,1,0,595325,200060,0,0
10,oval[a] Brille[p] - Messing,oval[a] Brillen[p] - Messing,Messingfarbenes Gesichtsaccessoire,Ovale Brille - Messing,3,1,0,1,1,0,660861,200051,0,0
11,oval[a] Brille[p] - Violett,oval[a] Brillen[p] - Violett,Violettes Gesichtsaccessoire,Ovale Brille - Violett,3,1,0,1,1,0,726397,200055,0,0
12,oval[a] Brille[p] - Braun,oval[a] Brillen[p] - Braun,Braunes Gesichtsaccessoire,Ovale Brille - Braun,3,1,0,1,1,0,791933,200058,0,0
13,getönt[a] Brille,getönt[a] Brillen,Ungefärbtes Gesichtsaccessoire,Getönte Brille,3,1,0,1,1,0,71038,200085,0,1
14,getönt[a] Brille[p] - Silber,getönt[a] Brillen[p] - Silber,Silbernes Gesichtsaccessoire,Getönte Brille - Silber,3,1,0,1,1,0,136574,200089,0,1
15,getönt[a] Brille[p] - Gold,getönt[a] Brillen[p] - Gold,Goldenes Gesichtsaccessoire,Getönte Brille - Gold,3,1,0,1,1,0,202110,200088,0,1
16,getönt[a] Brille[p] - Schwarz,getönt[a] Brillen[p] - Schwarz,Schwarzes Gesichtsaccessoire,Getönte Brille - Schwarz,3,1,0,1,1,0,267646,200090,0,1
17,getönt[a] Brille[p] - Weiß,getönt[a] Brillen[p] - Weiß,Weißes Gesichtsaccessoire,Getönte Brille - Weiß,3,1,0,1,1,0,333182,200095,0,1
