#,Name,NameShort,NameFemale,Description,NameEnglish,Action[0],Action[1],Action[2],Action[3],Action[4],LevelMax,JobIndex,LevelUnlock[0],LevelUnlock[1],LevelUnlock[2],LevelUnlock[3],LevelUnlock[4]
0,Phantom-Freiberufler,Ph-Freiberufler,Phantom-Freiberuflerin,"In dieser Erinnerung stecken die bescheidenen Anfänge bis zum glorreichen Ende eines alten Abenteurers. Außerdem lauter Kniffe, die beim Erkunden äußerst nützlich sind.",Phantom Freelancer,41650,41651,46606,49102,0,24,24,5,10,15,20,0
1,Phantom-Ritter,Ph-Ritter,Phantom-Ritterin,Treue und Ehre prägen diese alte Erinnerung eines noblen Ritters. Mit ihr lassen sich Mitstreiter vielseitig schützen und vor Schaden bewahren.,Phantom Knight,41588,41589,41590,41591,0,6,1,1,2,3,6,0
2,Phantom-Berserker,Ph-Berserker,Phantom-Berserkerin,Erinnerungen an Zorn und Mut prägen diesen einstigen Berserker. Seine Techniken zahlen sich durch hohes Risiko mit entsprechend hoher Belohnung aus.,Phantom Berserker,41592,41594,0,0,0,3,7,1,2,0,0,0
3,Phantom-Mönch,Ph-Mönch,Phantom-Mönchin,"Übung und Meditation sind das, was in der Erinnerung dieses Mönchs stecken. Man wird kaum einen geschickteren Angreifer als diesen edlen Krieger finden.",Phantom Monk,41595,41596,41597,41598,0,6,2,1,2,3,5,0
4,Phantom-Jäger,Ph-Jäger,Phantom-Jägerin,"Mit Stolz und Leidenschaft schoss dieser Jäger seine Pfeile, wie diese alte Erinnerung verrät. Mit ihr macht man sich die vielseitigen Talente verschiedener Tiere zu Eigen.",Phantom Ranger,41599,41600,41601,41602,0,6,8,1,2,4,6,0
5,Phantom-Samurai,Ph-Samurai,Phantom-Samurai,"Der Weg des Samurai ist von einem starken Geist geprägt, wie diese Erinnerung deutlich macht. Sie lehrt, Feinde mit einem einzigen Streich zu besiegen.",Phantom Samurai,41603,41604,41605,41606,0,5,6,1,2,3,4,0
6,Phantom-Barde,Ph-Barde,Phantom-Bardin,"Poesie, Gesang und die Liebe zur Kunst finden sich in der Erinnerung dieses alten Barden. Mit genau dieser Kunst können Gefährten vielseitig unterstützt werden.",Phantom Bard,41608,41609,41607,41610,0,4,18,1,2,3,4,0
7,Phantom-Geomant,Ph-Geomant,Phantom-Geomantin,"Das Wissen der Naturgesetze und ein logischer Geist prägen diese geomantische Erinnerung. Sie lehrt, sich das Wetter optimal zunutze zu machen.",Phantom Geomancer,41611,41612,41619,41620,0,5,17,1,2,3,4,0
8,Phantom-Zeitmagier,Ph-Zeitmagier,Phantom-Zeitmagierin,In dieser Erinnerung schlummert das Wissen um die Gesetze der Zeit und wie diese zu beugen sind. Der Zeitmagier unterstützt Gefährten auf vielfältige und kreative Weise.,Phantom Time Mage,41621,41623,41624,41622,41625,5,12,1,2,3,4,5
9,Phantom-Grenadier,Ph-Grenadier,Phantom-Grenadierin,Komplexe Taktiken und schwere Ballistik zeichnen die Erinnerung dieses alten Grenadiers. Seine Geschosse unterstützen seinen Trupp mit allerlei Effekten.,Phantom Cannoneer,41626,41627,41628,41629,41630,6,22,1,2,3,4,6
