#,Name,Description,QuestRequirement,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL,AnimationStart,AnimationEnd,Icon,RequiredStatus,ClassJobCategory,ClassJobLevel,Cost,ClassJob,Specialist
100000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100001,Bearbeiten,"Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 120
Erfolgswahrscheinlichkeit: 100 %",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1501,0,9,1,0,8,False
100002,Veredelung,"Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1502,0,9,5,18,8,False
100003,Wiederherstellung,30 Punkte der Belastbarkeit des Materials werden wieder­her­gestellt.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,9,7,88,8,False
100004,Solide Veredelung,"Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 125
Erfolgswahrscheinlichkeit: 100 %
Kombo-Bedingung: **Veredelung**
Bonus: Die HP-Kosten sind auf 18 verringert.",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1516,0,9,18,32,8,False
100005,Wiederherstellung II,60 Punkte der Belastbarkeit des Materials werden wieder­her­gestellt.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100006,Zeichen des Winds,"Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 100 (bei windbasiertem Rezept 200)
Erfolgswahrscheinlichkeit: 90 %",0,100006,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100007,Solide Bearbeitung,"Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100008,Höhere Veredelung,"Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100009,Byregots Benediktion,"Die Qualität wird erhöht.
Effizienz: 100 (+ pro Status **Innere Ruhe**
weitere 20, wobei Innere Ruhe durch dieses Kommando beendet wird)
Erfolgswahrscheinlichkeit: 90 %",0,100009,0,0,0,0,0,0,0,240,247,786,0,0,1,0,-1,False
100010,Beobachten,Wartet für einen Arbeitsschritt ab.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,9,13,7,8,False
100011,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100012,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100013,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100014,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100015,Bearbeiten,"Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 120
Erfolgswahrscheinlichkeit: 100 %",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1551,0,10,1,0,9,False
100016,Veredelung,"Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1552,0,10,5,18,9,False
100017,Wiederherstellung,30 Punkte der Belastbarkeit des Materials werden wieder­her­gestellt.,0,100003,100017,100032,100077,100047,100062,100092,100107,242,249,1952,0,10,7,88,9,False
100018,Solide Veredelung,"Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 125
Erfolgswahrscheinlichkeit: 100 %
Kombo-Bedingung: **Veredelung**
Bonus: Die HP-Kosten sind auf 18 verringert.",0,100004,100018,100034,100078,100048,100064,100093,100109,240,247,1566,0,10,18,32,9,False
100019,Wiederherstellung II,60 Punkte der Belastbarkeit des Materials werden wieder­her­gestellt.,0,100005,100019,100035,100079,100049,100065,100094,100110,242,249,786,0,0,1,0,-1,False
100020,Zeichen des Feuers,"Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 100 (bei feuerbasiertem Rezept 200)
Erfolgswahrscheinlichkeit: 90 %",0,100020,0,0,0,0,0,0,0,239,246,786,0,0,1,0,-1,False
100021,Solide Bearbeitung,"Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",0,100007,100021,100037,100080,100051,100067,100096,100111,239,246,786,0,0,1,0,-1,False
100022,Höhere Veredelung,"Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 150
Erfolgswahrscheinlichkeit: 90 %",0,100008,100022,100038,100081,100052,100068,100097,100112,240,247,786,0,0,1,0,-1,False
100023,Beobachten,Wartet für einen Arbeitsschritt ab.,0,100010,100023,100040,100082,100053,100070,100099,100113,11586,11587,1954,0,10,13,7,9,False
100024,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100025,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100026,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100027,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100028,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100029,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100030,Bearbeiten,"Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.
Effizienz: 120
Erfolgswahrscheinlichkeit: 100 %",0,100001,100015,100030,100075,100045,100060,100090,100105,239,246,1601,0,11,1,0,10,False
100031,Veredelung,"Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.
Effizienz: 100
Erfolgswahrscheinlichkeit: 100 %",0,100002,100016,100031,100076,100046,100061,100091,100106,240,247,1602,0,11,5,18,10,False
