#,Name,Order,RequiredItem[0],RequiredItem[1],RequiredItem[2],CompanyCraftDraftCategory,RequiredItemCount[0],RequiredItemCount[1],RequiredItemCount[2]
0,Luftschiff-Bauplan: Modell 2,1,12923,0,0,1,6,0,0
1,Luftschiff-Bauplan: Modell 3,2,12924,12923,0,1,10,4,0
2,Luftschiff-Bauplan: Modell 4,3,12925,12923,0,1,10,4,0
3,Luftschiff-Bauplan: Modell 5,4,12926,12924,0,1,14,4,0
4,Luftschiff-Bauplan: Modell 6,5,12927,12925,12923,1,14,4,4
5,Gebäude-Bauplan: Küche,1,12920,0,0,2,10,0,0
6,Gebäude-Bauplan: Rüstungskammer,2,12921,0,0,2,10,0,0
7,Gebäude-Bauplan: Waffenkammer,3,12922,12921,0,2,9,8,0
8,Ätherrad-Bauplan: Modell 2,1,12928,0,0,0,6,0,0
9,Ätherrad-Bauplan: Modell 3,2,12928,0,0,0,6,0,0
10,Ätherrad-Bauplan: Modell 4,3,12928,0,0,0,6,0,0
11,Ätherrad-Bauplan: Modell 5,4,12929,12922,0,0,4,2,0
12,Ätherrad-Bauplan: Modell 6,5,12929,12922,0,0,4,2,0
13,Ätherrad-Bauplan: Modell 7,6,12929,12922,0,0,4,2,0
14,Ätherrad-Ständer-Bauplan: Modell 2,7,12929,12922,12920,0,6,3,8
15,Gebäude-Bauplan: Mog-Haus,4,12922,12921,12923,2,11,10,8
16,Ätherrad-Ständer-Bauplan: Modell 3,8,12929,12922,12920,0,8,5,10
17,Luftschiff-Bauplan: Modell 7,6,12927,12926,12925,1,18,8,8
18,Ätherrad-Ständer-Bauplan: Modell 4,9,12929,12922,12920,0,10,7,12
19,Ätherrad-Ständer-Bauplan: Modell 5,10,12929,12922,12920,0,12,9,14
20,Gebäude-Bauplan: Chocobo-Haus,5,12922,12921,12923,2,14,12,10
21,Gebäude-Bauplan: Paissa-Haus,6,12922,12921,12923,2,16,14,12
22,Gebäude-Bauplan: Karfunkel-Haus,7,12922,12921,12923,2,18,16,14
23,Gebäude-Bauplan: Burg Shirogane,8,12922,12921,12923,2,20,18,16
24,Tauchboot-Bauplan: Modell 1,7,5374,0,0,1,6,0,0
25,Tauchboot-Bauplan: Modell 2,8,12924,12923,0,1,10,4,0
26,Tauchboot-Bauplan: Modell 3,9,12925,12923,0,1,10,4,0
27,Gebäude-Bauplan: Obskurer-Otter-Haus,9,12922,12921,12923,2,21,19,17
28,Tauchboot-Bauplan: Modell 4,10,12926,12924,0,1,14,4,0
29,Tauchboot-Bauplan: Modell 5,11,12927,12925,12923,1,14,4,4
30,Tauchboot-Bauplan: Modell 6,12,26528,12926,12924,1,18,8,8
31,Gebäude-Bauplan: Fachwerkhaus,10,12922,29590,26528,2,18,10,8
32,Gebäude-Bauplan: Ambosshaus,10,12922,29590,26528,2,18,10,8
33,Gebäude-Bauplan: Floristenhaus,10,12922,29590,26528,2,18,10,8
34,Gebäude-Bauplan: Schmiedehaus,10,12922,29590,26528,2,18,10,8
35,Gebäude-Bauplan: Kaffeehaus,10,12922,29590,26528,2,18,10,8
36,Gebäude-Bauplan: Lebkuchenhaus,10,29590,37083,26528,2,18,10,8
37,Gebäude-Bauplan: Sukiya-Haus,10,29590,37083,26528,2,18,10,8
38,Gebäude-Bauplan: Landhaus,10,29590,37083,26528,2,18,10,8
