#,Objective,Unknown0,Unknown1,Unknown2,EObj,Unknown3,Unknown4,Type,Unknown5,Range,Unknown6
0,,,,,0,0,0,0,0,0,-1
1,,,,,0,0,0,0,0,0,0
2,,,,,0,0,0,0,0,0,0
3,,,,,0,0,0,0,0,0,0
4,,,,,0,0,0,0,0,0,0
5,,,,,0,0,0,0,0,0,0
6,,,,,0,0,0,0,0,0,0
7,,,,,0,0,0,0,0,0,0
8,,,,,0,0,0,0,0,0,0
9,,,,,0,0,0,0,0,0,0
10,,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, bei der Evaluierung vorhandener Ressourcen zu assistieren. Sammelt dazu Rohstoffproben nach eigenem Ermessen.",Das Haus zahlt im Gegenzug natürlich eine fürstliche Belohnung. Auf gute Zusammenarbeit!,0,0,0,6,0,0,-1
11,,Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der ersten Etappe der Probengewinnung.,Die ersten Ergebnisse sehen viel­ver­sprechend aus. Viel Erfolg bei der nächsten Etappe!,,0,0,0,6,0,0,-1
12,,Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der zweiten Etappe der Probengewinnung.,Eure Ausbeute kann sich sehen lassen. Bringt jetzt den Einsatz zu Ende!,,0,0,0,6,0,0,-1
13,Überladene Feuerkristalle sammeln,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, überladene Elementarkristalle zu beschaffen. Ich übermittle die Koordinaten ...","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007594,0,8,9,0,0,-1
14,Überladene Was­ser­kris­tal­le sammeln,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, überladene Elementarkristalle zu beschaffen. Ich übermittle die Koordinaten ...","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007597,0,8,9,0,0,-1
15,Überladene Erdkristalle sammeln,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, überladene Elementarkristalle zu beschaffen. Ich übermittle die Koordinaten ...","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007595,0,8,9,0,0,-1
16,Überladene Eiskristalle sammeln,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, überladene Elementarkristalle zu beschaffen. Ich übermittle die Koordinaten ...","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007596,0,8,9,0,0,-1
17,Überladene Windkristalle sammeln,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, überladene Elementarkristalle zu beschaffen. Ich übermittle die Koordinaten ...","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007598,0,8,9,0,0,-1
18,Überladene Blitzkristalle sammeln,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, überladene Elementarkristalle zu beschaffen. Ich übermittle die Koordinaten ...","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007593,0,8,9,0,0,-1
19,Überladene Feuerkristalle sammeln,Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der ersten Etappe der Expedition.,Schreitet nun zur Beschaffung von überladenen Elementarkristallen. Ich übermittle die Koordinaten ...,"Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007594,1,10,9,0,0,-1
20,Überladene Was­ser­kris­tal­le sammeln,Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der ersten Etappe der Expedition.,Schreitet nun zur Beschaffung von überladenen Elementarkristallen. Ich übermittle die Koordinaten ...,"Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007597,1,10,9,0,0,-1
21,Überladene Erdkristalle sammeln,Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der ersten Etappe der Expedition.,Schreitet nun zur Beschaffung von überladenen Elementarkristallen. Ich übermittle die Koordinaten ...,"Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007595,1,10,9,0,0,-1
22,Überladene Eiskristalle sammeln,Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der ersten Etappe der Expedition.,Schreitet nun zur Beschaffung von überladenen Elementarkristallen. Ich übermittle die Koordinaten ...,"Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007596,1,10,9,0,0,-1
23,Überladene Windkristalle sammeln,Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der ersten Etappe der Expedition.,Schreitet nun zur Beschaffung von überladenen Elementarkristallen. Ich übermittle die Koordinaten ...,"Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007598,1,10,9,0,0,-1
24,Überladene Blitzkristalle sammeln,Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der ersten Etappe der Expedition.,Schreitet nun zur Beschaffung von überladenen Elementarkristallen. Ich übermittle die Koordinaten ...,"Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",2007593,1,10,9,0,0,-1
25,Ressourcen beim Piloten der *Bounty* abliefern,Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der zweiten Etappe der Expedition.,Bringt jetzt die gesammelten Ressourcen zum Piloten des Luftschiffs *Bounty*.,"Das Haus Haillenarte dankt euch für eure Hilfe. Ihr habt einen großen Dienst geleistet. Der Pilot wurde angewiesen, euch eure Belohnung auszuhändigen.",0,0,0,2,0,0,-1
26,Silberschalen anlocken und Organproben entnehmen,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, bei der Beschaffung von Organproben zu assistieren. Lockt dazu das bezeichnete Ungeheuer mit einer Duftfalle an und erschlagt es!","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",0,0,0,4,0,5,-1
27,Wolkennöcken anlocken und Organproben entnehmen,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, bei der Beschaffung von Organproben zu assistieren. Lockt dazu das bezeichnete Ungeheuer mit einer Duftfalle an und erschlagt es!","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",0,0,0,4,0,5,-1
28,Juwelwespen anlocken und Organproben entnehmen,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, bei der Beschaffung von Organproben zu assistieren. Lockt dazu das bezeichnete Ungeheuer mit einer Duftfalle an und erschlagt es!","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",0,0,0,4,0,5,-1
29,Regenbogen-Gastornis anlocken und Organproben entnehmen,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, bei der Beschaffung von Organproben zu assistieren. Lockt dazu das bezeichnete Ungeheuer mit einer Duftfalle an und erschlagt es!","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",0,0,0,4,0,5,-1
30,Lunantishees anlocken und Organproben entnehmen,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, bei der Beschaffung von Organproben zu assistieren. Lockt dazu das bezeichnete Ungeheuer mit einer Duftfalle an und erschlagt es!","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",0,0,0,4,0,5,-1
31,Ameisenfalken anlocken und Organproben entnehmen,Hier Kommandozentrale Haillenarte. An das eingetroffene Luftschiff: Willkommen auf dem Diadem!,"Das Haus Haillenarte bittet die Besatzung des Luftschiffs, bei der Beschaffung von Organproben zu assistieren. Lockt dazu das bezeichnete Ungeheuer mit einer Duftfalle an und erschlagt es!","Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",0,0,0,4,0,5,-1
32,Diplocaulen anlocken und Knochenproben entnehmen,Hier Kommandozentrale Haillenarte. Wir bestätigen den Abschluss der ersten Etappe der Expedition.,Wir brauchen weitere Proben. Lockt das bezeichnete Ungeheuer mit einer Duftfalle an und erschlagt es!,"Im Übrigen habe ich nichts dagegen, wenn ihr euch auch um andere Aufgaben kümmert. Wir können jede Hilfe gebrauchen!",0,0,0,4,0,3,-1
