#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Unknown1,Quest,Icon,Action,StackSize,Category,CastTime,CastTimeline,Timeline
2000000,,,,0,0,0,1,0,0,False,0,0,0,1,1,0,0,0
2000001,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000002,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000003,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000004,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000005,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000006,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000007,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000008,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000009,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000010,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000011,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000012,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000013,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000014,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000015,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000016,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000017,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000018,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000019,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000020,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000021,hölzern[a] Haarschmuck,hölzern[a] Haarschmuckstücke,Hölzerner Haarschmuck,4,2,0,1,0,0,False,0,22623,1,1,1,3,0,0
2000022,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000023,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000024,nigelnagelneu[a] Werkzeugkiste,nigelnagelneu[a] Werkzeugkisten,Nigelnagelneue Werkzeugkiste,3,1,0,1,1,0,False,65563,21002,1,1,1,3,0,0
2000025,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000026,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000027,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000028,Azeyma-Rose,Azeyma-Rosen,Azeyma-Rose,3,1,0,1,1,0,False,65562,25919,1,1,1,3,0,0
2000029,Metallbeschlag,Metallbeschläge,Metallbeschlag,4,2,0,1,0,0,False,65568,21007,1,1,1,3,0,0
2000030,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000031,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000032,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
2000033,,,,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
