#,Name,UnlockLink,Icon,VFX,ActionTimelineHit,PrimaryCostValue,SecondaryCostValue,ActionCombo,Cast100ms,Recast100ms,ActionProcStatus,StatusGainSelf,Omen,OmenAlt,AnimationEnd,ActionCategory,Unknown1,AnimationStart,Unknown2,BehaviourType,ClassJobLevel,CastType,EffectRange,XAxisModifier,PrimaryCostType,SecondaryCostType,ExtraCastTime100ms,CooldownGroup,AdditionalCooldownGroup,MaxCharges,Aspect,Unknown4,ClassJobCategory,AutoAttackBehaviour,EquivalenceGroup,Unknown_70,ClassJob,Range,DeadTargetBehaviour,AttackType,Unknown8,IsRoleAction,Unknown28,CanTargetSelf,CanTargetParty,CanTargetAlliance,CanTargetHostile,CanTargetAlly,Unknown10,TargetArea,CanTargetOwnPet,CanTargetPartyPet,RequiresLineOfSight,NeedToFaceTarget,Unknown14,PreservesCombo,Unknown15,AffectsPosition,IsPvP,Unknown16,LogCastMessage,Unknown18,LogMissMessage,LogActionMessage,Unknown21,Unknown22,Unknown23,CanUseWhileMounted,Unknown25,IsPlayerAction,Unknown27
0,,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
1,Schlüsselgegenstand,0,405,0,1875,0,0,0,0,0,0,0,0,0,85,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False
2,Interaktion,0,405,0,1875,0,0,0,50,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
3,Sprint,0,104,0,1875,0,0,0,0,600,0,0,0,0,368,10,0,0,0,0,0,1,0,0,0,0,0,56,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False
4,Reittier,0,405,0,1875,0,0,0,10,0,0,0,0,0,13302,5,0,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False
5,Teleport,4,111,1,1875,0,0,0,50,0,0,0,0,0,164,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
6,Rückführung,1,112,2,1875,0,0,0,50,9000,0,0,0,0,163,11,0,1,0,0,0,1,0,0,0,0,0,57,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False
7,Attacke,0,405,0,1875,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,-1,0,-1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
8,Schießen,0,405,0,1876,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,-1,0,-1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
9,Vortexschnitt,0,158,0,1875,0,0,0,0,25,0,0,0,0,310,3,0,0,0,0,1,1,0,0,0,0,0,58,0,0,7,1,38,2,0,0,1,-1,0,-1,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
