#,Name,Description,ReqUnlock,Icon,RequiredAmount,ExpMultiplier,GilRward,ExpCap,LevelUnlock,HowTo,ContentType,MenuOrder,Reward0,Reward1
0,,,0,0,0,0,0,0,0,0,0,0,0,0
1,Dungeon: Zufallsinhalt,3 Dungeons als Zufallsinhalt abschließen,0,61801,3,15,1000,1625700,0,57,1,1,5,3
2,Dungeon: Erfolge,5 Dungeons abschließen,0,61801,5,10,2000,1083800,0,57,1,2,5,3
3,Gildengeheiß: Erfolge 1,3 Gildengeheiße erledigen,0,61803,3,5,1000,541900,0,71,1,3,5,3
4,Gildengeheiß: Erfolge 2,10 Gildengeheiße erledigen,0,61803,10,10,2000,1083800,0,71,1,4,5,3
5,Geheime Horte: Schatztruhen 1,5 Schatztruhen in der Aquapolis oder den Kanälen von Uznair öffnen,0,61808,5,0,2000,0,0,231,6,3,0,3
6,Abenteueralbum: Aufkleber,3 Inhalte aus Khloes Abenteueralbum abschließen und dafür Aufkleber bekommen,0,61825,3,0,2000,0,60,0,1,8,0,3
7,Crystalline Conflict: Teilnahme,10 Mal am Crystalline Conflict teilnehmen,0,61806,10,0,1000,0,0,130,2,1,0,9
8,Crystalline Conflict: Siege,3 PvP-Kämpfe des Crystalline Conflicts gewinnen,0,61806,3,0,1000,0,0,130,2,2,0,9
9,,,0,0,0,0,0,0,0,0,0,0,0,0
10,,,0,0,0,0,0,0,0,0,0,0,0,0
11,Freibriefe: Motive,5 Freibriefe mit unterschiedlichen Heiligenmotiven abschließen,0,61811,5,15,1000,1625700,0,0,4,1,5,3
12,Freibriefe: Erfolge,20 Freibriefe abschließen,0,61811,20,15,2000,1625700,0,0,4,2,5,3
13,Nachschub und Material: Liefermenge 2,10 Güter bei Nachschublieferungen und Materialbeschaffungsmissionen liefern,0,61812,10,0,1000,0,0,89,8,2,0,6
14,Nachschub und Material: Liefermenge 1,5 Güter bei Nachschublieferungen und Materialbeschaffungsmissionen liefern,0,61812,5,0,1000,0,0,89,8,1,0,6
15,Schatzsuche: Karten sammeln,3 vergilbte Schatzkarten sammeln,0,61808,3,0,1000,0,0,149,6,1,0,3
16,Schatzsuche: Erfolge,5 Schatztruhen bei der Schatzsuche öffnen,0,61808,5,0,2000,0,0,149,6,2,0,3
17,Mitstreiter: Gegnerzahl 1,20 Feinde gemeinsam mit deinem Mitstreiter besiegen,0,61813,20,5,1000,0,0,96,1,6,7,3
18,Mitstreiter: Gegnerzahl 2,100 Feinde gemeinsam mit deinem Mitstreiter besiegen,0,61813,100,10,2000,0,0,96,1,7,7,3
19,Freundesvölker: Erfolge 1,5 Aufträge der Freundesvölker abschließen,0,61814,5,0,1000,0,0,152,7,1,0,3
20,Freundesvölker: Erfolge 2,15 Aufträge der Freundesvölker abschließen,0,61814,15,0,2000,0,0,152,7,2,0,3
21,Aktuelle Agenda: Erfolge 1,5 verschiedene Herausforderungen der Aktuellen Agenda abschließen,0,61810,5,0,10000,0,0,0,12,1,0,3
22,Aktuelle Agenda: Erfolge 2,10 verschiedene Herausforderungen der Aktuellen Agenda abschließen,0,61810,10,0,10000,0,0,0,12,2,0,3
23,Aktuelle Agenda: Erfolge 3,15 verschiedene Herausforderungen der Aktuellen Agenda abschließen,0,61810,15,0,10000,0,20,0,12,3,0,3
24,Aktuelle Agenda: Erfolge 4,20 verschiedene Herausforderungen der Aktuellen Agenda abschließen,0,61810,20,0,10000,0,30,0,12,4,0,3
25,WS-Ehrungen,5 Mal jemanden als „Wertvollsten Spieler“ ehren,0,61817,5,10,1000,1083800,0,160,1,5,5,3
26,Sammeln,100 Mal als Minenarbeiter oder Gärtner der eigenen Stufe nahe Gegenstände sammeln,0,61815,100,5,1000,0,0,0,5,4,5,3
27,Sammeln: Stückzahl-Bonus ,30 Mal als Minenarbeiter oder Gärtner einen Stückzahl-Bonus erhalten,0,61815,30,5,2000,0,0,0,5,5,5,3
28,Angeln,30 Mal als Fischer erfolgreich angeln,0,61815,30,5,1000,0,0,0,5,6,5,3
29,Angeln: Größe,10 Mal als Fischer einen großen Fisch fangen,0,61815,10,5,2000,0,0,0,5,7,5,3
30,Synthese,30 Mal Gegenstände herstellen,0,61816,30,10,1000,0,0,0,5,1,5,3
31,Synthese: HQ,20 Mal HQ-Gegenstände herstellen,0,61816,20,10,2000,0,0,0,5,2,5,3
32,,,0,0,0,0,0,0,0,0,0,0,0,0
33,Unternehmungen: Allgemein,Einen Gehilfen auf 10 Unternehmungen schicken,0,61818,10,0,1000,0,0,168,9,1,0,3
34,Unternehmungen: Erkundungen,Einen Gehilfen auf 15 Erkundungen schicken,0,61818,15,0,4000,0,0,169,9,2,0,3
35,Carteneauer Front: Teilnahme,7 Mal an PvP-Kämpfen an der Carteneauer Front teilnehmen,0,61806,7,0,1000,0,0,176,2,3,0,9
36,Carteneauer Front: Siege,3 PvP-Kämpfe an der Carteneauer Front gewinnen,0,61806,3,0,1000,0,0,176,2,4,0,9
37,Minispiel: Erfolge,3 Mal erfolgreich ein Minispiel abschließen,0,61820,3,0,1000,0,0,201,10,1,0,8
38,Minispiel: MGP,100 MGP bei einem Minispiel gewinnen,0,61820,100,0,1500,0,0,201,10,2,0,8
39,GATE: Teilnahme,5 Mal an einem GATE teilnehmen,0,61820,5,0,5000,0,0,201,10,3,0,8
40,GATE: Erfolge,3 Mal erfolgreich ein GATE abschließen,0,61820,3,0,8000,0,0,201,10,4,0,8
41,Chocobo-Rennen: Teilnahme 1,3 Mal an einem Chocobo-Rennen teilnehmen,0,61820,3,0,5000,0,0,196,10,5,0,8
