#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ExteriorRoof,ExteriorWall,ExteriorWindow,ExteriorDoor,InteriorWall,InteriorFlooring,InteriorLighting,OtherFloorWall,OtherFloorFlooring,OtherFloorLighting,BasementWall,BasementFlooring,BasementLighting,MansionLighting,PlaceName,HousingSize
262144,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262145,Riviera-Holzhütte,Riviera-Holzhütten,3,1,0,1,1,0,6347,6374,6401,6410,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262146,Riviera-Komposithütte,Riviera-Komposithütten,3,1,0,1,1,0,6348,6375,6402,6411,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262147,Riviera-Steinhütte,Riviera-Steinhütten,3,1,0,1,1,0,6349,6376,6403,6412,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262148,Riviera-Holzhaus,Riviera-Holzhäuser,2,2,0,1,2,0,6350,6377,6401,6410,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262149,Riviera-Komposithaus,Riviera-Komposithäuser,2,2,0,1,2,0,6351,6378,6402,6411,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262150,Riviera-Steinhaus,Riviera-Steinhäuser,2,2,0,1,2,0,6352,6379,6403,6412,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262151,Riviera-Holzresidenz,Riviera-Holzresidenzen,3,1,0,1,1,0,6353,6380,6401,6410,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262152,Riviera-Kompositresidenz,Riviera-Kompositresidenzen,3,1,0,1,1,0,6354,6381,6402,6411,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262153,Riviera-Steinresidenz,Riviera-Steinresidenzen,3,1,0,1,1,0,6355,6382,6403,6412,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262154,Wald-Holzhütte,Wald-Holzhütten,3,1,0,1,1,0,6356,6383,6404,6413,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262155,Wald-Komposithütte,Wald-Komposithütten,3,1,0,1,1,0,6357,6384,6405,6414,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
