#,ExpToNext,MpModifier,BaseSpeed,LevelModifier,HuntingLogExpReward,MonsterNoteSeals,ScaledQuestXP,HpModifier,ItemLevelSync,ProperDungeon,ProperGuildOrder,CraftingLevel,AdditionalActions,ApplyAction,QuestExpModifier
0,100,10000,53,53,0,0,45,0,0,4,10001,0,0,0,1
1,300,10000,56,56,2500,1181,50,18,1,4,10001,1,1,0,2
2,450,10000,57,57,0,0,55,20,2,4,10001,2,1,0,3
3,630,10000,60,60,0,0,60,21,3,4,10001,3,1,0,4
4,970,10000,62,62,0,0,65,27,4,4,10001,4,1,0,4
5,1440,10000,65,65,0,0,70,34,5,4,10001,5,1,0,5
6,1940,10000,68,68,0,0,75,35,6,4,10001,6,1,0,6
7,3000,10000,70,70,0,0,80,40,7,4,10001,7,1,0,7
8,3920,10000,73,73,0,0,85,43,8,4,10001,8,1,1,8
9,4970,10000,76,76,0,0,90,46,9,4,10001,9,1,1,9
10,5900,10000,78,78,10000,2141,95,48,10,4,10001,10,2,1,9
11,7430,10000,82,82,0,0,100,55,11,4,10001,11,2,1,10
12,8620,10000,85,85,0,0,105,58,12,4,10001,12,2,2,11
13,10200,10000,89,89,0,0,110,63,13,4,10001,13,2,2,12
14,11300,10000,93,93,0,0,115,64,14,4,10001,14,2,2,12
15,13100,10000,96,96,0,0,120,69,15,4,10003,15,3,2,12
16,15200,10000,100,100,0,0,125,75,16,2,10003,16,3,3,12
17,17400,10000,104,104,0,0,130,81,17,3,10003,17,3,3,12
18,19600,10000,109,109,0,0,135,86,18,3,10003,18,3,3,12
19,21900,10000,113,113,0,0,140,90,19,3,10003,19,3,3,12
20,24300,10000,116,116,20000,3603,145,95,20,7,10005,20,4,4,12
21,27400,10000,122,122,0,0,150,102,21,7,10005,21,4,4,12
22,30600,10000,127,127,0,0,155,108,22,7,10005,22,4,4,12
23,33900,10000,133,133,0,0,160,115,23,7,10005,23,4,4,12
24,37300,10000,138,138,0,0,165,121,24,1,10005,24,4,5,12
25,40800,10000,144,144,0,0,170,127,25,1,10007,25,5,5,12
26,49200,10000,150,150,0,0,175,147,26,1,10007,26,5,5,13
27,54600,10000,155,155,0,0,180,157,27,1,10007,27,5,5,14
28,61900,10000,162,162,0,0,185,174,28,6,10007,28,5,5,15
29,65600,10000,168,168,0,0,190,184,29,6,10007,29,5,5,16
30,68400,10000,173,173,30000,0,195,192,30,6,10009,30,6,5,16
31,74000,10000,181,181,0,0,200,208,31,6,10009,31,6,5,16
32,82700,10000,188,188,0,0,205,232,32,8,10009,32,6,6,17
33,88700,10000,194,194,0,0,210,249,33,8,10009,33,6,6,17
34,95000,10000,202,202,0,0,215,266,34,8,10009,34,6,6,17
35,102000,10000,209,209,0,0,220,286,35,9,10011,35,7,6,18
36,113000,10000,215,215,0,0,225,317,36,9,10011,36,7,7,19
37,121000,10000,223,223,0,0,230,339,37,9,10011,37,7,7,19
