#,Description,DescriptionEnhanced,Tooltip,SpecialActionName,SpecialActionDescription,Attack,Defense,Speed,MinionSkillType,HasAreaAttack,StrengthGate,StrengthEye,StrengthShield,StrengthArcana
0,,,,,,100,100,3,0,False,False,False,False,False
1,"Du rufst deinen Kirschbomber als Begleiter herbei. Garantie gegen Selbstzerstöung, ansonsten Gil zurück.","Um die weißglühenden Temperaturen in ihren Kernen aufrechtzuerhalten, verschlingen die Bomber so gut wie jedes brennbare Material, einschließlich Holz, Kohle, Feuerkristalle und sogar Drachenpfeffer.","Bald ist eure Zeit zur Explosion gekommen! Hihi! Das wird schön ...
*Ba Go, Akolyth des 789. Ordens*",Selbstzerstörung,"Führt eine Attacke mit Attacke-Wert 300 auf die Gegner in der Nähe aus, aber die ausführenden Trabanten werden weggeschickt.",30,40,2,1,False,False,True,True,False
2,"Du rufst deine Marionette Nr. 001 als Begleiter herbei. Eine voll funktionstüchtige Puppe, die in Zusammenarbeit der Alchemisten mit der Gold­schmiede­gilde erschaffen wurde.","Das Standardmodell 001 ist nicht nur ein Verkaufs- schlager, sondern auch die Vorlage, auf der alle anderen Uhrwerk-Diener basieren.","Marionetten haben auch Gefühle.
*Serendipity*",Demontage,Entfernt eine vom Gegner aufgestellte Falle.,25,45,1,6,False,True,True,False,True
3,"Du rufst dein Chocobo-Küken als Begleiter herbei. Solange es seine Mutter nicht findet, musst du als Ersatz herhalten.","Selbst wenn dieser Waisenvogel zufällig auf seine Eltern träfe, würde er sie höchst­wahr­scheinlich nicht zur Kenntnis nehmen. Schließlich ist bekannt, dass Chocobos das erste Lebewesen, das sie erblicken, als ihre Mutter annehmen - und das wärest somit du.","Ein wilder Bengel, aber er ist der Stolz unseres Gestüts.
*Keitha*",Chocoboogie,"Fügt Gegnern in der Nähe eine Schwäche gegen Tiere zu.
**Dauer:** 15 Sekunden",60,30,3,4,False,True,True,False,False
4,"Du rufst deine Cait Sith-Puppe als Begleiter herbei. Der extra lange Schwanz hilft dem Kätzchen dabei, das Gleichgewicht zu halten.","Die Uhrwerk-Ausgabe eines schillernden Katzen-
geistes aus der Mythologie der Wiesländer. Die Gildenmeisterin der Goldschmiede, Serendipity, hat diese lebensechte Figur angefertigt, um den Kindern, die durch die Katastrophe zu Waisen wurden, eine Freude zu machen.","Im Kämpfen war ich immer eine Niete.
*Cait Sith*",Spielzeugsoldat,"Erhöht die Technikpunkte eigener Trabanten in der Nähe um 10, außer wenn sie ebenfalls diesen Effekt verursachen können.",55,65,2,3,False,True,False,True,False
5,Du rufst deinen Baby-Behemoth als Begleiter herbei. Hoffentlich sucht seine Mutter nicht schon nach ihm.,"Da sie auf dem Saphirstraßenmarkt für nicht mehr als eine Handvoll Gil feilgeboten wird, ist die Abstamm-
ung dieser kleinen Bestie äußerst fraglich. Sie trägt zwar Züge, die einem Behemoth ähneln, aber ihr ständiges Gequieke erinnert dann doch eher an ein Wildschweinchen.","Tja, so läuft's halt manchmal im Leben. Mal verspeist
man den Behemoth, und manchmal wird man vom
Behemoth verspeist ...
*Wymond*",Wildes Horn,Führt eine Attacke mit Attacke-Wert 230 auf die Gegner in der Nähe aus.,45,30,3,1,True,False,False,False,False
6,"Du rufst deine Marionette Nr. 003L als Begleiter herbei. Eine voll funktionstüchtige Puppe, die für den Mahlstrom gebaut wurde.","Diese handgefertigten Marionetten sollten eigentlich als Flaggenträger bei Paraden des Mahlstroms dienen. Sie wurden jedoch schnell wieder außer Dienst gestellt, da aufgrund ihrer kleinen Statur niemand die Flaggen sehen konnte.","Marionetten haben auch Gefühle.
*Serendipity*",Mahlstrom-Standarte,"Verringert die ABW von Gegnern in der Nähe um 50 %.
**Dauer:** 15 Sekunden",30,45,1,4,False,True,False,True,True
7,"Du rufst deine Marionette Nr. 003G als Begleiter herbei. Eine voll funktionstüchtige Puppe, die für die Bruderschaft der Morgenviper gebaut wurde.","Diese handgefertigten Marionetten sollten eigentlich als Flaggenträger bei Paraden der Bruderschaft der Morgenviper dienen. Sie wurden jedoch schnell wieder außer Dienst gestellt, da aufgrund ihrer kleinen Statur niemand die Flaggen sehen konnte.","Marionetten haben auch Gefühle.
*Serendipity*",Bruderschafts-Standarte,"Erhöht die Technikpunkte eigener Trabanten in der Nähe um 10, außer wenn sie ebenfalls diesen Effekt verursachen können.",35,55,1,3,True,True,False,False,True
8,"Du rufst deine Marionette Nr. 003L als Begleiter herbei. Eine voll funktionstüchtige Puppe, die für die Legion der Unsterblichen gebaut wurde.","Diese handgefertigten Marionetten sollten eigentlich als Flaggenträger bei Paraden der Legion der Unsterblichen dienen. Sie wurden jedoch schnell wieder außer Dienst gestellt, da aufgrund ihrer kleinen Statur niemand die Flaggen sehen konnte.","Marionetten haben auch Gefühle.
*Serendipity*",Legions-Standarte,"Verringert die ATT von Gegnern in der Nähe um 40 %.
**Dauer:** 6 Sekunden",30,35,1,4,False,True,True,False,True
9,"Du rufst dein Mahlstrom-Küken als Begleiter herbei. Kaum geschlüpft, fließt schon das rote Blut des Mahlstroms in seinen Adern. Bis die See es im Tod umfängt!","Von einem Sturmmariner aufgezogen, der ein verwahrlostes Ei in den Stallungen der Ge­sell­schaft fand, die er saubermachen sollte. Dieses niedliche Küken ist ein Symbol des Neuanfangs für den mächtigen Mahlstrom.","Habe ich dir schon erzählt, dass ein prächtiges
Küken aus Leias Ei geschlüpft ist? Was für eine Freude!
*Luquelot*",Sturmruf,"Macht Gegner in der Nähe be­we­gungs­un­fäh­ig.
**Dauer:** 5 Sekunden",50,35,3,4,False,False,True,False,False
10,"Du rufst dein Bruderschafts-Küken als Begleiter herbei. Kaum geschlüpft, fließt schon das gelbe Blut der Bruderschaft in seinen Adern.","Von einem Novizen aufgezogen, der ein verwahrlostes Ei in den Stallungen der Ge­sell­schaft fand, die er saubermachen sollte. Dieses niedliche Küken ist ein Symbol des Neuanfangs für die Bruderschaft der Morgenviper.","Habe ich dir schon erzählt, dass ein prächtiges
Küken aus Leias Ei geschlüpft ist? Was für eine Freude!
*Luquelot*",Waldruf,Entfernt alle Effekte von allen Trabanten in der Nähe.,55,35,3,6,False,False,False,True,False
11,"Du rufst dein Legions-Küken als Begleiter herbei. Kaum geschlüpft, fließt schon das schwarze Blut der Legion in seinen Adern.","Von einem Legionär aufgezogen, der ein verwahrlostes Ei in den Stallungen der Ge­sell­schaft fand, die er saubermachen sollte. Dieses niedliche Küken ist ein Symbol des Neuanfangs für die Legion der Unsterblichen.","Habe ich dir schon erzählt, dass ein prächtiges
Küken aus Leias Ei geschlüpft ist? Was für eine Freude!
*Luquelot*",Wüstenruf,Verringert die Technikpunkte der Gegner in der Nähe um 50 % des Maximalwerts.,45,45,3,4,False,False,False,True,False
12,Du rufst deine Morbol-Knolle als Begleiter herbei. Hoffentlich macht dir der Mundgeruch nichts aus.,"Es ist unter den Adligen von Ul'dah in Mode, Morbol-Knollen zu Banketten mitzunehmen, um die Anwe- senden mithilfe des fürchterlichen Mundgeruchs der Knolle dazu zu bringen, sich zu übergeben. Mit entleertem Magen können diese dann noch mehr schlemmen.","Weeßte, uff wen wa hier in Jeisterzoll jar nich jut zu
sprechen sind? Uff die Morbol, dit sind quasi unsere Todfeinde.
*Aganbold*",Schlechter Atem,"Fügt Gegnern in der Nähe im Sekundentakt 10 Schaden über Zeit zu.
**Dauer:** 20 Sekunden",40,75,1,1,True,True,True,True,False
13,Du rufst deine kleine Ratte als Begleiter herbei. Lass dich von ihrer Niedlichkeit nicht allzu sehr ablenken.,"Erst kürzlich wurde ein besonders kreativer Kaufmann von der Smaragdstraße in Ul'dah in den Kerker geworfen, da er die Schwänze der Ratten, die er in der Perlengasse fing, aufplusterte und die kleinen Plagegeister als „Mini-Baumhörnchen“ an Touristen verkaufte.","Du hast alle Ratten getötet, selbst
ihren König? Ausgezeichnet!
*Fousquenet*",Pest,"Verringert die ABW von Gegnern in der Nähe um 25 %.
**Dauer:** 6 Sekunden",25,45,3,4,False,False,False,False,False
14,Du rufst deinen Mini-Pilz als Begleiter herbei. Schmeckt gut zu Salaten oder in Eintöpfen.,"Wer sich fragt, welche Neben­wirkungen das Inhalieren von Pilzsporen hat, sollte einen Blick in die Enzyklopädie Eorzea werfen: „Pilzsporen verpesten den Körper und über­nehmen die Kontrolle über die Seele. So machen sie ihr Opfer zu einem seelenlosen Knecht.“","Ich bin ein Glückspilz! Dank der Großzügigkeit
des Kaiserreichs kann ich mir endlich das Leben
leisten, das mir zusteht.
*Laurentius*",Giftsporen,"Führt eine Attacke mit Attacke-Wert 80 auf die Gegner in der Nähe aus und verringert ihre ABW um 13 %.
**Dauer:** 6 Sekunden",50,25,2,1,False,True,False,True,False
15,Du rufst deine Stechmücken-Larve als Begleiter herbei. Dieses kleine Insekt nimmt die Blutsbande mit seinem Meister sehr ernst.,"Chirurgen der versunken Stadt von Gelmorra setzten einst Stechmücken ein, um bösartige Kör­per­flüs­sig­kei­ten aus ihren Patienten zu entfernen. Bis sie bemerkten, dass diese durch die Behandlung noch ganz andere Krankheiten bekamen.","Einige Stechmücken übertragen die gefährliche Kettenseuche,
und die Bruderschaft der Morgenviper und das Klageregiment
helfen uns dabei, die Überträger zu identifizieren.
*Monranguin*",Blutsauger,"Erhöht die ATT der ausführenden Trabanten um 60.
**Dauer:** 10 Sekunden",35,30,3,3,False,True,False,False,False
16,"Du rufst dein blaues Vögelchen als Begleiter herbei. Es hat den Ruf, Leuten Glück zu bringen, die bereits viel Glück hatten.","Aus dem Nest gefallen, bevor es fliegen konnte. Glücklicherweise in einer leeren Schatztruhe ge-
landet. Leider noch in der Schatztruhe gewesen, als diese geschlossen wurde. Glücklicherweise wiederentdeckt worden ... von dir.","Ich hab 'nen blauen Kanarienvogel gesehn!
Jawohl, einen blauen! <hicks>
*Betrunkener Tor*",Zwitschern,Führt eine Attacke mit Attacke-Wert 90 auf die Gegner in der Nähe aus.,45,35,4,1,False,False,False,False,False
17,Du rufst dein Rehkitz als Begleiter herbei. Seine Mutter hatte einen kleinen Jagdunfall ... oder hat sich einfach nur verlaufen.,"Die wehrlosen Antilopen müssen jeden Vorteil nutzen, um den hungrigen Mäulern ihrer Jäger zu entgehen. Erstaunlich ist ihre Fähigkeit, schon Minuten nach ihrer Geburt rennen zu können. Leider bewahrte das dieses Exemplar nicht vor der Gefangennahme.","Gästen serviert man die Innereien eines Rehs
am besten, solange sie noch körperwarm sind.
*Aus dem Knigge der Amalj'aa*",Rehaugen,"Macht eigene Trabanten in der Nähe unempfindlich für Angriffe von Monstern.
**Dauer:** 5 Sekunden",55,40,4,3,False,True,False,False,False
