#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Countability,Pronoun,Article,ModelMain,ModelSub,DamagePhys,DamageMag,Delayms,BlockRate,Block,DefensePhys,DefenseMag,BaseParamValue[0],BaseParamValue[1],BaseParamValue[2],BaseParamValue[3],BaseParamValue[4],BaseParamValue[5],BaseParamValueSpecial[0],BaseParamValueSpecial[1],BaseParamValueSpecial[2],BaseParamValueSpecial[3],BaseParamValueSpecial[4],BaseParamValueSpecial[5],LevelEquip,RequiredPvpRank,EquipRestriction,ClassJobCategory,GrandCompany,ItemSeries,BaseParamModifier,ClassJobUse,Unknown2,DefaultActionRange,BaseParam[0],BaseParam[1],BaseParam[2],BaseParam[3],BaseParam[4],BaseParam[5],ItemSpecialBonus,ItemSpecialBonusParam,BaseParamSpecial[0],BaseParamSpecial[1],BaseParamSpecial[2],BaseParamSpecial[3],BaseParamSpecial[4],BaseParamSpecial[5],MaterializeType,MateriaSlotCount,SubStatCategory,IsAdvancedMeldingPermitted,IsPvP,IsGlamorous,AdditionalData,StackSize,PriceMid,PriceLow,ItemRepair,ItemGlamour,Icon,LevelItem,SubcategorySort,ItemAction,Cooldowns,Desynth,AetherialReduce,Rarity,FilterGroup,ItemUICategory,ItemSearchCategory,EquipSlotCategory,ItemSortCategory,DyeCount,CastTimeSeconds,ClassJobRepair,IsUnique,IsUntradable,IsIndisposable,Lot,CanBeHq,IsCrestWorthy,IsCollectable,AlwaysCollectable
0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,False,False,False,False,False,False,False,False
1,Gil,Gil,Mit dieser Währung wird in Eorzea gezahlt.,Gil,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,999999999,0,0,0,0,65002,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
2,Feuerscherbe,Feuerscherben,Eine kleine kristalline Verfestigung ätherischer Feuerenergie.,Feuerscherbe,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20001,1,10010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
3,Eisscherbe,Eisscherben,Eine kleine kristalline Verfestigung ätherischer Eisenergie.,Eisscherbe,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20003,1,10020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
4,Windscherbe,Windscherben,Eine kleine kristalline Verfestigung ätherischer Windenergie.,Windscherbe,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20004,1,10030,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
5,Erdscherbe,Erdscherben,Eine kleine kristalline Verfestigung ätherischer Erdenergie.,Erdscherbe,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20006,1,10040,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
6,Blitzscherbe,Blitzscherben,Eine kleine kristalline Verfestigung ätherischer Blitzenergie.,Blitzscherbe,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20005,1,10050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
7,Wasserscherbe,Wasserscherben,Eine kleine kristalline Verfestigung ätherischer Wasserenergie.,Wasserscherbe,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,9,0,0,0,20002,1,10060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
8,Feuerkristall,Feuerkristalle,Eine größere kristalline Verfestigung ätherischer Feuerenergie.,Feuerkristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20007,25,20010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
9,Eiskristall,Eiskristalle,Eine größere kristalline Verfestigung ätherischer Eisenergie.,Eiskristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20009,25,20020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
10,Windkristall,Windkristalle,Eine größere kristalline Verfestigung ätherischer Windenergie.,Windkristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20010,25,20030,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
11,Erdkristall,Erdkristalle,Eine größere kristalline Verfestigung ätherischer Erdenergie.,Erdkristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20012,25,20040,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
12,Blitzkristall,Blitzkristalle,Eine größere kristalline Verfestigung ätherischer Blitzenergie.,Blitzkristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20011,25,20050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
13,Wasserkristall,Was­ser­kris­tal­le,Eine größere kristalline Verfestigung ätherischer Wasserenergie.,Wasserkristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,229,0,0,0,20008,25,20060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
14,Feuerpolykristall,Feuerpolykristalle,Ein Dendrit aus ätherischer Feuerenergie.,Feuerpolykristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20013,50,30010,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
15,Eispolykristall,Eispolykristalle,Ein Dendrit aus ätherischer Eisenergie.,Eispolykristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20015,50,30020,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
16,Windpolykristall,Windpolykristalle,Ein Dendrit aus ätherischer Windenergie.,Windpolykristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20016,50,30030,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
17,Erdpolykristall,Erdpolykristalle,Ein Dendrit aus ätherischer Erdenergie.,Erdpolykristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20018,50,30040,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
18,Blitzpolykristall,Blitzpolykristalle,Ein Dendrit aus ätherischer Blitzenergie.,Blitzpolykristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20017,50,30050,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
19,Wasserpolykristall,Wasserpolykristalle,Ein Dendrit aus ätherischer Wasserenergie.,Wasserpolykristall,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999,990,0,0,0,20014,50,30060,0,0,0,0,1,11,59,58,0,4,0,2,0,False,False,False,False,False,False,False,False
20,Flottentaler,Flottentaler,Dieses Zahlungsmittel wird vom Mahlstrom geprägt und ausgegeben und ist nur innerhalb dieser Staatlichen Ge­sell­schaft gültig.,Flottentaler,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,200000,1,0,0,0,65004,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
21,Ordenstaler,Ordenstaler,Dieses Zahlungsmittel wird von der Bruderschaft der Morgenviper geprägt und ausgegeben und ist nur innerhalb dieser Staatlichen Ge­sell­schaft gültig.,Ordenstaler,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,200000,1,0,0,0,65005,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
22,Legionstaler,Legionstaler,Dieses Zahlungsmittel wird von der Legion der Unsterblichen geprägt und ausgegeben und ist nur innerhalb dieser Staatlichen Ge­sell­schaft gültig.,Legionstaler,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,200000,1,0,0,0,65006,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
23,Allagisch[a] Stein[p] der Philosophie,Allagisch[a] Steine[p] der Philosophie,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Philosophie,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65012,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
24,Allagisch[a] Stein[p] der Mythologie,Allagisch[a] Steine[p] der Mythologie,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Mythologie,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65013,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
25,Wolfsmarke,Wolfsmarken,"Von den Staatlichen Ge­sell­schaften für Kampferfolge gegen Mitspieler ausgegebene PvP-Pfandstücke, die in der Wolfshöhle gegen diverses Militärzubehör eingetauscht werden können.",Wolfsmarke,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,20000,1,0,0,0,65014,55,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
26,Allagisch[a] Stein[p] der Strategie,Allagisch[a] Steine[p] der Strategie,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Strategie,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65022,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
27,Jagdabzeichen,Jagdabzeichen,Eine von den Staatlichen Ge­sell­schaften vergebene Belohnung für ein bei der Hohen Jagd erlegtes Ziel.,Jagdabzeichen,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,4000,1,0,0,0,65024,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
28,Allagisch[a] Stein[p] der Poesie,Allagisch[a] Steine[p] der Poesie,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Poesie,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,1,0,0,0,65023,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
29,MGP,MGP,Die offizielle Währung des Manderville Gold Saucer. Kann nur in dieser Einrichtung verwendet werden.,MGP,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,9999999,1,0,0,0,65025,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
30,Allagisch[a] Stein[p] der Juristik,Allagisch[a] Steine[p] der Juristik,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Juristik,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65032,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
31,Allagisch[a] Stein[p] der Esoterik,Allagisch[a] Steine[p] der Esoterik,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Esoterik,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65033,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
32,Allagisch[a] Stein[p] der Tradition,Allagisch[a] Steine[p] der Tradition,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Tradition,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65038,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
33,Allagisch[a] Stein[p] der Theologie,Allagisch[a] Steine[p] der Theologie,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Theologie,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65041,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
34,Allagisch[a] Stein[p] der Wahrheit,Allagisch[a] Steine[p] der Wahrheit,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Wahrheit,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65045,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
35,Allagisch[a] Stein[p] der Schöpfung,Allagisch[a] Steine[p] der Schöpfung,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Schöpfung,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65046,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
36,Allagisch[a] Stein[p] der Verlogenheit,Allagisch[a] Steine[p] der Verlogenheit,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Verlogenheit,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65062,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
37,Allagisch[a] Stein[p] des Ursprungs,Allagisch[a] Steine[p] des Ursprungs,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein des Ursprungs,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65065,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
38,Allagisch[a] Stein[p] der Goëtie,Allagisch[a] Steine[p] der Goëtie,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Goëtie,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65066,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
39,Allagisch[a] Stein[p] der Phantasmagorie,Allagisch[a] Steine[p] der Phantasmagorie,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Phantasmagorie,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65067,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
40,Allagisch[a] Stein[p] der Fantastik,Allagisch[a] Steine[p] der Fantastik,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Fantastik,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65075,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
41,Allagisch[a] Stein[p] der Offenbarung,Allagisch[a] Steine[p] der Offenbarung,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Offenbarung,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65083,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
42,Allagisch[a] Stein[p] des Aphorismus,Allagisch[a] Steine[p] des Aphorismus,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein des Aphorismus,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65085,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
43,Allagisch[a] Stein[p] der Astronomie,Allagisch[a] Steine[p] der Astronomie,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Astronomie,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65086,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
44,Allagisch[a] Stein[p] der Kausalität,Allagisch[a] Steine[p] der Kausalität,"Obwohl sie wie gewöhnliche Steine aussehen, bestehen Ingenieure der Gar­lond-Me­tall­wer­ke darauf, dass sie Informationen von unschätzbarem Wert über das antike Allagische Reich enthalten. ",Allagischer Stein der Kausalität,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,2000,2,0,0,0,65094,1,0,0,0,0,0,1,16,63,0,0,3,0,2,0,False,False,False,False,False,False,False,False
