#,Name,Abilities[0],Abilities[1],Abilities[2],Abilities[3],AutoAction,SmallScalePercentage,MediumScalePercentage,LargeScalePercentage,AllowedPetMirage[0],AllowedPetMirage[1],AllowedPetMirage[2],AllowedPetMirage[3],AllowedPetMirage[4],AllowedPetMirage[5],Unknown18,Unknown14,AutoDespawn,NonCombatSummon,ShowPetActionBar
0,,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
1,Smaragd-Karfunkel,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,True,True
2,Topas-Karfunkel,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,True,True
3,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,0,0,False,True,True
4,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,0,1,False,True,True
5,,0,0,0,0,0,100,100,100,1,2,3,0,0,0,0,2,False,True,True
6,Eos,803,805,7438,16544,802,100,100,100,1,2,3,4,8,0,0,-1,False,True,True
7,Selene,803,805,7438,16544,0,100,100,100,0,0,0,0,0,0,0,-1,False,True,True
8,Selbstschuss-Gyrocopter TURM,0,0,7416,0,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
9,Selbstschuss-Gyrocopter LÄUFER,0,0,7417,0,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
10,Demi-Bahamut,7428,0,7449,0,0,10,20,30,0,0,0,0,0,0,0,-1,False,False,True
11,,0,0,7440,7441,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
12,Demi-Bahamut,29676,0,29677,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
13,,0,0,17801,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
14,Demi-Phönix,16519,0,16518,0,0,33,66,100,0,0,0,0,0,0,0,-1,False,False,True
15,Seraph,16550,16551,16547,0,16548,100,100,100,0,0,0,0,0,0,0,-1,False,True,True
16,Mondstein-Karfunkel,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,False,False,False
17,Schattenschemen,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,-1,True,False,False
