#,GatheringType,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],GatheringLevel
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,2,0,138,113,0,0,0,0,4,10
11,2,137,133,132,105,0,0,2,3,5
12,2,137,133,132,0,0,0,0,4,5
13,2,134,118,141,0,0,0,0,4,5
14,3,154,198,153,200,0,0,0,6,15
15,2,104,124,103,0,0,0,0,4,10
16,2,104,124,103,114,0,0,0,3,10
17,2,110,122,0,0,0,0,0,3,15
18,3,149,209,146,0,0,0,0,6,15
19,3,190,176,165,220,0,0,0,3,15
20,1,81,0,0,0,0,0,0,3,40
21,3,148,213,202,158,0,0,0,3,15
22,2,128,136,135,0,0,0,0,3,20
23,3,152,185,151,224,0,0,0,3,20
24,2,127,108,109,0,0,0,0,2,25
25,3,171,159,183,0,0,0,0,5,15
26,3,157,145,193,197,0,0,0,4,30
27,2,106,123,0,0,0,0,0,2,30
28,2,112,111,121,0,0,0,0,2,35
29,3,189,180,210,0,0,0,0,2,35
30,3,211,214,201,204,0,0,0,1,15
31,3,147,175,162,206,0,0,0,4,15
32,2,0,0,0,0,35,0,0,5,30
33,2,126,0,0,0,0,0,0,5,20
34,2,117,0,0,0,0,0,0,4,20
35,2,0,0,0,0,0,24,0,2,20
36,1,100,0,0,0,0,0,0,5,35
37,2,0,0,0,0,34,0,0,3,30
38,3,187,188,225,0,0,0,0,1,20
39,3,178,205,223,0,0,0,0,2,20
40,3,186,143,172,196,0,0,0,1,25
41,3,179,150,161,170,0,0,0,4,25
42,2,0,0,0,0,30,0,0,1,30
43,2,0,0,0,0,0,0,0,5,50
44,2,0,0,0,0,32,0,0,2,30
45,1,0,0,0,0,32,0,0,2,30
46,1,78,215,0,0,0,0,0,4,45
47,0,66,49,0,0,0,0,0,2,25
48,1,94,96,97,80,0,0,0,2,25
49,0,47,52,54,0,0,0,0,2,40
50,2,0,0,0,33,31,0,0,4,30
51,2,10002,10001,0,0,0,0,0,0,5
