#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,Sturmmariner 3. Klasse,Sturmmariner 3. Klasse,Sturmmariner,Sturmmariner 3. Klasse,4,2,0,1,0,0
2,Sturmmariner 2. Klasse,Sturmmariner 2. Klasse,Sturmmariner,Sturmmariner 2. Klasse,4,2,0,1,0,0
3,Sturmmariner 1. Klasse,Sturmmariner 1. Klasse,Sturmmariner,Sturmmariner 1. Klasse,4,2,0,1,0,0
4,Großsturmmariner,Großsturmmariner,Großsturmmariner,Großsturmmariner,4,2,0,1,0,0
5,Sturmmaat 3. Klasse,Sturmmaate 3. Klasse,Sturmmaat,Sturmmaat 3. Klasse,4,2,0,1,0,0
6,Sturmmaat 2. Klasse,Sturmmaate 2. Klasse,Sturmmaat,Sturmmaat 2. Klasse,4,2,0,1,0,0
7,Sturmmaat 1. Klasse,Sturmmaate 1. Klasse,Sturmmaat,Sturmmaat 1. Klasse,4,2,0,1,0,0
8,Großsturmmaat,Großsturmmaate,Großsturmmaat,Großsturmmaat,4,2,0,1,0,0
9,Zweiter Sturmbootsmann,Zweite Sturmbootsmänner,Sturmbootsmann,Zweiter Sturmbootsmann,4,2,0,1,0,0
10,Erster Sturmbootsmann,Erste Sturmbootsmänner,Sturmbootsmann,Erster Sturmbootsmann,4,2,0,1,0,0
11,Großsturmbootsmann,Großsturmbootsmänner,Großsturmbootsmann,Großsturmbootsmann,4,2,0,1,0,0
12,Zweiter Sturmkapitänleutnant,Zweite Sturmkapitänleutnants,Sturmkapitänleutnant,Zweiter Sturmkapitänleutnant,4,1,0,1,0,0
13,Erster Sturmkapitänleutnant,Erste Sturmkapitänleutnants,Sturmkapitänleutnant,Erster Sturmkapitänleutnant,4,1,0,1,0,0
14,Großsturmkapitänleutnant,Großsturmkapitänleutnants,Großsturmkapitänleutnant,Großsturmkapitänleutnant,4,1,0,1,0,0
15,Galeerenkapitän,Galeerenkapitäne,Galeerenkapitän,Galeerenkapitän,4,2,0,1,0,0
16,Galeassenkapitän,Galeassenkapitäne,Galeassenkapitän,Galeassenkapitän,4,2,0,1,0,0
17,Galeonenkapitän,Galeonenkapitäne,Galeonenkapitän,Galeonenkapitän,4,2,0,1,0,0
18,Konteradmiral,Konteradmirale,Konteradmiral,Konteradmiral,4,2,0,1,0,0
19,Admiral,Admirale,Admiral,Admiral,4,2,0,1,0,0
