#,Message,ChoicesText[0],ChoicesText[1],ChoicesText[2],ChoicesText[3],ChoicesText[4],ChoicesText[5],ChoicesText[6],ChoicesText[7],ChoicesText[8],ChoicesText[9],NextTalk,ActionTimeline,ChoicesTalk[0],ChoicesTalk[1],ChoicesTalk[2],ChoicesTalk[3],ChoicesTalk[4],ChoicesTalk[5],ChoicesTalk[6],ChoicesTalk[7],ChoicesTalk[8],ChoicesTalk[9],Unknown23,Unknown24,Unknown25,Unknown26,Unknown27
0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
4,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
5,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
6,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
7,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
8,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
9,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
10,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
11,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
12,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
13,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
14,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
15,必要MGP：0MGP,やる,やる(無料券),キャンセル,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,False,False
16,"Ein Mini-Glückskaktor-Los kostet UNKNOWN MGP. Möchtest du eins kaufen?
(Aktuelle MGP: 0)",Ja,Nein,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
17,Du scheinst nicht genügend MGP zu besitzen. Besorge dir welche bei dem zuständigen Mitarbeiter im Foyer.,,,,,,,,,,,44,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
18,"Ich freue mich, dass dir der Mini-Glückskaktor so gut gefällt, aber du hast heute schon drei Lose gekauft. Du kannst dein Glück morgen gerne wieder versuchen. Warum vertreibst du dir bis dahin nicht die Zeit mit unseren anderen Attraktionen?",,,,,,,,,,,45,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
19,Die UNKNOWN. Auslosung des Mini-Glückskaktors ist in vollem Gange! Warum versuchst du dein Glück nicht mal?,,,,,,,,,,,16,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
20,"So hör doch! Ein hilfloses Chocobo-Küken hat sich auf den Gipfel von Mount Corel verirrt! Ich würde es ja selbst retten, aber im Bergsteigen bin ich nicht so geübt.",,,,,,,,,,,21,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
21,"Außerdem, äh, werfen ein paar schlecht erzogene Goblins Bomben auf jeden, der versucht sich dem Gipfel zu nähern. Gibt es denn nichts, was du tun kannst, gütige Abenteurerin?",,,,,,,,,,,158,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
22,Wie elegant du den Berg runtergefallen bist - das hatte schon was! Ganz klar ein Bonus in der A-Wertung! Aber das arme Küken harrt noch immer seiner Rettung! Du kannst den Piepmatz doch nicht im Stich lassen!,,,,,,,,,,,23,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
23,Mount Corel noch einmal erstürmen?,Ja,Nein,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
24,Du hast das Küken gerettet! Der heutige Tag war ihm bestimmt eine lehrreiche Lektion. Die nächste Kletteraktion überlegt es sich hoffentlich zweimal.,,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
25,"Ich bin untröstlich, aber könntest du diese wertvolle - und extrem zerbrechliche - Vase bitte an den elenden Dieben vorbeischleusen, ohne dass die etwas mitbekommen?",,,,,,,,,,,140,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
26,"Ich bin untröstlich, aber könntest du diese wertvolle - und extrem zerbrechlichen - Vasen bitte an den elenden Dieben vorbeischleusen, ohne dass die etwas mitbekommen?",,,,,,,,,,,143,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
27,M-Mein armes Schnu-nuckilein. Jemand muss mein armes Schnuckilein vor diesen garstigen Goblins retten!,,,,,,,,,,,28,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
28,"M-Meine Mutter hat mir verboten, auf die Statue zu kle-lettern, aber wenn ich meinen Schnucki nicht rette, wer dann?!",,,,,,,,,,,159,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
29,"Alles in Ordnung, Frau Abenteurerin? J-Jetzt ist mir klar, warum meine Mutter mich vor der Statue gewarnt hat! A-Aber mein Schuckilein ... ist immer noch da oben!",,,,,,,,,,,30,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
30,El Coloso noch einmal erstürmen?,Ja,Nein,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
31,"Danke! Danke, danke! Du hast mein Schnuckilein gerettet! Ab jetzt spielen wir nur noch am Mount Corel, versprochen!",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
