#,Model,NpcYell,Unknown0,Unknown1,ResidentMotionType
0.0,0,0,0,0,0
1.0,1,0,0,2,0
1.1,2,0,0,2,0
1.2,3,0,0,2,0
1.3,4,0,0,2,0
1.4,5,0,0,2,0
1.5,9,1860,0,3,1
1.6,31,1860,0,3,3
1.7,3617,1860,0,3,8
1.8,16137,1860,0,3,41
1.9,36945,1860,0,3,2
1.10,16479,1860,0,3,4
1.11,2240,1860,0,3,6
1.12,7477,1860,0,3,39
1.13,3577,1860,0,3,0
1.14,3579,1860,0,3,0
1.15,37004,1860,0,3,0
1.16,16495,1860,0,3,5
1.17,7411,1860,0,3,7
1.18,15989,1860,0,3,42
1.19,15990,1860,0,3,42
1.20,135,1860,0,3,0
1.21,25859,1860,0,3,0
1.22,185,1860,0,3,12
1.23,25865,1860,0,3,0
1.24,3610,1860,0,3,0
1.25,25871,1860,0,3,0
1.26,7533,1860,0,3,13
1.27,7537,1860,0,3,13
1.28,7538,1860,0,3,13
1.29,7571,1860,0,3,17
1.30,4295034743,0,0,7,0
1.31,4295033451,0,0,7,0
1.32,4295033526,0,0,7,0
1.33,4295034735,0,0,7,0
1.34,4295034734,0,0,7,0
1.35,4295041933,0,0,7,0
1.36,4295041934,0,0,7,0
1.37,4295034744,0,0,7,0
1.38,152,1860,0,4,0
1.39,474,0,0,5,0
1.40,483,0,0,5,0
1.41,526,0,0,5,0
1.42,527,0,0,5,0
1.43,2225,0,0,5,0
1.44,2226,0,0,5,0
1.45,2227,0,0,5,0
1.46,2228,0,0,5,0
1.47,2229,0,0,5,0
1.48,2230,0,0,5,0
1.49,2151,0,0,5,0
1.50,2255,0,0,5,0
1.51,4295034760,0,0,7,0
1.52,4295034762,0,0,7,0
1.53,4295034770,0,0,7,0
1.54,4295034771,0,0,7,0
1.55,4295034772,0,0,7,0
1.56,0,0,0,0,0
1.57,0,0,0,0,0
1.58,0,0,0,0,0
1.59,0,0,0,0,0
1.60,0,0,0,0,0
1.61,0,0,0,0,0
1.62,0,0,0,0,0
1.63,0,0,0,0,0
1.64,0,0,0,0,0
1.65,0,0,0,0,0
1.66,0,0,0,0,0
1.67,0,0,0,0,0
1.68,0,0,0,0,0
1.69,0,0,0,0,0
1.70,0,0,0,0,0
2.0,1000100,0,0,1,0
2.1,0,0,0,0,0
3.0,1001353,0,0,1,0
3.1,0,0,0,0,0
4.0,1000972,0,0,1,0
4.1,0,0,0,0,0
5.0,6,0,0,2,0
5.1,7,0,0,2,0
5.2,451,304,0,3,0
5.3,452,304,0,3,0
5.4,453,304,0,3,0
5.5,454,304,0,3,0
5.6,455,304,0,3,0
5.7,456,304,0,3,0
5.8,457,304,0,3,0
5.9,458,304,0,3,0
5.10,459,304,0,3,0
5.11,460,304,0,3,0
5.12,733,480,0,3,0
5.13,734,480,0,3,0
5.14,0,0,0,0,0
6.0,9,0,0,2,0
6.1,8,0,0,2,0
6.2,1443,0,0,1,0
6.3,1444,0,0,1,0
6.4,650,306,0,3,0
6.5,973,480,0,3,0
6.6,1363,480,0,3,0
6.7,1364,306,0,3,0
6.8,1052,237,0,3,0
7.0,10,0,0,2,0
7.1,11,0,0,2,0
7.2,21,0,0,2,0
7.3,1073,228,0,3,0
7.4,1074,228,0,3,0
7.5,1077,363,0,3,0
7.6,1045,480,0,3,0
7.7,1046,480,0,3,0
7.8,1050,54,0,3,0
7.9,1084,701,0,3,0
7.10,1085,701,0,3,0
7.11,1086,81,0,3,0
7.12,1087,83,0,3,0
7.13,1048,18,0,3,0
8.0,18,0,0,2,0
8.1,1613,0,0,1,0
8.2,1109,195,0,3,0
8.3,1110,194,0,3,0
8.4,1442,197,0,3,0
8.5,533,480,0,3,0
8.6,1104,197,0,3,0
8.7,1102,197,0,3,0
8.8,1103,197,0,3,0
8.9,956,480,0,3,0
8.10,0,0,0,0,0
9.0,1115,188,0,3,0
9.1,1124,187,0,3,0
9.2,1125,187,0,3,0
9.3,1097,53,0,3,0
9.4,1100,19,0,3,0
9.5,513,172,0,3,0
9.6,958,218,0,3,0
10.0,22,0,0,2,0
10.1,23,0,0,2,0
10.2,659,303,0,3,0
10.3,660,303,0,3,0
10.4,661,303,0,3,0
10.5,663,303,0,3,0
10.6,664,303,0,3,0
10.7,667,303,0,3,0
10.8,1382,303,0,3,0
10.9,1383,303,0,3,0
10.10,1384,303,0,3,0
10.11,1386,303,0,3,0
10.12,1387,303,0,3,0
10.13,1390,303,0,3,0
11.0,15,0,0,2,0
11.1,16,0,0,2,0
11.2,17,0,0,2,0
11.3,675,480,0,3,0
11.4,1217,316,0,3,0
11.5,1220,316,0,3,0
11.6,1222,480,0,3,0
11.7,1223,480,0,3,0
11.8,1227,316,0,3,0
11.9,1343,480,0,3,0
12.0,903,371,0,3,0
12.1,1023,231,0,3,0
12.2,1024,480,0,3,0
12.3,1026,231,0,3,0
12.4,24,0,0,2,0
12.5,0,0,0,0,0
13.0,1413,365,0,3,0
13.1,933,365,0,3,0
13.2,1417,83,0,3,0
13.3,1418,83,0,3,0
13.4,1419,83,0,3,0
13.5,928,366,0,3,0
13.6,308,366,0,3,0
13.7,929,521,0,3,0
13.8,25,0,0,2,0
14.0,6,0,0,2,0
14.1,7,0,0,2,0
14.2,22,0,0,2,0
14.3,8,0,0,2,0
14.4,26,0,0,2,0
14.5,27,0,0,2,0
14.6,2036,0,0,1,0
14.7,25,0,0,2,0
14.8,1421,480,0,3,0
14.9,1422,480,0,3,0
14.10,1423,480,0,3,0
14.11,1402,480,0,3,0
14.12,1403,480,0,3,0
14.13,1424,480,0,3,0
14.14,1410,303,0,3,0
14.15,1191,55,0,3,0
14.16,2032,0,0,1,0
15.0,2033,0,0,1,0
15.1,2034,0,0,1,0
15.2,2035,0,0,1,0
15.3,1243,226,0,3,0
15.4,1451,226,0,3,0
15.5,1452,226,0,3,0
15.6,1453,226,0,3,0
15.7,1456,226,0,3,0
15.8,1247,226,0,3,0
16.0,9,0,0,2,0
16.1,8,0,0,2,0
16.2,1504,0,0,1,0
16.3,1506,0,0,1,0
16.4,1463,306,0,3,0
16.5,1464,306,0,3,0
16.6,1465,306,0,3,0
16.7,1466,306,0,3,0
16.8,1467,306,0,3,0
16.9,1468,480,0,3,0
16.10,1469,306,0,3,0
16.11,1470,480,0,3,0
16.12,1471,237,0,3,0
16.13,1472,306,0,3,0
16.14,1473,306,0,3,0
16.15,1474,306,0,3,0
16.16,1475,618,0,3,0
16.17,1476,618,0,3,0
16.18,1477,249,0,3,0
16.19,1651,618,0,3,0
16.20,1652,480,0,3,0
16.21,1051,237,0,3,0
16.22,645,306,0,3,0
17.0,6,0,0,2,0
17.1,7,0,0,2,0
17.2,22,0,0,2,0
17.3,8,0,0,2,0
17.4,26,0,0,2,0
17.5,27,0,0,2,0
17.6,32,0,0,2,0
17.7,25,0,0,2,0
17.8,2323,0,0,1,0
17.9,2324,0,0,1,0
17.10,1503,307,0,3,0
17.11,1504,307,0,3,0
17.12,1505,307,0,3,0
17.13,1506,307,0,3,0
17.14,1507,480,0,3,0
17.15,1508,480,0,3,0
17.16,1509,480,0,3,0
17.17,1510,513,0,3,0
17.18,1511,307,0,3,0
17.19,1512,614,0,3,0
17.20,1513,614,0,3,0
17.21,1514,307,0,3,0
17.22,1515,480,0,3,0
17.23,1516,307,0,3,0
17.24,1517,303,0,3,0
17.25,1518,307,0,3,0
17.26,1519,303,0,3,0
17.27,1520,306,0,3,0
17.28,1521,480,0,3,0
17.29,1522,480,0,3,0
17.30,1523,237,0,3,0
17.31,1524,480,0,3,0
17.32,1525,304,0,3,0
17.33,1526,55,0,3,0
17.34,1546,480,0,3,0
17.35,1650,480,0,3,0
18.0,29,0,0,2,0
18.1,30,0,0,2,0
18.2,25,0,0,2,0
18.3,1613,8,0,3,0
18.4,1614,8,0,3,0
18.5,1615,8,0,3,0
18.6,1616,8,0,3,0
18.7,1617,8,0,3,0
18.8,1618,480,0,3,0
18.9,1619,8,0,3,0
18.10,1620,8,0,3,0
18.11,1621,8,0,3,0
18.12,1622,480,0,3,0
18.13,1623,8,0,3,0
18.14,1624,8,0,3,0
18.15,1625,8,0,3,0
18.16,1626,8,0,3,0
18.17,1627,8,0,3,0
18.18,1628,8,0,3,0
18.19,1629,8,0,3,0
18.20,1630,8,0,3,0
18.21,1631,480,0,3,0
18.22,1632,8,0,3,0
18.23,1633,480,0,3,0
18.24,1634,8,0,3,0
18.25,1635,480,0,3,0
18.26,1636,480,0,3,0
19.0,2305,0,0,1,0
19.1,2329,0,0,1,0
19.2,1669,480,0,3,0
19.3,0,0,0,0,0
20.0,31,0,0,2,0
20.1,25,0,0,2,0
20.2,30,0,0,2,0
20.3,0,0,0,0,0
21.0,0,0,0,0,0
22.0,1380,303,0,3,0
22.1,1382,303,0,3,0
22.2,1548,303,0,3,0
22.3,1549,303,0,3,0
22.4,1777,303,0,3,0
22.5,1671,303,0,3,0
22.6,1761,303,0,3,0
22.7,1384,303,0,3,0
22.8,1550,480,0,3,0
22.9,1763,302,0,3,0
22.10,1551,552,0,3,0
22.11,1552,303,0,3,0
22.12,1553,303,0,3,0
22.13,1554,303,0,3,0
22.14,1555,611,0,3,0
22.15,1556,611,0,3,0
22.16,1557,480,0,3,0
22.17,0,0,0,0,0
23.0,1676,304,0,3,0
23.1,1528,304,0,3,0
23.2,1531,304,0,3,0
23.3,1529,304,0,3,0
23.4,1530,480,0,3,0
23.5,1535,298,0,3,0
23.6,1536,304,0,3,0
23.7,456,304,0,3,0
23.8,1532,304,0,3,0
23.9,1534,480,0,3,0
23.10,6,0,0,2,0
23.11,7,0,0,2,0
23.12,0,0,0,0,0
24.0,351,65,0,3,0
24.1,556,9,0,3,0
24.2,0,0,0,0,0
25.0,506,155,0,3,0
25.1,505,154,0,3,0
25.2,508,157,0,3,0
25.3,982,151,0,3,0
25.4,559,230,0,3,0
26.0,950,198,0,3,0
26.1,941,198,0,3,0
26.2,0,0,0,0,0
27.0,1209,558,0,3,0
27.1,1448,316,0,3,0
27.2,1450,316,0,3,0
27.3,1378,316,0,3,0
27.4,0,0,0,0,0
28.0,987,71,0,3,0
29.0,337,100,0,3,0
30.0,1011,180,0,3,0
30.1,995,180,0,3,0
30.2,954,187,0,3,0
30.3,1012,187,0,3,0
30.4,337,100,0,3,0
31.0,701,23,0,3,0
32.0,855,18,0,3,0
32.1,856,18,0,3,0
32.2,705,18,0,3,0
32.3,337,100,0,3,0
32.4,860,17,0,3,0
32.5,513,167,0,3,0
33.0,1033,34,0,3,0
33.1,1036,145,0,3,0
33.2,629,219,0,3,0
33.3,1035,219,0,3,0
33.4,628,219,0,3,0
34.0,1144,480,0,3,0
35.0,1427,254,0,3,0
35.1,1428,254,0,3,0
35.2,1432,2,0,3,0
35.3,1433,215,0,3,0
35.4,1435,215,0,3,0
35.5,0,0,0,0,0
36.0,44,0,0,2,0
36.1,78,0,0,5,0
36.2,1860,305,0,3,0
36.3,1864,9,0,3,0
36.4,1865,9,0,3,0
36.5,1869,305,0,3,0
36.6,1873,480,0,3,0
36.7,2663,0,0,1,0
36.8,2691,0,0,1,0
36.9,2692,0,0,1,0
36.10,2693,0,0,1,0
36.11,2694,0,0,1,0
36.12,2695,0,0,1,0
36.13,0,0,0,0,0
37.0,44,0,0,2,0
