#,Singular,Plural,Name,Tooltip,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Icon,Action
0,,,,,0,0,0,1,0,0,0,0
1,,,Tongefäß des Siegelbruchs,Entfernt alle Fallen der aktuellen Ebene.,0,0,0,1,0,0,27901,6259
2,,,Tongefäß der Sicht,Enthüllt die gesamte Karte der aktuellen Ebene und macht alle Fallen sichtbar.,0,0,0,1,0,0,27902,6260
3,,,Tongefäß der Stärkung,Erhöht den eigenen ausgeteilten Schaden und die Wirkung von Heilmagie um 30 %.,0,0,0,1,0,0,27903,6262
4,,,Tongefäß der Abwehr,Verringert den eigenen erlittenen Schaden um 40 %.,0,0,0,1,0,0,27904,6263
5,,,Tongefäß der Schätze,Erhöht die Zahl der Schatztruhen auf der nächsten Ebene.,0,0,0,1,0,0,27905,6264
6,,,Tongefäß des Feindtods,Verringert die Zahl der Gegner auf der nächsten Ebene.,0,0,0,1,0,0,27906,6265
7,,,Tongefäß der Feindwandlung,Verwandelt die Gegner in einem der Räume auf der nächsten Ebene in Mimiks oder Mandragoras.,0,0,0,1,0,0,27907,6266
8,,,Tongefäß der Entzauberung,Hebt den Status Verwünschung auf.,0,0,0,1,0,0,27908,6267
9,,,Tongefäß des Glücks,"Erhöht die Chance, dass beim Sieg über Gegner auf der aktuellen Ebene eine Schatztruhe erscheint.",0,0,0,1,0,0,27909,6268
10,,,Tongefäß der Wandlung,"Verwandelt Gegner in deiner Nähe in Frösche, Flusskobolde oder Hühner.",0,0,0,1,0,0,27910,6269
11,,,Tongefäß der Enthexung,Hebt alle Effekte der aktuellen Ebene auf.,0,0,0,1,0,0,27911,6270
12,,,Tongefäß der Manticoren,Verwandelt dich in eine Manticore.,0,0,0,1,0,0,27912,6271
13,,,Tongefäß der Sukkuben,Verwandelt dich in einen Sukkubus.,0,0,0,1,0,0,27913,6272
14,,,Tongefäß des Finders,"Enthüllt verborgene Schätze auf der aktuellen Ebene. Der Effekt endet, wenn ein Schatz gefunden wurde.",0,0,0,1,0,0,27916,6870
15,,,Tongefäß des Lebens,"Belebt das nächste Grup­pen­mit­glied, das kampfunfähig wird.",0,0,0,1,0,0,27914,6868
16,,,Tongefäß der Kuribu,Verwandelt dich in eine Kuribu.,0,0,0,1,0,0,27915,6869
17,,,Tongefäß der Feindschwächung,Schwächt die Abwehr aller Gegner auf der aktuellen Ebene.,0,0,0,1,0,0,27919,11275
18,,,Tongefäß des Verschwindens,Belegt alle Grup­pen­mit­glieder mit dem Status Verschwunden.,0,0,0,1,0,0,27917,11276
19,,,Tongefäß der Feindversteinerung,Versteinert alle Gegner auf der aktuellen Ebene.,0,0,0,1,0,0,27918,11277
20,,,Ätherogefäß der Trägheit,Verlangsamt alle Gegner auf der aktuellen Ebene.,0,0,0,1,0,0,27920,32144
21,,,Ätherogefäß der Schwäche,Verringert die LP aller Gegner der aktuellen Ebene auf 1.,0,0,0,1,0,0,27921,32145
22,,,Ätherogefäß der Macht,Verwandelt dich in einen Brummonauten.,0,0,0,1,0,0,27922,32146
23,,,Ätherogefäß des Siegelbruchs,Entfernt alle Fallen der aktuellen Ebene.,0,0,0,1,0,0,27901,6259
24,,,Ätherogefäß der Sicht,Enthüllt die gesamte Karte der aktuellen Ebene und macht alle Fallen sichtbar.,0,0,0,1,0,0,27902,6260
25,,,Ätherogefäß der Stärkung,Erhöht den eigenen ausgeteilten Schaden und die Wirkung von Heilmagie um 30 %.,0,0,0,1,0,0,27903,6262
26,,,Ätherogefäß der Abwehr,Verringert den eigenen erlittenen Schaden um 40 %.,0,0,0,1,0,0,27904,6263
27,,,Ätherogefäß der Schätze,Erhöht die Zahl der Schatztruhen auf der nächsten Ebene.,0,0,0,1,0,0,27905,6264
28,,,Ätherogefäß des Feindtods,Verringert die Zahl der Gegner auf der nächsten Ebene.,0,0,0,1,0,0,27906,6265
29,,,Ätherogefäß der Feindwandlung,Verwandelt die Gegner in einem der Räume auf der nächsten Ebene in Mimiks oder Mandragoras.,0,0,0,1,0,0,27907,6266
30,,,Ätherogefäß der Entzauberung,Hebt den Status **Verwünschung** auf.,0,0,0,1,0,0,27908,6267
31,,,Ätherogefäß des Glücks,"Erhöht die Chance, dass beim Sieg über Gegner auf der aktuellen Ebene eine Schatztruhe erscheint.",0,0,0,1,0,0,27909,6268
32,,,Ätherogefäß der Wandlung,"Verwandelt Gegner in deiner Nähe in Frösche, Flusskobolde oder Hühner.",0,0,0,1,0,0,27910,6269
33,,,Ätherogefäß der Enthexung,Hebt alle Effekte der aktuellen Ebene auf.,0,0,0,1,0,0,27911,6270
34,,,Ätherogefäß des Finders,"Enthüllt verborgene Schätze auf der aktuellen Ebene. Der Effekt endet, wenn ein Schatz gefunden wurde.",0,0,0,1,0,0,27916,6870
35,,,Ätherogefäß des Lebens,"Belebt das nächste Grup­pen­mit­glied, das kampfunfähig wird.",0,0,0,1,0,0,27914,6868
36,,,Tongefäß der Hast,Verleiht allen Grup­pen­mit­gliedern den Status **Hast**.,0,0,0,1,0,0,27923,44616
37,,,Tongefäß der Reinigung,Hebt bei allen Grup­pen­mit­gliedern alle negativen Statuseffekte (sofern entfernbar) auf und schützt vor dem nächsten negativen Statuseffekt.,0,0,0,1,0,0,27924,44617
38,,,Tongefäß der Weisung,Erzeugt auf der nächsten Ebene einen Leuchter.,0,0,0,1,0,0,27925,44618
