#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21
0,2213,9281,0,0,0,0,90,6603,2,0,0,0,0,0,0,0,0,0,False,False,False,True
1,2213,585415,0,0,0,3356,90,6604,2,1,1,0,0,0,0,0,0,0,False,True,False,True
2,2213,657270971,0,0,0,0,90,0,2,1,1,0,0,0,0,0,0,0,True,False,False,False
3,570426,8617,40307846,0,0,990,90,2840,3,1,2,0,0,0,0,0,0,0,False,True,False,True
4,38519,9430,152487,0,0,2340,90,5380,3,1,1,0,0,0,0,0,0,0,False,True,False,True
5,38519,9430,155619,0,0,0,90,0,3,1,1,0,0,0,0,0,0,0,True,True,False,False
6,38519,9430,9528,0,0,0,90,0,3,0,0,0,0,0,0,0,0,0,True,True,False,False
7,2213,38118,0,0,0,0,90,6690,2,2,1,2,0,0,0,0,0,0,False,False,False,True
8,2213,2311538,2291752,0,0,3400,90,6691,3,1,1,0,0,0,0,0,0,0,False,True,False,True
9,2213,2311538,648040,0,0,3401,90,6692,3,1,1,0,0,0,0,0,0,0,False,True,False,True
10,2213,2311538,39230,0,0,3402,90,6693,3,3,1,1,2,0,0,0,0,0,False,True,False,True
11,2213,2311538,40919835,0,0,3407,90,6694,3,0,0,0,0,0,0,0,0,0,False,True,False,True
12,2213,2311538,2270447,0,0,3403,90,6695,3,3,1,1,2,0,0,0,0,0,False,True,False,True
13,2213,2311538,9379,0,0,3404,90,6696,3,3,1,1,1,0,0,0,0,0,False,True,False,True
14,2213,2311538,9649,0,0,3405,90,6697,3,0,0,0,0,0,0,0,0,0,False,True,False,True
15,2213,2311538,9528,0,0,3406,90,6698,3,0,0,0,0,0,0,0,0,0,False,True,False,True
16,10062818,9095638257,0,0,0,0,90,0,2,0,0,0,0,0,0,0,0,0,True,True,False,False
17,155849350,0,0,0,0,3500,90,314,1,1,1,0,0,0,0,0,0,0,False,True,False,True
18,583810695,2134553316,0,0,0,3501,90,1450,2,1,1,0,0,0,0,0,0,0,False,True,False,True
19,583810695,39151,0,0,0,3502,90,1451,2,1,1,0,0,0,0,0,0,0,False,True,False,True
20,583810695,38577677288,0,0,0,3503,90,1452,2,0,0,0,0,0,0,0,0,0,False,True,False,True
21,583810695,145031,0,0,0,0,90,1453,2,0,0,0,0,0,0,0,0,0,False,False,False,True
22,2387,160508673,648040,0,0,0,90,6940,3,0,0,0,0,0,0,0,0,0,False,False,False,True
23,2387,160508673,9480,0,0,0,90,6941,3,0,0,0,0,0,0,0,0,0,False,False,False,True
24,571188,40124422,8992291,0,0,1190,90,3090,3,3,1,1,1,0,0,0,0,0,False,True,False,True
25,571188,9901993,37539,0,0,0,90,3091,3,2,1,1,0,0,0,0,0,0,False,False,False,True
26,162586,0,0,0,0,0,90,339,1,2,1,1,0,0,0,0,0,0,False,False,False,True
27,162586,148694,0,0,0,0,90,340,2,0,0,0,0,0,0,0,0,0,False,False,False,True
28,38519,617532,611921,2257,0,0,90,5383,4,0,0,0,0,0,0,0,0,0,False,False,False,True
29,38519,617532,611921,0,0,0,90,5382,3,1,1,0,0,0,0,0,0,0,False,False,False,True
30,2387,160508673,568894703,2257,0,3794,90,6945,4,1,2,0,0,0,0,0,0,0,False,True,False,True
31,2387,160508673,2275570044,2257,0,3796,90,6946,4,1,2,0,0,0,0,0,0,0,False,True,False,True
32,2387,160508673,568894703,9480,0,0,90,6944,4,0,0,0,0,0,0,0,0,0,False,False,False,True
33,2387,160508673,568894703,0,0,3793,7,6942,3,2,1,2,0,0,0,0,0,0,False,True,False,True
34,2387,160508673,2275570044,0,0,3795,7,6943,3,2,1,2,0,0,0,0,0,0,False,True,False,True
35,2387,493,9281,0,0,0,90,7200,3,0,0,0,0,0,0,0,0,0,False,False,False,True
36,2387,493,40056,38518,40669,3990,90,7201,5,0,0,0,0,0,0,0,0,0,False,True,False,True
37,2387,493,40056,38518,8808,3991,90,7202,5,0,0,0,0,0,0,0,0,0,False,True,False,True
38,2387,493,40056,38972,0,3992,7,7203,4,1,1,0,0,0,0,0,0,0,False,True,False,True
39,2387,493,39151,9281,0,3987,5,7204,4,0,0,0,0,0,0,0,0,0,False,True,False,True
40,2387,493,39151,2375,0,3993,90,7205,4,2,1,1,0,0,0,0,0,0,False,True,False,True
41,2387,493,39151,38518,0,3994,90,7206,4,0,0,0,0,0,0,0,0,0,False,True,False,True
42,2387,493,9455,9281,0,3998,5,7207,4,1,1,0,0,0,0,0,0,0,False,True,False,True
43,2387,493,9455,2375,0,3995,7,7208,4,2,1,1,0,0,0,0,0,0,False,True,False,True
44,2387,493,9455,38518,0,3996,90,7209,4,0,0,0,0,0,0,0,0,0,False,True,False,True
45,2387,493,567,0,0,3997,90,7210,3,3,1,1,1,0,0,0,0,0,False,True,False,True
46,2387,600833,37815,0,0,0,90,6947,3,1,1,0,0,0,0,0,0,0,False,False,False,True
47,2387,600833,2270447,0,0,0,90,6948,3,0,0,0,0,0,0,0,0,0,False,False,False,True
48,2387,600833,559864,0,0,0,90,6949,3,0,0,0,0,0,0,0,0,0,False,False,False,True
49,2387,600833,9480,0,0,0,90,6950,3,0,0,0,0,0,0,0,0,0,False,False,False,True
50,2387,648040,9281,0,0,0,90,7300,3,0,0,0,0,0,0,0,0,0,False,False,False,True
51,2387,648040,141207,34840,0,3982,90,7301,4,3,1,1,1,0,0,0,0,0,False,True,False,True
52,2387,648040,2300743,0,0,0,90,7302,3,2,1,1,0,0,0,0,0,0,False,False,False,True
53,2387,648040,2267163,0,0,3981,90,7303,3,2,1,1,0,0,0,0,0,0,False,True,False,True
54,2387,648040,141207,563,0,3983,90,7304,3,0,1,0,0,0,0,0,0,0,False,True,False,True
55,2387,648040,548615,0,0,3980,90,7305,3,1,1,0,0,0,0,0,0,0,False,True,False,True
56,2387,600833,34562,37815,0,0,90,6951,4,1,1,0,0,0,0,0,0,0,False,False,False,True
57,2387,2496744,9281,0,0,3735,90,6920,3,0,0,0,0,0,0,0,0,0,False,True,False,True
58,2387,2496744,38972,2097,0,0,90,6921,4,1,1,0,0,0,0,0,0,0,False,False,False,True
59,2387,2496744,38972,2375,0,3730,90,6922,4,1,1,0,0,0,0,0,0,0,False,True,False,True
60,2387,2496744,2248322,0,0,3731,90,6923,3,1,1,0,0,0,0,0,0,0,False,True,False,True
61,2387,2496744,138899,0,0,3733,90,6924,3,1,1,0,0,0,0,0,0,0,False,True,False,True
