#,Name,Icon,UnlockLink,TextCommand,ActionTimeline[0],ActionTimeline[1],ActionTimeline[2],ActionTimeline[3],ActionTimeline[4],ActionTimeline[5],ActionTimeline[6],Order,LogMessageTargeted,LogMessageUntargeted,Patch,EmoteCategory,EmoteMode,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,HasCancelEmote,DrawsWeapon,Unknown6
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,True,True,False,False,False,False,False
1,Überrascht,246201,0,402,689,0,674,674,674,0,0,5016,100,200,1,1,0,True,True,True,False,True,False,False,False
2,Verärgert,246202,0,403,690,0,639,639,639,0,0,5010,101,201,1,1,0,True,True,True,False,True,False,False,False
3,Zornig,246203,0,404,691,0,664,664,664,0,0,5003,102,202,1,1,0,True,True,True,False,True,False,False,False
4,Erröten,246204,0,405,693,0,0,0,0,0,0,1006,103,203,1,1,0,False,False,False,False,True,False,False,False
5,Verbeugen,246205,0,406,694,0,0,0,0,0,0,1,104,204,1,1,0,False,False,False,False,True,False,False,False
6,Anfeuern,246206,0,407,695,0,675,675,675,0,0,2004,105,205,1,1,0,True,True,True,False,True,False,False,False
7,Klatschen,246207,0,408,696,0,656,645,676,0,0,2002,106,206,1,1,0,True,True,True,False,True,False,False,False
8,Herbeiwinken,246208,0,409,697,0,0,0,0,0,0,5101,107,207,1,1,0,False,False,False,False,True,False,False,False
9,Trösten,246209,0,410,698,0,677,677,677,0,0,1007,108,208,1,1,0,True,True,True,False,True,False,False,False
10,Weinen,246210,0,411,699,0,678,678,678,0,0,5002,109,209,1,1,0,True,True,True,False,True,False,False,False
11,Tanzen,246211,0,412,700,0,0,0,0,0,0,1040,110,210,1,1,0,False,False,False,False,True,False,False,False
12,Beschuldigen,246212,0,413,702,0,0,0,0,0,0,5018,111,211,1,1,0,False,False,False,False,True,False,False,False
13,Müde,246213,0,414,703,0,657,646,679,0,0,5107,112,212,1,1,0,True,True,True,False,True,False,False,False
