#,Name,Description,Icon,PlayerLevel,Unknown0,PlaceName,Order,Unknown1
0,,,0,0,0,0,1,False
1,Steinpuppen-Training,"Probiere deine Kampftechniken an einer einfachen Steinpuppe aus, um zu sehen, wie gut du Schaden austeilen kannst. Dies ist die einfachste Schwierigkeitsstufe.",112145,60,0,2089,100,False
2,Training: Zenit der Götter - Bismarck,"Diese Schwierigkeitsstufe dient der Vorbereitung auf den Kampf gegen den wiederbeschworenen Primae Bismarck. Bist du stark genug, den Wolkengott zu besiegen? Teste deine Fä­hig­kei­ten gegen eine Steinpuppe, bevor du dein Leben riskierst.",112146,60,0,2089,101,False
3,Training: Alexander - Gordios,"Du willst dich tatsächlich ins Innere der zum Leben erwachten Riesenmaschine Alexander wagen? Alle Achtung! Ich rate dir, vorher dein Können an einer angemessen widerstandsfähigen Steinpuppe auszuprobieren.",112147,60,0,2089,102,False
4,Training: Alexander - Faust des Vaters (episch),"Mir sind Lieder zu Ohren gekommen, die der Fahrende Sänger über deine Abenteuer im Inneren von Alexander gedichtet hat. Unglaublich faszinierend! Hast du Lust, dein Können an einer neuen, härteren Steinpuppe zu demonstrieren?",112148,60,0,2089,103,False
5,Training: Alexander - Elle des Vaters (episch),"Mir sind Lieder zu Ohren gekommen, die der Fahrende Sänger über deine Abenteuer im Inneren von Alexander gedichtet hat. Unglaublich faszinierend! Hast du Lust, dein Können an einer neuen, härteren Steinpuppe zu demonstrieren?",112149,60,0,2089,104,False
6,Training: Alexander - Arm des Vaters (episch),"Mir sind Lieder zu Ohren gekommen, die der Fahrende Sänger über deine Abenteuer im Inneren von Alexander gedichtet hat. Unglaublich faszinierend! Hast du Lust, dein Können an einer neuen, härteren Steinpuppe zu demonstrieren?",112150,60,0,2089,105,False
7,Training: Alexander - Last des Vaters (episch),"Mir sind Lieder zu Ohren gekommen, die der Fahrende Sänger über deine Abenteuer im Inneren von Alexander gedichtet hat. Unglaublich faszinierend! Hast du Lust, dein Können an einer neuen, härteren Steinpuppe zu demonstrieren?",112151,60,0,2089,106,False
8,Training: Heldenlied von Thordans Fall,Ich habe von deinem Kampf gegen Papst Thordan und seine Azurgarde gehört und die Herstellung einer entsprechend robusten Steinpuppe in Auftrag gegeben. Willst du dich daran versuchen?,112152,60,0,2089,107,False
9,Training: Zenit der Götter - Sephirot,"Ist es wirklich wahr, dass du Sephirot besiegt hast, die Ikone der Kriegstriade? Das glaube ich erst, wenn du unsere neueste Steinpuppe zerlegst.",112153,60,0,2089,108,False
