#,Action[0],Action[1],Action[2],Action[3],Action[4],Action[5]
0,0,0,0,0,0,0
1,2437,0,0,0,0,0
2,2434,2435,0,0,0,0
3,1128,1129,0,0,0,0
4,2436,0,0,0,0,0
5,2437,0,0,0,0,0
6,1764,0,0,0,0,0
7,1765,0,0,0,0,0
8,2620,0,0,0,0,0
9,3506,0,0,0,0,0
10,4062,4063,4064,4065,4067,4800
11,4913,4914,4915,4916,4917,0
12,4976,0,0,0,0,0
13,4930,0,0,0,0,0
14,4931,0,0,0,0,0
15,5872,0,0,0,0,0
16,6143,0,0,0,0,0
17,6293,0,0,0,0,0
18,6294,0,0,0,0,0
19,6297,0,0,0,0,0
20,6324,0,0,0,0,0
21,6295,0,0,0,0,0
22,6296,0,0,0,0,0
23,7619,7620,7621,7622,0,0
24,7599,0,0,0,0,0
25,7600,0,0,0,0,0
26,8623,0,0,0,0,0
27,8624,8625,0,0,0,0
28,9982,0,0,0,0,0
29,10013,0,0,0,0,0
30,10014,0,0,0,0,0
31,10019,0,0,0,0,0
32,10020,0,0,0,0,0
33,4592,0,0,0,0,0
34,10270,0,0,0,0,0
35,4583,0,0,0,0,0
36,4584,0,0,0,0,0
37,4585,0,0,0,0,0
38,4586,0,0,0,0,0
39,0,0,0,0,0,0
40,11499,0,0,0,0,0
41,11500,0,0,0,0,0
42,17390,0,0,0,0,0
43,17391,0,0,0,0,0
44,18187,0,0,0,0,0
45,18188,0,0,0,0,0
46,19275,0,0,0,0,0
47,20064,0,0,0,0,0
48,20030,0,0,0,0,0
49,20031,0,0,0,0,0
50,20121,0,0,0,0,0
51,20122,0,0,0,0,0
52,23345,0,0,0,0,0
53,24276,0,0,0,0,0
54,26231,26232,26233,0,0,0
55,28302,0,0,0,0,0
56,29382,29383,29384,0,0,0
57,29385,29386,29387,29388,0,0
58,29463,29464,29465,0,0,0
59,29718,0,0,0,0,0
60,29719,0,0,0,0,0
61,29720,0,0,0,0,0
62,31116,0,0,0,0,0
63,31117,0,0,0,0,0
64,34738,0,0,0,0,0
65,33268,0,0,0,0,0
66,33269,0,0,0,0,0
67,36059,0,0,0,0,0
68,40109,40110,40111,40112,0,0
69,40113,0,0,0,0,0
70,42036,42037,0,0,0,0
71,37173,0,0,0,0,0
72,37174,0,0,0,0,0
73,42019,0,0,0,0,0
74,42057,0,0,0,0,0
75,42151,0,0,0,0,0
76,42152,0,0,0,0,0
77,44920,44921,0,0,0,0
78,42071,42261,0,0,0,0
79,39505,0,0,0,0,0
80,39506,0,0,0,0,0
81,44516,0,0,0,0,0
82,44517,44518,0,0,0,0
83,44519,44520,0,0,0,0
84,44923,44924,0,0,0,0
85,45193,45194,45195,0,0,0
86,42063,42064,0,0,0,0
87,42061,42062,0,0,0,0
88,47246,0,0,0,0,0
