#,Text[0],Text[1],Text[2],Image,Type,IconType,TextType
0,,,,0,0,0,0
1,,,,150011,0,0,0
2,,,,150012,0,0,0
3,,,,0,0,0,0
4,,,,0,0,0,0
5,"NPCs, die Aufträge anbieten, erkennt man an den **Ausrufezeichen** über ihren Köpfen. Mache einen Rechtsklick auf das Zeichen, um das Auftragsfenster zu öffnen.","NPCs, die Aufträge anbieten, erkennt man an den **Ausrufezeichen** über ihren Köpfen. Mache einen Rechtsklick auf das Zeichen, um das Auftragsfenster zu öffnen.","NPCs, die Aufträge anbieten, erkennt man an den **Ausrufezeichen** über ihren Köpfen. Mache einen Rechtsklick auf das Zeichen, um das Auftragsfenster zu öffnen.",150021,1,1,1
6,"NPCs, die Aufträge anbieten, erkennt man an den **Ausrufezeichen** über ihren Köpfen. Um das Auftragsfenster zu öffnen, sprich mit dem NPC, indem du ihn zunächst anvisierst und dann die Taste zum **Bestätigen** drückst.","NPCs, die Aufträge anbieten, erkennt man an den **Ausrufezeichen** über ihren Köpfen. Um das Auftragsfenster zu öffnen, sprich mit dem NPC, indem du ihn zunächst anvisierst und dann die Taste zum **Bestätigen** drückst.","NPCs, die Aufträge anbieten, erkennt man an den **Ausrufezeichen** über ihren Köpfen. Um das Auftragsfenster zu öffnen, sprich mit dem NPC, indem du ihn zunächst anvisierst und dann die Taste zum **Bestätigen** drückst.",150022,1,1,1
7,,,,0,0,0,0
8,,,,0,0,0,0
9,,,,0,0,0,0
10,"Wenn du im Begriff bist, einen Auftrag zu beginnen, erscheint ein Fenster mit einer kurzen Einleitung und der Vergütung, die du erwarten darfst. Mit **Annehmen** fügst du den Auftrag deiner Aufgabenliste am rechten Bildschirmrand hinzu.",,,150121,1,1,0
11,"Wenn du im Begriff bist, einen Auftrag zu beginnen, erscheint ein Fenster mit einer kurzen Einleitung und der Vergütung, die du erwarten darfst. Mit **Annehmen** fügst du den Auftrag deiner Aufgabenliste am rechten Bildschirmrand hinzu.",,,150121,1,1,0
12,,,,0,0,0,0
13,,,,0,0,0,0
14,,,,0,0,0,0
15,"Schließe einen Auftrag durch einen Rechtsklick auf einen NPC mit einem **Häkchen** über dem Kopf ab. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen.","Schließe einen Auftrag durch einen Rechtsklick auf einen NPC mit einem **Häkchen** über dem Kopf ab. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen.","Schließe einen Auftrag durch einen Rechtsklick auf einen NPC mit einem **Häkchen** über dem Kopf ab. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen.",150811,1,1,1
16,"Schließe einen Auftrag ab, indem du mit einem NPC mit einem **Häkchen** über dem Kopf sprichst. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen.","Schließe einen Auftrag ab, indem du mit einem NPC mit einem **Häkchen** über dem Kopf sprichst. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen.","Schließe einen Auftrag ab, indem du mit einem NPC mit einem **Häkchen** über dem Kopf sprichst. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen.",150812,1,1,1
17,,,,0,0,0,0
18,,,,0,0,0,0
19,,,,0,0,0,0
20,"Das **Hauptmenü** gewährt dir einen direkten Zugriff auf die wichtigsten Funktionen des Spiels. Wenn du **Charakter** auswählst, öffnet sich ein Fenster mit den Attributen und der Ausrüstung deines Charakters. Über **Archiv** gelangst du zu einer Liste mit Aufträgen und Freibriefen.",,,150141,1,0,0
21,"Falls du die zahlreichen Einstellungen des Spiels einschließlich **Tastenbelegung**, **Layout** und **Konfiguration** anpassen möchtest, kannst du über das **Systemmenü** auf diese Optionen zugreifen.
Um Tutorialtexte nochmals zu lesen, wähle im Systemmenü **Tutorial-Hilfstexte** aus.",,,150142,1,0,0
22,"Dein Spielfortschritt wird automatisch gespeichert, daher gibt es keine Funktionen zum Speichern oder Laden. Um jedoch einem Datenverlust oder einer Beschädigung der Daten vorzubeugen, solltest du jede Spielsitzung mit der Auswahl von **Ausloggen** oder **Spiel beenden** abschließen.",,,150143,1,0,0
23,,,,0,0,0,0
24,,,,0,0,0,0
25,"Die **Rückführung** kann verwendet werden, um unmittelbar zu dem Ätheryten zu reisen, den du als **Heimatpunkt** festgelegt hast. Dazu musst du einfach nur **Rückführung** im Hauptmenü unter **Karte & Transport** auswählen. Die Rückführung ist aber nur alle 
**15 Minuten** (Erdenzeit) möglich.",,,150131,1,0,0
26,"Du kannst immer nur einen Heimatpunkt festlegen. Um einen Ätheryten zu deinem neuen Heimatpunkt zu machen, führe einen Rechtsklick auf ihn aus, um das Ätheryten-Menü anzuzeigen.",,,150132,1,0,0
27,"Die **Rückführung** kann verwendet werden, um unmittelbar zu dem Ätheryten zu reisen, den du als **Heimatpunkt** festgelegt hast. Dazu musst du einfach nur **Rückführung** im Hauptmenü unter **Karte & Transport** auswählen. Die Rückführung ist aber nur alle **15 Minuten** (Erdenzeit) möglich.",,,150131,1,0,0
28,"Du kannst immer nur einen Heimatpunkt festlegen. Um einen Ätheryten zu deinem neuen Heimatpunkt zu machen, visiere ihn an und wähle ihn aus, um das Ätheryten-Menü anzuzeigen.",,,150133,1,0,0
29,,,,0,0,0,0
30,"Mit der Auswahl von **Karte** unter **Karte & Transport **im **Hauptmenü** oder mit der Taste **M** öffnet sich die Karte. Wenn du gerade in der Nähe von Zielobjekten deiner Aufträge bist, werden dort Icons angezeigt.",,,150041,1,1,0
31,"Wenn du in deiner **Aufgabenliste** eine Aufgabe anklickst, siehst du sofort den Ort, an den du dich dafür begeben musst.",,,150042,1,1,0
32,"Wenn du **Karte** im **Hauptmenü** unter **Karte & Transport** auswählst, öffnet sich die Karte. Wenn du gerade in der Nähe von Zielobjekten deiner Aufträge bist, werden dort Icons angezeigt.",,,150041,1,1,0
33,"Wenn du in deiner **Aufgabenliste** eine Aufgabe auswählst, siehst du sofort den Ort, an den du dich dafür begeben musst.",,,150042,1,1,0
34,,,,0,0,0,0
35,"Du kannst Ausrüstung betrachten, anlegen und entfernen, indem du im **Hauptmenü** **Charakter** auswählst oder **C** auf der Tastatur drückst.",,,150181,1,0,0
36,"Um einen Gegenstand auszurüsten, wähle zunächst den gewünschten Slot aus. Dadurch öffnet sich dein **Arsenal**, von wo aus du einen Gegenstand zum Ausrüsten auswählen kannst. Wähle dann **Anlegen** im Untermenü, um den Gegenstand auszurüsten.",,,150182,1,0,0
