#,Name,Description,Icon,Value,ChocoboRaceAbilityType
0,,,0,0,0
1,Chocobo-Sprint I,"Erhöht vor­über­gehend die Ge­schwindig­keit, ohne Puste zu verbrauchen.  Dauer: 1 Sekunde",70001,1,1
2,Chocobo-Sprint II,"Erhöht vor­über­gehend die Ge­schwindig­keit, ohne Puste zu verbrauchen.  Dauer: 2 Sekunden",70002,2,1
3,Chocobo-Sprint III,"Erhöht vor­über­gehend die Ge­schwindig­keit, ohne Puste zu verbrauchen.  Dauer: 3 Sekunden",70003,3,1
4,Chocobo-Vita I,Stellt 6 % der maximalen Puste wieder her.,70004,6,2
5,Chocobo-Vita II,Stellt 9 % der maximalen Puste wieder her.,70005,9,2
6,Chocobo-Vita III,Stellt 12 % der maximalen Puste wieder her.,70006,12,2
7,Chocobo-Medica I,Entfernt alle negativen Statuseffekte mit einer Erfolgschance von 75 %.,70007,75,3
8,Chocobo-Medica II,Entfernt alle negativen Statuseffekte mit einer Erfolgschance von 90 %.,70008,90,3
9,Chocobo-Medica III,Entfernt alle negativen Statuseffekte mit einer Erfolgschance von 100 %.,70009,100,3
10,Chocobo-Erlösung I,Entfernt den Statuseffekt „Gewicht“ und stellt 80 Punkte der Puste wieder her.,70010,80,4
11,Chocobo-Erlösung II,Entfernt den Statuseffekt „Gewicht“ und stellt 130 Punkte der Puste wieder her.,70011,130,4
12,Chocobo-Erlösung III,Entfernt den Statuseffekt „Gewicht“ und stellt 180 Punkte der Puste wieder her.,70012,180,4
13,Chocobo-Flüstern I,Entfernt den Statuseffekt „Raserei“ und stellt 100 Punkte der Puste wieder her.,70013,100,5
14,Chocobo-Flüstern II,Entfernt den Statuseffekt „Raserei“ und stellt 150 Punkte der Puste wieder her.,70014,150,5
15,Chocobo-Flüstern III,Entfernt den Statuseffekt „Raserei“ und stellt 200 Punkte der Puste wieder her.,70015,200,5
16,Chocobo-Reflexion I,Wirft alle negativen Statuseffekte ohne Flächenwirkung zurück auf den Angreifer. Dauer: 10 Sekunden,70016,10,6
17,Chocobo-Reflexion II,Wirft alle negativen Statuseffekte ohne Flächenwirkung zurück auf den Angreifer. Dauer: 15 Sekunden,70017,15,6
18,Chocobo-Reflexion III,Wirft alle negativen Statuseffekte ohne Flächenwirkung zurück auf den Angreifer. Dauer: 20 Sekunden,70018,20,6
19,Chocobo-Klau I,Nimmt mit einer Erfolgschance von 50 % dem Chocobo vor dir ein Extra weg.,70019,50,7
20,Chocobo-Klau II,Nimmt mit einer Erfolgschance von 70 % dem Chocobo vor dir ein Extra weg.,70020,70,7
21,Chocobo-Klau III,Nimmt mit einer Erfolgschance von 90 % dem Chocobo vor dir ein Extra weg.,70021,90,7
22,Chocobo-Schweigen I,"Erzeugt ein Feld der Stille, in dem andere Chocobos keine Fä­hig­kei­ten einsetzen können. Dauer: 35 Sekunden",70022,35,8
23,Chocobo-Schweigen II,"Erzeugt ein Feld der Stille, in dem andere Chocobos keine Fä­hig­kei­ten einsetzen können. Dauer: 40 Sekunden",70023,40,8
24,Chocobo-Schweigen III,"Erzeugt ein Feld der Stille, in dem andere Chocobos keine Fä­hig­kei­ten einsetzen können. Dauer: 45 Sekunden",70024,45,8
25,Chocobo-Schock I,"Erzeugt ein Feld der Verwirrung, in dem andere Chocobos keine Extras einsetzen können. Dauer: 25 Sekunden",70025,25,9
26,Chocobo-Schock II,"Erzeugt ein Feld der Verwirrung, in dem andere Chocobos keine Extras einsetzen können. Dauer: 30 Sekunden",70026,30,9
27,Chocobo-Schock III,"Erzeugt ein Feld der Verwirrung, in dem andere Chocobos keine Extras einsetzen können. Dauer: 35 Sekunden",70027,35,9
28,Langer Atem I,Verringert den Verbrauch von Puste während des Beschleunigens um 9 %.,70028,9,10
29,Langer Atem II,Verringert den Verbrauch von Puste während des Beschleunigens um 12 %.,70029,12,10
30,Langer Atem III,Verringert den Verbrauch von Puste während des Beschleunigens um 15 %.,70030,15,10
31,Federleicht I,"Erhöht die Chance, dem Statuseffekt „Gewicht“ zu widerstehen, um 60 %.",70031,60,11
32,Federleicht II,"Erhöht die Chance, dem Statuseffekt „Gewicht“ zu widerstehen, um 70 %.",70032,70,11
33,Federleicht III,"Erhöht die Chance, dem Statuseffekt „Gewicht“ zu widerstehen, um 80 %.",70033,80,11
34,Federleicht IV,"Erhöht die Chance, dem Statuseffekt „Gewicht“ zu widerstehen, um 90 %.",70034,90,11
35,Federleicht V,"Erhöht die Chance, dem Statuseffekt „Gewicht“ zu widerstehen, um 100 %.",70035,100,11
36,Kühler Kopf I,"Erhöht die Chance, dem Statuseffekt „Raserei“ zu widerstehen, um 60 %.",70036,60,12
37,Kühler Kopf II,"Erhöht die Chance, dem Statuseffekt „Raserei“ zu widerstehen, um 70 %.",70037,70,12
38,Kühler Kopf III,"Erhöht die Chance, dem Statuseffekt „Raserei“ zu widerstehen, um 80 %.",70038,80,12
39,Kühler Kopf IV,"Erhöht die Chance, dem Statuseffekt „Raserei“ zu widerstehen, um 90 %.",70039,90,12
40,Kühler Kopf V,"Erhöht die Chance, dem Statuseffekt „Raserei“ zu widerstehen, um 100 %.",70040,100,12
41,Herz aus Stahl I,Erhöht die Regeneration von Puste um 50 %.,70041,50,13
42,Herz aus Stahl II,Erhöht die Regeneration von Puste um 65 %.,70042,65,13
43,Herz aus Stahl III,Erhöht die Regeneration von Puste um 80 %.,70043,80,13
44,Schneller Lerner I,Erhöht die in Rennen erworbene Routine um 10 %.,70044,10,14
45,Schneller Lerner II,Erhöht die in Rennen erworbene Routine um 20 %.,70045,20,14
46,Schneller Lerner III,Erhöht die in Rennen erworbene Routine um 30 %.,70046,30,14
47,Schnellstart,Der Chocobo beginnt das Rennen mit maximaler Ge­schwindig­keit.,70047,1,15
48,Puste-Klau,"Erzeugt ein Feld, das jede Sekunde 15 Puste von anderen Chocobos in der Nähe absorbiert.",70048,15,16
49,Puste-Klau II,"Erzeugt ein Feld, das jede Sekunde 25 Puste von anderen Chocobos in der Nähe absorbiert.",70049,25,16
50,Puste-Klau III,"Erzeugt ein Feld, das jede Sekunde 35 Puste von anderen Chocobos in der Nähe absorbiert.",70050,35,16
51,Sporenwechsel,Ersetzt das Extra in deinem Besitz durch ein anderes.,70051,0,17
52,Windschatten,"Erhält alle Effekte, die Extras oder Fä­hig­kei­ten des Chocobos vor dir bewirkt haben, auch selbst.
Dauer: 7 Sekunden",70052,7,18
53,Windschatten II,"Erhält alle Effekte, die Extras oder Fä­hig­kei­ten des Chocobos vor dir bewirkt haben, auch selbst.
Dauer: 11 Sekunden",70053,11,18
54,Windschatten III,"Erhält alle Effekte, die Extras oder Fä­hig­kei­ten des Chocobos vor dir bewirkt haben, auch selbst.
Dauer: 15 Sekunden",70054,15,18
55,Daunenpuffer,"Bleibt von Feldern anderer Chocobos unbeeinflusst.
Dauer: 10 Sekunden",70055,10,19
56,Daunenpuffer II,"Bleibt von Feldern anderer Chocobos unbeeinflusst.
Dauer: 20 Sekunden",70056,20,19
57,Daunenpuffer III,"Bleibt von Feldern anderer Chocobos unbeeinflusst.
Dauer: 30 Sekunden",70057,30,19
58,Super-Sprint,"Sprintet unabhängig vom Wetter und den Gegebenheiten der Rennstrecke, bis die Puste auf 0 gesunken ist.",70058,0,20
59,Chocobo-Schutzengel,"Regeneriert einmal 60 Puste, sobald die Puste auf 0 gesunken ist.",70059,60,21
60,Chocobo-Schutzengel II,"Regeneriert einmal 130 Puste, sobald die Puste auf 0 gesunken ist.",70060,130,21
61,Chocobo-Schutzengel III,"Regeneriert einmal 200 Puste, sobald die Puste auf 0 gesunken ist.",70061,200,21
62,Zäher Vogel,Verkürzt die Wirkungsdauer erlittener negativer Statuseffekte auf 80 %.,70062,80,22
63,Zäher Vogel II,Verkürzt die Wirkungsdauer erlittener negativer Statuseffekte auf 65 %.,70063,65,22
64,Zäher Vogel III,Verkürzt die Wirkungsdauer erlittener negativer Statuseffekte auf 50 %.,70064,50,22
65,Entschleunigung,"Regeneriert 0,8 % Puste bei jedem Abbremsen.",70065,8,23
66,Entschleunigung II,Regeneriert 1 % Puste bei jedem Abbremsen.,70066,10,23
67,Entschleunigung III,"Regeneriert 1,2 % Puste bei jedem Abbremsen.",70067,12,23
68,,,0,0,0
69,,,0,0,0
70,,,0,0,0
