#,Category,Unknown0,Unknown1
0,Tische,13,1
1,Regale/Kommoden,13,2
2,Allerlei,13,4
3,Wände/Raumteiler,13,3
4,Stühle/Sessel/Sofas,12,1
5,Betten,12,3
6,Pflanzen,12,5
7,Funktionales,12,8
8,Wände/Säulen/Teiler,12,7
9,Bad und Küche,12,6
10,Allerlei,12,9
11,Regale/Kommoden,12,2
12,Beleuchtung,12,4
13,Funktionales,14,7
14,Beleuchtung,14,1
15,Allerlei,14,8
16,Pflanzen,14,4
17,Chronometer,14,3
18,Stofftiere/Modelle,14,5
19,Gerichte,14,2
20,Bilder/Wandbehänge,15,5
21,Allerlei,15,8
22,Beleuchtung,15,1
23,Chronometer,15,2
24,Funktionales,15,7
25,Regale/Montierbares,15,4
26,Pflanzen,15,3
27,Teppiche,16,0
28,Fenster,15,6
29,Dekorationen,14,6
