#,ShopName,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17
3473408,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473409,Ätherwarenhändler,1,0,4,235,4,210,2,0,3,0,0,0,0,0,0,0,True,False
3473410,Wertmarken-Scheine eintauschen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473411,Währungsscheine eintauschen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473412,Währungsscheine eintauschen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473413,Währungsscheine eintauschen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473414,Währungsscheine eintauschen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473415,Währungsscheine eintauschen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473416,Währungsscheine eintauschen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473417,Währungsscheine eintauschen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473418,Währungsscheine eintauschen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473419,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473420,Frontberichte eintauschen (Schließkassette),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473421,Frontberichte eintauschen (Verschiedenes),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473422,Frontberichte eintauschen (Verschiedenes),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473423,不用品の交換,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473424,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473425,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473426,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473427,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473428,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473429,Armeemarken (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473430,Armeemarken (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473431,Armeemarken (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473432,Rakshasa-Marken (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473433,Rakshasa-Marken (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473434,Rakshasa-Marken (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473435,Eulmore-Marken I (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473436,Eulmore-Marken I (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473437,Eulmore-Marken I (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473438,Eulmore-Marken II (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473439,Eulmore-Marken II (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473440,Eulmore-Marken II (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473441,Eulmore-Marken III (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473442,Eulmore-Marken III (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473443,Eulmore-Marken III (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473444,Radz-at-Han-Marken I (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473445,Radz-at-Han-Marken I (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473446,Radz-at-Han-Marken I (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473447,Radz-at-Han-Marken II (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473448,Radz-at-Han-Marken II (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473449,Radz-at-Han-Marken II (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473450,Radz-at-Han-Marken III (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473451,Radz-at-Han-Marken III (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473452,Radz-at-Han-Marken III (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473453,Immerfried-Marken I (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473454,Immerfried-Marken I (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473455,Immerfried-Marken I (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473456,Immerfried-Marken II (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473457,Immerfried-Marken II (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473458,Immerfried-Marken II (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473459,Immerfried-Marken III (Waffen),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473460,Immerfried-Marken III (Rüstung),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473461,Immerfried-Marken III (Accessoires),1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,True,True
3473462,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
