#,TextLong,TextShort,TextCommentary,Quest,Section,Unknown0,Unknown1
3604480,,,,0,0,0,False
3604481,,,,0,0,0,False
3604482,Regeln für domanisches Mahjong,DOMANISCHES MAHJONG,,68737,2,0,True
3604483,Regeln für Stahlschwingen,STAHLSCHWINGEN,Regeln,0,3,0,True
3604484,Erklärungen über Unterkünfte,UNTERKÜNFTE,,0,4,0,True
3604485,Erklärungen zu Neues Spiel+,NEUES SPIEL+,,0,2,0,True
3604486,Regeln für die Carteneauer Front,CARTENEAUER FRONT,,0,7,0,True
3604487,Erklärungen zur großen Fahrt,AUF GROSSER FAHRT,,0,8,0,True
3604488,Erklärungen zur Traumtafel,TRAUMTAFEL,,0,9,0,True
3604489,Erklärungen zur Bozja-Südfront,BOZJA-SÜDFRONT,,0,10,0,True
3604490,Erklärungen zum Widerstandsrang,WIDERSTANDSRANG,,0,11,0,True
3604491,Erklärungen zu verschollenen Kommandos,VERSCHOLLENE KOMMANDOS,,0,13,0,True
3604492,Erklärungen zu Bozja-Polykristallen,BOZJA-POLYKRISTALLE,,0,12,0,True
3604493,Erklärungen zu den Triple Triad-Turnieren,TRIPLE TRIAD-TURNIERE,,0,14,0,True
3604494,,,,0,15,0,True
3604495,,,,0,16,0,True
3604496,Erklärungen zu den Widerstandsorden,WIDERSTANDSORDEN,,0,17,0,True
3604497,Erklärungen zu Zadnor,ZADNOR,,0,18,0,True
3604498,Erklärungen zum PvP,PVP,,0,19,0,True
3604499,Regeln für Crystalline Conflict,CRYSTALLINE CONFLICT,Regeln,0,20,0,True
3604500,Erklärungen zum Tiefen Gewölbe,TIEFES GEWÖLBE,,0,25,2,True
3604501,Erklärungen zum Tiefen Gewölbe,TIEFES GEWÖLBE,,0,26,2,True
3604502,Erklärungen zum Tiefen Gewölbe,TIEFES GEWÖLBE,,0,27,2,True
3604503,Plaudern,STOLPERVILLE,,0,31,0,True
3604504,Erklärungen zum Kampf,KAMPF,,0,33,0,True
3604505,Erklärungen zum Tiefen Gewölbe,TIEFES GEWÖLBE,,0,37,2,True
3604506,,,,0,36,0,True
3604507,Erklärungen zum südlichen Kreszentia,SÜDLICHES KRESZENTIA,,0,35,0,True
3604508,「スプリグ・クリーニング」について聞く,SPRIG CLEANING,スプリグ・クリーニング解説,0,39,0,True
