#,Name,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38,Unknown39,Unknown40,Unknown41,Unknown42,Unknown43,Unknown44,Unknown45,Unknown46,Unknown47,Unknown48,Unknown49,Unknown50,Unknown51,Unknown52,Unknown53,Unknown54,Unknown55,Unknown56,Unknown57,Unknown58,Unknown59,Scale,ModelChara
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,Smaragd-Karfunkel,25841,7191,0,8,25842,3230,3270,8,25846,3221,0,10,25849,3224,3264,8,25847,3210,0,10,25850,3214,3254,8,25848,3217,3257,10,25851,3219,3259,8,802,8585,1875,0,803,8586,5216,0,805,8587,7140,0,7438,8589,1875,0,16544,8588,7138,0,0,0,0,0,0,0,0,0,1,409
2,Topas-Karfunkel,25841,7191,0,8,25842,3230,3270,8,25846,3221,0,10,25849,3224,3264,8,25847,3210,0,10,25850,3214,3254,8,25848,3217,3257,10,25851,3219,3259,8,802,8585,1875,0,803,8586,5216,0,805,8587,7140,0,7438,8589,1875,0,16544,8588,7138,0,0,0,0,0,0,0,0,0,1,412
3,Rubin-Karfunkel,25841,7191,0,8,25842,3230,3270,8,25846,3221,0,10,25849,3224,3264,8,25847,3210,0,10,25850,3214,3254,8,25848,3217,3257,10,25851,3219,3259,8,802,8585,1875,0,803,8586,5216,0,805,8587,7140,0,7438,8589,1875,0,16544,8588,7138,0,0,0,0,0,0,0,0,0,1,410
4,Karfunkel,25846,3221,0,10,25849,3224,3264,8,25847,3210,0,10,25850,3214,3254,8,25848,3217,3257,10,25851,3219,3259,8,802,8585,1875,0,803,8586,5216,0,805,8587,7140,0,7438,8589,1875,0,16544,8588,7138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,411
5,Ifrit-Egi,25841,8423,0,8,25842,8424,3270,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,415
6,Titan-Egi,25841,8425,0,8,25842,8426,3270,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,416
7,Garuda-Egi,25841,8427,0,8,25842,8428,3270,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,417
8,Selene,802,1666,1875,8,803,12778,5216,8,805,1669,7140,8,7438,5259,1875,8,16544,12779,7138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,408
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4868
