#,Name,Description,Score,IsVisible
0,,,0,False
1,Eile statt Weile,Schneller als die Idealzeit.,15000,True
2,Weile statt Eile,Schneller als die Mindestzeit.,5000,True
3,10 Blaue Wunder,2 bis 10 unterschiedliche Sprüche benutzt.,3000,True
4,4 Blaue Wunder,2 bis 4 unterschiedliche Sprüche benutzt.,10000,True
5,Keinen Kratzer,Keinen Schaden erlitten.,20000,True
6,Hart im Nehmen,Keine LP geheilt.,15000,True
7,Modus Interruptus,Einen gegnerischen Angriff unterbrochen.,1000,True
8,Ein Spaziergang im Blauen,Keinen Sprint eingesetzt.,3000,True
9,Herrscher über das Feuer,Nur feuerbasierte oder neutrale Zauber benutzt.,10000,True
10,Herrscher über das Wasser,Nur wasserbasierte oder neutrale Zauber benutzt.,10000,True
11,Herrscher über die Erde,Nur erdbasierte oder neutrale Zauber benutzt.,10000,True
12,Herrscher über den Wind,Nur windbasierte oder neutrale Zauber benutzt.,10000,True
13,Herrscher über das Eis,Nur eisbasierte oder neutrale Zauber benutzt.,10000,True
14,Herrscher über den Blitz,Nur blitzbasierte oder neutrale Zauber benutzt.,10000,True
15,Herrscher über die Sechs Elemente,Alle 6 verschiedenen Elemente eingesetzt.,15000,True
16,Herrscher über Alles,"Alle 6 verschiedenen Elemente und alle 3 Schadensarten (Hieb, Stich, Schlag) eingesetzt.",20000,True
17,Negative Erfahrung,6 oder mehr negative Status auf den Gegner angewendet.,5000,True
18,Negativste Erfahrung,9 oder mehr negative Status auf den Gegner angewendet.,12000,True
19,Schmerzen müssen sein,Nur Zauber mit physischem Schaden benutzt.,15000,True
20,Zaubermeister,Nur Zauber der Ränge 4 und 5 benutzt.,15000,True
21,Zauberlehrling,Nur Zauber der Ränge 1 und 2 benutzt.,15000,True
22,Gesichter des Todes,"4 oder mehr Angriffe ausgeführt, die vom Gesicht ausgehen.",10000,True
23,Amajina Spezial,,20000,False
24,Einfallslos,,-30000,False
25,Sechsfaltigkeit der Primae,,20000,False
26,Schlächter der Arena,,50000,False
27,Tag der Tentakel,,50000,False
28,Das perfekte Blau,,80000,False
29,Gesichter des Todes II,"8 oder mehr Angriffe ausgeführt, die vom Gesicht ausgehen.",20000,True
30,Heile heile machen,"Vitakupo, Exuviation und Weißer Wind benutzt.",10000,True
31,Alexander-Manie,,25000,False
32,Blauer Erdseim,,80000,False
33,Reines Blau,,80000,False
34,Güldenes Blau,,80000,False
