#,Description,Unknown1,Level,Category
0,Nach dem Abschluss von mindestens zwei Dungeons aus dem neuesten Patch verfügbar.,5,0,0
1,,8,0,0
2,,1,0,0
3,,1252,0,1
4,Nach dem Abschluss des entsprechenden Tiefen Gewölbes und dem Fortschreiten in den Nebenaufträgen des Crystariums verfügbar.,1281,11875001,2
5,Nach dem Freischalten des obigen Inhalts und dem Abschluss des zugehörigen Auftrags verfügbar.,1311,11875001,2
6,Nach dem Fortschreiten durch den entsprechenden Auftrag in Alt-Sharlayan verfügbar.,1315,0,3
7,Nach dem Abschluss des obigen Inhalts und dem Sprechen mit dem entsprechenden NPC verfügbar.,1316,0,3
8,Nach dem Abschluss des obigen Inhalts und dem Sprechen mit dem entsprechenden NPC verfügbar.,1317,0,3
9,Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des entsprechenden Raids verfügbar.,1320,0,4
10,Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des entsprechenden Raids verfügbar.,1322,0,4
11,Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des entsprechenden Raids verfügbar.,1324,0,4
12,Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des entsprechenden Raids verfügbar.,1326,0,4
13,Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des epischen Raids bei dem entsprechenden NPC verfügbar.,1321,0,4
14,Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des epischen Raids bei dem entsprechenden NPC verfügbar.,1323,0,4
15,Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des epischen Raids bei dem entsprechenden NPC verfügbar.,1325,0,4
16,Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des epischen Raids bei dem entsprechenden NPC verfügbar.,1327,0,4
17,"Nach dem Fortschreiten durch das Hauptszenario von „Dawntrail“, dem Abschluss der Prüfung und dem Freischalten der entsprechenden schwierigen Prüfung bei dem Fahrenden Sänger verfügbar.",1308,0,5
18,,1187,0,6
19,,1188,0,6
20,,1189,0,6
21,,1190,0,6
22,,1191,0,6
23,,1192,0,6
