#,SourceMap,Level,TargetMap,Unknown0,Unknown1
0.0,0,0,0,0,False
1.0,0,0,0,0,False
1.1,0,0,0,0,False
1.2,0,0,0,0,False
1.3,0,0,0,0,False
1.4,0,0,0,0,False
2.0,0,0,0,0,False
2.1,0,0,0,0,False
2.2,0,0,0,0,False
2.3,0,0,0,0,False
3.0,696,9160609,785,255,True
3.1,785,1056,0,255,False
4.0,696,9160609,785,255,True
4.1,785,9387140,782,255,False
4.2,782,9392033,784,255,False
4.3,784,1089,0,255,False
4.4,783,9387004,784,255,False
5.0,696,9160609,785,255,True
5.1,785,1056,0,255,False
5.2,782,9387031,785,255,False
5.3,783,9387018,782,255,False
5.4,784,9386972,783,255,False
5.5,786,9387184,784,255,False
5.6,790,9422761,786,255,False
6.0,696,9406061,785,255,True
6.1,785,9387140,782,255,False
6.2,782,1089,0,255,False
6.3,783,9387018,782,255,False
6.4,784,9386972,783,255,False
6.5,786,9387184,784,255,False
6.6,790,9422761,786,255,False
7.0,696,9406061,785,255,True
7.1,785,9387140,782,255,False
7.2,782,9387026,783,255,False
7.3,783,1089,0,255,False
7.4,784,9386972,783,255,False
7.5,786,9387184,784,255,False
7.6,790,9422761,786,255,False
8.0,696,9406061,785,255,True
8.1,785,9387140,782,255,False
8.2,782,9392033,784,255,False
8.3,783,9387004,784,255,False
8.4,784,1089,0,255,False
8.5,786,9387184,784,255,False
8.6,790,9422761,786,255,False
9.0,696,9406061,785,255,True
9.1,785,9387140,782,255,False
9.2,782,9392033,784,255,False
9.3,783,9387004,784,255,False
9.4,784,9386973,786,255,False
9.5,786,1077,0,255,False
9.6,790,9422761,786,255,False
10.0,694,9332113,787,255,True
10.1,787,1078,0,255,False
11.0,700,8953655,748,255,True
11.1,748,1025,0,255,False
11.2,809,9337845,748,255,False
12.0,700,8953655,748,255,True
12.1,748,9321314,809,255,False
12.2,809,1093,0,255,False
13.0,25,9164090,766,255,True
13.1,766,1061,0,255,False
13.2,890,10101799,766,255,False
14.0,699,9329555,795,255,True
14.1,795,1073,0,255,False
15.0,697,9553496,827,255,True
15.1,827,1119,0,255,False
15.2,828,9692868,827,255,False
15.3,829,9692871,828,255,False
16.0,697,9553496,827,255,True
16.1,827,9692865,828,255,False
16.2,828,1119,0,255,False
16.3,829,9692871,828,255,False
17.0,697,9553496,827,255,True
17.1,827,9692865,828,255,False
17.2,828,9692869,829,255,False
17.3,829,1119,0,255,False
18.0,16,9323110,773,255,True
18.1,773,1055,0,255,False
19.0,16,9323110,780,255,True
19.1,780,1055,0,255,False
20.0,696,9159995,785,255,True
20.1,785,1056,0,255,False
21.0,696,8866699,825,255,True
21.1,825,1125,0,255,False
22.0,696,9406061,785,255,True
22.1,785,9387140,782,255,False
22.2,782,9392033,784,255,False
22.3,783,9387004,784,255,False
22.4,784,9386973,786,255,False
22.5,786,9331459,790,255,False
22.6,790,1092,0,255,False
23.0,218,5860760,252,255,True
23.1,252,1065,0,255,False
24.0,696,9160609,785,255,True
24.1,785,9328257,770,255,False
24.2,770,1070,0,255,False
25.0,693,9160863,767,255,True
25.1,767,1057,0,255,False
26.0,696,9406061,785,255,True
26.1,785,9387140,782,255,False
26.2,782,1089,0,255,False
