#,Name,Icon,Unknown0,Priority,Unknown1,List,Unknown2
0,,0,0,0,False,False,False
1,Game QA,61532,0,0,True,False,False
2,Game Master,61524,0,0,True,False,False
3,Game Master,61532,0,0,False,False,False
4,Event-Charakter,61533,3940,0,False,False,False
5,Nicht verbunden,61503,3942,0,False,False,False
6,Anfrage gesendet (Freundesliste),61501,0,1,False,True,False
7,Anfrage gesendet (Kontaktkreis),61501,0,2,False,True,False
8,Anfrage gesendet (Freie Ge­sell­schaft),61501,0,3,False,True,False
9,Nicht gefunden,61502,0,4,False,True,False
10,Offline,61504,0,5,False,True,False
11,Mentor (Krieger/Magier),61542,3947,6,False,True,False
12,Beschäftigt,61509,3943,7,False,True,False
13,PvP,61510,0,8,False,True,False
14,Spielt Triple Triad,61539,0,9,False,True,False
15,Sieht Videosequenz,61508,3951,10,False,True,False
16,Auf Linien-Chocobo,61534,0,12,False,True,False
17,Abwesend,61511,3952,13,False,True,False
18,Kameramodus,61546,3953,14,False,True,False
19,Sucht Reparateur,61512,0,15,False,True,False
20,Übernimmt Reparatur,61513,0,16,False,True,False
21,Setzt Materia ein,61514,0,17,False,True,True
22,Im Rollenspiel,61545,3941,18,False,True,False
23,Sucht Gruppe,61515,3954,19,False,True,False
24,Sucht Söldner,61516,0,20,False,True,False
25,In Inhaltssuche,61517,3950,21,False,True,False
26,In Gruppen­suche,61536,3955,22,False,True,False
27,Mentor,61540,3946,31,False,True,False
28,Mentor (Krieger/Magier),61542,3947,32,False,True,False
29,Mentor (Handwerker/Sammler),61543,3948,33,False,True,False
30,Mentor (PvP),61544,3949,34,False,True,False
31,Rückkehrer,61547,3945,35,False,True,False
32,Neuling,61523,3944,36,False,True,False
33,Allianzanführer,61518,0,23,False,True,False
34,Allianz-Gruppenanführer,61519,0,24,False,True,False
35,Allianz-Grup­pen­mit­glied,61520,0,25,False,True,False
36,Gruppenanführer,61521,3956,26,False,True,False
37,In Gruppe,61522,3957,27,False,True,False
38,Gruppenanführer (weltenübergreifend),61961,3958,28,False,True,True
39,In Gruppe (weltenübergreifend),61962,3959,29,False,True,True
40,In einem Inhalt (auf einer anderen Welt),61535,0,30,False,True,False
41,Im selben Inhalt,61506,0,0,False,False,False
42,Im gleichen Inhalt (mit einer anderen Gruppe),61507,0,0,False,False,False
43,In einem Inhalt,61510,0,11,False,True,False
44,Probezeit,61525,0,38,False,True,False
45,Freie Ge­sell­schaft,0,0,0,False,False,False
46,Staatliche Ge­sell­schaft,0,0,0,False,False,False
47,Online,61505,0,37,False,True,False
