#,Unknown0,Unknown1,Unknown2
0,,,0
1,,,0
2,INFO,- Archive,5
3,NEUES SPIEL+,,6
4,VERSCHOLLENE KOMMANDOS,,13
5,PORTRAITS,,21
6,ABENTEURERPASS,,22
7,INSELPARADIES,,23
8,INSELATELIER-LEITFADEN,,24
9,TIEFES GEWÖLBE,,25
10,TIEFES GEWÖLBE,,26
11,TIEFES GEWÖLBE,,27
12,MODEACCESSOIRES,,28
13,AUSRÜSTUNGSSETS,,29
14,PvP,,19
15,STAHLSCHWINGEN,,3
16,PvP-FRONT,,7
17,CRYSTALLINE CONFLICT,,20
18,MOG MOG-KOLLEKTION,,30
19,MODEFUNKTIONEN,,32
20,KAMPF,,33
21,DOMANISCHES MAHJONG,,2
22,TIEFES GEWÖLBE,,37
23,KRESZENTIA,,35
24,KOSMO-ERKUNDUNG,,36
25,STRATEGIEBRETTER,,38
