#,Text,Unknown0,Unknown1,TYPE,PARAM,LINK
0,,,,0,0,0
1,Start,,,0,0,0
2,Konfiguration,,,0,0,0
3,Eröffnungssequenz,,,0,0,0
4,Credits,,,0,0,0
5,,,,0,0,0
6,"Controller konfigurieren?
※ Die Einstellungen können jederzeit in der Systemkonfiguration geändert werden.",,,0,0,0
7,Ja,,,0,0,0
8,Nein,,,0,0,0
9,,,,0,0,0
10,DIENST-ACCOUNT,,,0,0,0
11,Wähle einen Dienst-Account.,,,0,0,0
12,Version des Spiels: UNKNOWN(UNKNOWN) - exUNKNOWN : UNKNOWN,,,0,0,0
13,"**Achtung:** Du spielst mit niedriger Auflösung (480p/i 576p/i).
Wir empfehlen eine Auflösung von 720p.",,,0,0,0
14,,,,0,0,0
15,Ok,,,0,0,0
16,Abbrechen,,,0,0,0
17,"Wähle die Merkmale, die du ändern möchtest, aus der Liste rechts aus. „???“ stehen für unbestätigte Merkmale.",,,0,0,0
18,"Wähle die Merkmale, die du ändern möchtest, aus der Liste rechts aus und bestätige sie mit Ok.",,,0,0,0
19,"Wähle die Merkmale, die du ändern möchtest, aus der Liste rechts aus. „???“ stehen für unbestätigte Merkmale. Bestätige das Aussehen, um die Anpassungen zu über­nehmen.",,,0,0,0
20,Charakter löschen,,,0,0,0
21,"UNKNOWN löschen?
Bitte beachte, dass im Falle einer Löschung alle Gegenstände, Gil und angeheuerte Gehilfen, die noch im Besitz dieses Charakters sind, verloren gehen.
Sollte es sich bei dem Charakter um einen Meister einer Freien Ge­sell­schaft handeln und kein rechtmäßiger Nachfolger existieren, wird die Freie Ge­sell­schaft automatisch aufgelöst und alle mit ihr assoziierten Grundstücke und Besitztümer gehen ebenfalls verloren.",,,0,0,0
22,"Ja, mit der Löschung fortfahren.",,,0,0,0
23,Namen ändern,,,0,0,0
24,Namen des Gehilfen ändern,,,0,0,0
25,Mit UNKNOWN einloggen?,,,0,0,0
26,"Um dich mit diesem Charakter einloggen zu können, musst du seinen Namen ändern.",,,0,0,0
27,"Bitte ändere den Namen des Charakters, nachdem die Charakterdaten abgerufen wurden.",,,0,0,0
28,Charakternamen in UNKNOWN ändern?,,,0,0,0
29,Gehilfennamen in UNKNOWN ändern?,,,0,0,0
30,Neuer Charakter,,,0,0,0
31,Die Charaktererschaffung abbrechen? Die aktuellen Einstellungen werden nicht gespeichert.,,,0,0,0
32,Ein neues Spiel mit diesem Charakter beginnen?,,,0,0,0
33,Einen neuen Charakter erschaffen?,,,0,0,0
34,,,,0,0,0
35,UNKNOWN/UNKNOWN,,,0,0,0
36,Areal,,,0,0,0
37,UNKNOWN. Sonne im 1. Lichtmond,,,0,0,0
38,（UNKNOWN.UNKNOWN.）,,,0,0,0
39,,,,0,0,0
40,1. Lichtmond,,,0,0,0
41,1. Schattenmond,,,0,0,0
42,2. Lichtmond,,,0,0,0
43,2. Schattenmond,,,0,0,0
44,3. Lichtmond,,,0,0,0
45,3. Schattenmond,,,0,0,0
46,4. Lichtmond,,,0,0,0
47,4. Schattenmond,,,0,0,0
48,5. Lichtmond,,,0,0,0
49,5. Schattenmond,,,0,0,0
50,6. Lichtmond,,,0,0,0
51,6. Schattenmond,,,0,0,0
52,,,,0,0,0
53,UNKNOWN. Sonne im 1. Lichtmond,,,0,0,0
54,,,,0,0,0
55,,,,0,0,0
56,UNKNOWN,,,0,0,0
57,Liste der Welten wird erstellt ...,,,0,0,0
58,Liste der Welten konnte nicht erstellt werden ...,,,0,0,0
59,Die Welten werden aktualisiert. Danach kannst du sie erst nach UNKNOWN Minute erneut aktualisieren.,,,0,0,0
60,"Du hast keinen freien Charakter-Slot für dieses Spielerkonto. Um einen neuen Charakter zu erschaffen, musst du erst einen bestehenden löschen. Wähle dazu im Untermenü des zu löschenden Charakters den Befehl „Löschen“.",,,0,0,0
61,"Du hast die Obergrenze an verfügbaren Charakter-Slots pro Weltenserver erreicht. Um einen neuen Charakter zu erschaffen, musst du erst einen bestehenden löschen. Wähle dazu im Untermenü des zu löschenden Charakters den Befehl „Löschen“.",,,0,0,0
62,Diese Welt ist bereits voll. Bitte wähle eine andere.,,,0,0,0
63,"In dieser Welt können keine neuen Charaktere mehr erschaffen werden. Du kannst warten, bis wieder Platz frei wird, oder es in einer anderen Welt versuchen.",,,0,0,0
64,Du kannst diesen Charakter mit deinem momentanen Konto nicht benutzen.,,,0,0,0
