#,Description,Alias,ShortAlias,Command,ShortCommand,Unknown0,Param,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,,,,,,0,0,0,0,0,0,0
1,"/rückblende, /rück, /record
→ Öffnet das Rückblendenmenü.",/rückblende,/rück,/record,,0,32,1,0,0,0,0
2,"/rückbereit, /rb, /recordready
VERWENDUNG:
/rückbereit [Zahl]
→ Sendet eine Bereitschaftsanfrage für die Rückblende und startet den Inhalt nach einem Countdown von 5-30 Sekunden, nachdem alle ihre Bereitschaft erklärt haben.
Bei fehlendem Unterbefehl wird das Menü für die Bereitschaftsanfrage (Rückblende) geöffnet.",/rückbereit,/rb,/recordready,,0,0,2,1,0,0,0
3,"/pvpteammenü, /tm, /pvpteamcmd
→ Öffnet das PvP-Team-Menü.",/pvpteammenü,/tm,/pvpteamcmd,,0,0,1,0,0,0,0
4,"/satteltasche, /st, /chocobag
→ Zeigt den Inhalt der Chocobo-Satteltasche an.",/satteltasche,/st,/saddlebag,,0,0,1,0,0,0,0
5,"/magiarechts, /mr, /magiaright
→ Dreht die Magia-Tafel im Uhrzeigersinn.",/magiarechts,/mr,/magiaright,,0,0,1,0,0,0,0
6,"/magialinks, /ml, /magialeft
→ Dreht die Magia-Tafel gegen den Uhrzeigersinn.",/magialinks,/ml,/magialeft,,0,0,1,0,0,0,0
7,"/wkkmenü, /wkkm, /cwlinkshellcmd, /cwlcmd
→ Öffnet und schließt das Menüfenster deines Welten-Kontaktkreises.",/wkkmenü,/wkkm,/cwlinkshellcmd,/cwlcmd,0,0,1,0,0,0,0
8,"/schnellchat, /schat, /quickchat, /qchat
VERWENDUNG:
/schnellchat [Chat-Nachricht]
→ Sendet eine schnelle Chat-Nachricht. Kann nur während „Crystalline Conflict“ benutzt werden.

Beispiel:
/schnellchat Angriff
Sendet die Nachricht „Angriff“ an die Teammitglieder.
/schnellchat <t> Angriff
Bittet Teammitglieder, das aktuell anvisierte Ziel anzugreifen.",/schnellchat,/schat,/quickchat,/qchat,0,1021,3,1,17,0,0
9,"/blaumagie, /blaum, /bluespellbook
VERWENDUNG:
/blaumagie [Unterbefehl]
→ Aktiviert ein Blaumagie-Kommando.
>>Unterbefehle:
  **legen** (set) [Kommando] Aktiviert oder deaktiviert das genannte Blaumagie-Kommando.
  **legen** (set) [Kommando] **ein** (on) Aktiviert das genannte Blaumagie-Kommando.
  **legen** (set) [Kommando] **aus** (off) Deaktiviert das genannte Blaumagie-Kommando.
  **aktivset** (preset) [Aktivset-Nummer] (1-5)
 Aktiviert das bezeichnete Aktivset.
  **zurück** (clear) Deaktiviert alle Kommandos des aktiven Sets.
Bei fehlendem Unterbefehl wird das Zauberbuch der Blaumagie geöffnet.
>>Beispiel:
/blaumagie legen Wasserkanone
Aktiviert oder deaktiviert das Kommando „Wasserkanone“.
/blaumagie aktivset 2
Aktiviert das Aktivset 2.",/blaumagie,/blaum,/bluespellbook,,0,36,4,3,2,18,2
10,"/magiaoffensiv, /magiaoff, /magiaattack
VERWENDUNG:
/magiaoffensiv [Ziel]
→ Stellt die Magia-Tafel entgegengesetzt zur elementaren Affinität des benannten Zieles ein.
>>Beispiel:
/magiaoffensiv <t>
Stellt die Magia-Tafel entgegengesetzt zur elementaren Affinität des anvisierten Zieles ein.",/magiaoffensiv,/magiaoff,/magiaattack,,0,0,2,1,2,0,0
11,"/magiadefensiv, /magiadef, /magiadefense
VERWENDUNG:
/defensiv [Ziel]
→ Stellt die Magia-Tafel passend zur elementaren Affinität des benannten Zieles ein.
>>Beispiel:
/magiadefensiv <t>
Stellt die Magia-Tafel passend zur elementaren Affinität des anvisierten Zieles ein.",/magiadefensiv,/magiadef,/magiadefense,,0,0,2,1,2,0,0
12,"/magiaauto
VERWENDUNG:
/magiaauto [Unterbefehl]
→ Aktiviert oder deaktiviert den Automatikmodus der Magia-Tafel. Solange der Automatikmodus aktiv ist, wird die elementare Ausrichtung der Magia-Tafel automatisch an das Ziel angepasst.
>>Unterbefehle:
  **ang** (attack): Die automatische Anpassung erfolgt offensiv.
  **ver** (defense): Die automatische Anpassung erfolgt defensiv.
  **aus** (off): Deaktiviert den Automatikmodus.
Bei fehlendem Unterbefehl werden die Einstellungsoptionen der Reihe nach durchgeschaltet.
>>Beispiel:
/magiaauto offensiv
Aktiviert den offensiven Automatikmodus.",,,/magiaauto,,0,0,2,1,2,0,0
13,"/weltenkontaktkreis1, /wkk1, /cwlinkshell1, /cwl1
VERWENDUNG:
/wkk1 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 1 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 1“.

Beispiel:
/wkk1 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 1.
/wkk1
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 1“.",/weltenkontaktkreis1,/wkk1,/cwlinkshell1,/cwl1,0,1021,1,0,0,0,0
14,"/weltenkontaktkreis2, /wkk2, /cwlinkshell2, /cwl2
VERWENDUNG:
/wkk2 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 2 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 2“.

Beispiel:
/wkk2 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 2.
/wkk2
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 2“.",/weltenkontaktkreis2,/wkk2,/cwlinkshell2,/cwl2,0,1021,1,0,0,0,0
15,"/weltenkontaktkreis3, /wkk3, /cwlinkshell3, /cwl3
VERWENDUNG:
/wkk3 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 3 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 3“.

Beispiel:
/wkk3 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 3.
/wkk3
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 3“.",/weltenkontaktkreis3,/wkk3,/cwlinkshell3,/cwl3,0,1021,1,0,0,0,0
16,"/weltenkontaktkreis4, /wkk4, /cwlinkshell4, /cwl4
VERWENDUNG:
/wkk4 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 4 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 4“.

Beispiel:
/wkk4 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 4.
/wkk4
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 4“.",/weltenkontaktkreis4,/wkk4,/cwlinkshell4,/cwl4,0,1021,1,0,0,0,0
17,"/weltenkontaktkreis5, /wkk5, /cwlinkshell5, /cwl5
VERWENDUNG:
/wkk5 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 5 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 5“.

Beispiel:
/wkk5 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 5.
/wkk5
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 5“.",/weltenkontaktkreis5,/wkk5,/cwlinkshell5,/cwl5,0,1021,1,0,0,0,0
18,"/weltenkontaktkreis6, /wkk6, /cwlinkshell6, /cwl6
VERWENDUNG:
/wkk6 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 6 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 6“.

Beispiel:
/wkk6 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 6.
/wkk6
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 6“.",/weltenkontaktkreis6,/wkk6,/cwlinkshell6,/cwl6,0,1021,1,0,0,0,0
19,"/weltenkontaktkreis7, /wkk7, /cwlinkshell7, /cwl7
VERWENDUNG:
/wkk7 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 7 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 7“.

Beispiel:
/wkk7 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 7.
/wkk7
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 7“.",/weltenkontaktkreis7,/wkk7,/cwlinkshell7,/cwl7,0,1021,1,0,0,0,0
20,"/weltenkontaktkreis8, /wkk8, /cwlinkshell8, /cwl8
VERWENDUNG:
/wkk8 [Nachr.]
→ Sendet eine Nachricht an alle Mitglieder des Welten-Kontaktkreises, dem du Slot 8 zugewiesen hast. Die Entfernung spielt keine Rolle.
Wenn kein Text eingegeben wird, wechselt das Chatlog zum Reiter „Welten-Kontaktkreis 8“.

Beispiel:
/wkk8 Guten Morgen!
Sendet die Chat-Nachricht „Guten Morgen!“ an alle Mitglieder des Welten-Kontaktkreises 8.
/wkk8
Wechselt den aktiven Reiter des Chatlogs zu „Welten-Kontaktkreis 8“.",/weltenkontaktkreis8,/wkk8,/cwlinkshell8,/cwl8,0,1021,1,0,0,0,0
21,"/grafikeinstellungen (/grafikein), /graphicpresets (/gpresets)
VERWENDUNG:
/grafikein [Nummer]
Wechselt die Grafikeinstellungen zu der entsprechenden Voreinstellung.

Nummern der Voreinstellungen (1-5)
1: Standard (Mac)
2: Mittel (Mac)
3: Hoch (Mac)
4: Sehr hoch (Mac)
5: Maximum (Mac)",/grafikeinstellungen,/grafikein,/graphicpresets,/gpresets,0,993,2,0,0,0,0
