#,Tag,Icon,Order
0,---,0,0
1,Kaufladen,66401,1
2,Kleidungsgeschäft,66402,2
3,Innenausstatter,66403,3
4,Diarium,66404,4
5,Schänke,66405,5
6,Gaststätte,66406,6
7,Rollenspiel,66407,21
8,Café,66411,24
9,Aquarium,66408,22
10,Kapelle,66409,23
11,Veranstaltungsraum,66410,50
12,Blumenladen,66412,25
13,,0,0
14,Bibliothek,66414,26
15,Fotostudio,66413,51
16,Geisterhaus,66415,52
17,Atelier,66416,27
18,Badehaus,66417,28
19,Botanischer Garten,66418,29
20,Ferner Osten,66419,80
21,Besucher willkommen,66420,19
22,Bäckerei,66421,30
23,Wegen Umbau geschlossen,66422,20
24,Konzerthalle,66423,31
