#,Text,Unknown0,Unknown1,Name,Unknown2,Unknown3
0,,,,0,0,0
1,,,,0,0,0
2,,,,0,0,0
3,,,,0,0,0
4,,,,0,0,0
5,,,,0,0,0
6,,,,0,0,0
7,,,,0,0,0
8,,,,0,0,0
9,,,,0,0,0
10,"Was? Was? Rhon Ron willst du kaufen! Eine Münze, nicht genug!",,,10,61,1
11,Hm ... Was hat der Kristall­exarch noch mal gesagt?,,,11,61,1
12,Es ist so dunkel hier. Sollten wir nicht lieber ein paar Kerzen aufstellen?,,,12,61,1
13,"Ich weiß, dass ich ein nicht versiegender Quell der Weisheit bin, aber ich verspreche dir, du wirst keinen Deut schlauer, indem du mich anstarrst. Also bitte, zurück zu den Malereien.",,,13,61,1
14,Au! Warum zielst du denn auf mich?,,,14,61,1
15,Auch unter Beschuss genommen starrt dich das Federvieh weiter stoisch an.,,,0,57,7
16,Getroffen! Dein Stein hat den Richtigen erwischt!,,,15,61,1
17,Nicht doch! Das ist ein Tholl-Helm. Erkennst du nicht den Unterschied?,,,16,61,1
18,Auauauaua! Du hast den falschen Zwerg getroffen! Sieh besser hin!,,,17,61,1
19,Du hast den verdächtigen Mystel gefunden!,,,0,57,7
20,Was für eine interessante Gestalt. Aber leider fehlen die charakteristischen Ohren.,,,0,57,7
21,"Diese Malerei sieht am ältesten aus. In der Mitte steht ein triumphierender Krieger über einer Schattengestalt. Um ihn herum stehen Leute, die seinen Sieg feiern.",,,0,57,7
22,"Diese Malerei ist sehr alt. Eine Gestalt sitzt auf einem Thron, umringt von Untertanen.",,,0,57,7
23,"Diese Malerei ist die jüngste von den dreien. Ein Krieger schützt sich und seine Kameraden vor einer sie umschlingenden Dunkelheit. Es sieht so aus, als hätte man versucht, den Krieger aus dem Bild zu entfernen.",,,0,57,7
24,"Leckerschmatz-Brot, das! Innen ganz weich und saftig, weil Kaktusblüten-Teig! Vertreibt Durst und macht gesund, ja!",,,10,61,1
25,"Gut, gut! Prickelscharf-Schinken! Kommt von Echse. Geheimes Gewürz macht Feuer im Mund! Riecht streng, aber wirst stark gegen die Hitze damit!",,,10,61,1
26,"Knusperhüpfer-Spieß, besonders lecker! Kleine Frösche, wohnen unter Steinchen. Grillen wir nur ganz leicht. Für unterwegs! Bester Spieß für unterwegs!",,,10,61,1
27,"Ja, honigsüße Windewürmer! Mag jeder. Jeder am allerliebsten. Mit Honig, süßeste Süßigkeit auf der Welt!",,,10,61,1
28,Du hast eine Steintafel entdeckt!,,,0,57,7
29,"Das ist der Altar. Aber keine Spur von dem Himmelsbecken, das die Untertanen der Nacht bei ihren gemeinsamen Gebeten benutzen. Vielleicht haben sie es mitgenommen, als sie die Kirche aufgaben.",,,18,61,1
30,"Du entdeckst die verdächtige Gestalt, aber sie flieht zurück in Richtung Siedlung!",,,0,57,7
31,"Der Vogel beobachtet euch, aber besonders verdächtig kommt er dir nicht vor.",,,0,57,7
32,"Holladrio! Was für ein Schuss! So hast du Chancen, die Prüfung zu bestehen.",,,15,61,1
33,"Der schlanke Turm hat eigentümlich gestaltete Fenster, die du so noch nie gesehen hast.",,,0,57,7
34,Du entdeckst doch tatsächlich einen Schuhschnabel. Ob er als blinder Passagier an Bord des Bismarck-Expresses auf den Grund des Meeres gelangt ist?,,,0,57,7
35,Die Clionidenlarve macht keinen bedrohlichen Eindruck.,,,0,57,7
36,Willst du mir die Kapuze vom Kopf schießen? Das verbitte ich mir.,,,14,61,1
37,"Obwohl du ihm eins mit der Steinschleuder verpasst hast, starrt der Vogel stoisch in deine Richtung.",,,0,57,7
38,,,,0,0,0
39,"Buä! Was soll das?!
Mir wird ganz anders ...",,,22,61,1
