#,Text,NpcName,Image
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,Der Wieder­aufbau der Himmelsstadt hat nunmehr offiziell begonnen.,Francel,0
6,Der Wieder­aufbau der Himmelsstadt hat nunmehr offiziell begonnen.,Francel,0
7,Die Hauptannahmestelle ist hiermit eröffnet!,Potkin,0
8,Die Hauptannahmestelle ist hiermit eröffnet!,Potkin,0
9,Schaffen wir uns ein wahres Handwerkerparadies!,Lizbeth,0
10,Schaffen wir uns ein wahres Handwerkerparadies!,Lizbeth,0
11,Der Platz der Habenichtse wurde vollständig wiederaufgebaut!,Francel,0
12,"An alle Helferinnen und Helfer,

Mein Name ist Francel Haillenarte und ich bekleide das Amt des Generaldirektors dieses Projekts. Dank eurer vielen Mühen hat der Wieder­aufbau der Himmelsstadt offiziell begonnen. Momentan richten sich all unsere Bestrebungen auf den Platz der Habenichtse, das Forum gleich am Eingang der Himmelsstadt. Nach dessen Fertigstellung wird er als der offizielle Knotenpunkt für alle Handwerker und Sammler dienen. Damit bildet der Platz der Habenichtse auch die Basis für zukünftige Projekte und eine zügige Fertigstellung hat oberste Priorität. Ich danke allen Helferinnen und Helfern aus tiefstem Herzen.

Francel Haillenarte",,70301
13,"Sobald wir genügend Material gesammelt haben, können wir mit dem Aufbauprojekt der ersten Phase beginnen. Der Arbeitsablauf eines solchen Projekts gestaltet sich wie folgt:

1. Materialien von einem Materialstapel holen
2. Die Materialien an einer Werkbank verarbeiten
3. Die fertigen Erzeugnisse zu einer Baustelle bringen

Und das war's auch schon.

Grüße
Augebert",,70302
14,"Hier spricht (be­ziehungs­weise schreibt) Potkin von der Hauptannahmestelle!

Ich danke allen Helferinnen und Helfern herzlich für die Unterstützung zum Aufbau der Ostseite unseres Platzes. Endlich kann ich alle Lieferungen mit einem Dach über dem Kopf entgegennehmen. Nun wollen wir uns jedoch auch um die Westseite kümmern und planen dort ähnliche Einrichtungen zu errichten. Demnach bitte ich auch weiterhin um tatkräftige Unterstützung!

Vielen Dank
Potkin",,70303
15,"Und auf ein Neues, meine Lieben. Sobald wir genügend Material gesammelt haben, können wir mit dem Aufbauprojekt der zweiten Phase beginnen. Der Arbeitsablauf ist genau derselbe wie beim letzten Mal:

1. Benötigte Materialien von einem Materialstapel holen
2. Die Materialien an einer Werkbank verarbeiten
3. Die fertigen Erzeugnisse zu einer Baustelle bringen

Und das war's auch schon.

Grüße
Augebert",,70304
16,"Liebe Helferinnen und Helfer,

Vielen Dank für eure harte Arbeit! Der Platz der Habenichtse ist der Dreh- und Angelpunkt unseres gesamten Wieder­aufbauprojektes. Daher haben wir es uns zum Ziel gesetzt, ihn zu *der* perfekten Arbeitsumgebung für all unsere fleißigen Unterstützerinnen und Unterstützer zu machen!

Insbesondere wünschen wir uns mehr Licht und weitere Anschlagtafeln. Dafür benötigen wir selbst­verständ­lich haufenweise Baumaterial und bitten abermals um tatkräftige Mithilfe!

Lizbeth",,70305
17,"Willkommen in der dritten Phase. Diesmal zwei Projekte:

*Erhaltung des Wachfeuers*
1. Materialien von einem Materialstapel holen
2. Brennstoff an einer der Werkbänke herstellen
3. Den Brennstoff ins Feuer legen

*Zusätzliche Anschlagtafeln*
1. Materialien von einem Materialstapel holen
2. Die Materialien an einer Werkbank verarbeiten
3. Die fertigen Erzeugnisse zu einer Baustelle bringen

Augebert",,70306
18,"Ich darf mit Freuden verkünden, dass der Wieder­aufbau des Platzes der Habenichtse vollständig abgeschlossen ist. Ich danke allen Helferinnen und Helfern vielmals für ihre Mühen - ohne die vielen Lieferungen und handwerklichen Meisterleistungen hätten wir es niemals bis hierher geschafft. Nun bitte ich um Geduld, bis das nächste Großprojekt beschlossen ist. Auch dann werden wir wieder auf vielseitige Unterstützung angewiesen sein, um diese Stadt zu neuem Leben zu erwecken.

Auf eine Himmelsstadt, die jedem ein Zuhause ist.
Auf eine Himmelsstadt, auf die wir stolz sein können.

Francel Haillenarte",,70307
