#,Stats,Description,Icon,RequiredForQuest,PreviousQuest,Location,Number,LocationKey,TargetsEnemy,TargetsSelfOrAlly,CauseSlow,CausePetrify,CauseParalysis,CauseInterrupt,CauseBlind,CauseStun,CauseSleep,CauseBind,CauseHeavy,CauseDeath
0,,,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1,"**Typus: **Magie
**Element: **Wind
**Rang: **★★★★
","Typhons Spezialwaffe.
Ein kräftiger Nieser, der fächerförmig vor dem Wirkenden alle Gegner erfasst. Neben dem starken Windstoß zieht auch der Ekel die Getroffenen nicht unerheblich in Leidenschaft.",72201,0,0,81,25,4,True,False,False,False,False,False,False,False,False,False,False,False
2,"**Typus: **Physisch/Schlag
**Element: **Neutral
**Rang: **★★★★
","Ultros' Spezialattacke.
Ein wahrlich niederschmetternder Angriff, dessen Wirkung von seinen Opfern als „erdrückend“ beschrieben wird.",72202,0,0,81,26,4,True,False,False,False,False,False,False,False,False,False,True,False
3,"**Typus: **Magie
**Element: **Wasser
**Rang: **★
","Angriffszauber der Kraken.
Schießt mit Hochdruck einen harten Wasserstrahl auf den Gegner. Sammelt den in der Luft enthaltenen wasserbasierten Äther und kann deshalb auch an trockenen Orten eingesetzt werden.",72203,0,0,0,1,3,True,False,False,False,False,False,False,False,False,False,False,False
4,"**Typus: **Magie
**Element: **Neutral
**Rang: **★★
","Natürliches Talent der Sirenen.
Ein betörender Gesang, der sich unweigerlich in das Innere seiner Opfer bohrt und so starke - wenn auch eingebildete - Schmerzen hervorruft, dass sie körperliche Schäden hinterlassen.",72204,0,0,17,9,4,True,False,False,False,False,False,False,False,False,False,False,False
5,"**Typus: **Magie
**Element: **Blitz
**Rang: **★★★★
","Ein technologiebasierter Zauber der Allager.
Der Stromschlag mit Flächenwirkung wird durch eine Ansammlung von Blitzäther erzeugt, kann aber aufgrund einer komplizierten Verstrickungsmagie auch von unbeseelten Maschinen ausgeführt werden.",72205,0,0,93,6,4,True,False,False,False,True,False,False,False,False,False,False,False
6,"**Typus: **Magie
**Element: **Neutral
**Rang: **★★★
","Hinterhältiger Angriff der Morbol.
Wind oder Erde sollen einen großen Anteil an dieser müffeligen Flächenattacke haben, aber auch die anderen Elemente, in ihrer verdorbensten Form, müssen eine Rolle spielen. Kein Element alleine kann so stinken.",72206,0,0,54,28,1,True,False,True,False,True,True,True,False,False,False,True,False
7,"**Typus: **Physisch/Schlag
**Element: **Neutral
**Rang: **★★★
","Aggressivverhalten der Anzu.
Um ihre Jungtiere zu schützen, haben die Anzu eine Attacke entwickelt, mit der sie ihren ganzen Zorn in einem angsterfüllenden Angriff bündeln, der beim Opfer bleibende Schäden hinterlässt.",72207,0,0,17,4,4,True,False,False,False,False,False,False,False,False,False,False,False
8,"**Typus: **Magie
**Element: **Wasser
**Rang: **★★★★
","Zum Standardrepertoire gehörender Wasserzauber.
Umfasst Gegner mit einer gewaltigen Wasserfontäne, die zu allem Übel auch noch mit Giftstoffen versetzt ist. Wohl bekomms.",72208,0,0,81,3,4,True,False,False,False,False,False,False,False,False,False,False,False
9,"**Typus: **Magie
**Element: **Erde
**Rang: **★★
","Gabe erdbasierter Magiewesen.
Lässt durch Manipulation des Umgebungsäthers örtliche Erdbeben entstehen, die teils gewaltige Ausmaße annehmen können.",72209,0,0,18,11,4,True,False,False,False,False,False,False,False,False,False,False,False
10,"**Typus: **Magie
**Element: **Neutral
**Rang: **★
","Abwehrmechanismus von Baumschraten und anderen Waldwesen.
Streut magische Eicheln, die in einer Kettenexplosion detonieren und dabei einen schläfrig machenden Wirkstoff freisetzen. Eigentlich zur Abwehr von Fressfeinden und Parasiten entwickelt.",72210,0,0,57,18,1,True,False,False,False,False,False,False,False,True,False,False,False
11,"**Typus: **Magie
**Element: **Neutral
**Rang: **★★
","Kampfinstinkt wilder Kreaturen.
Entfesselt den angeborenen Tötungsinstinkt von jagdtreibenden Bestien und steigert, wenn von Magiern gewirkt, die Angriffskraft von anderen Blauzaubern.",72211,0,0,55,12,1,False,True,False,False,False,False,False,False,False,False,False,False
12,"**Typus: **Magie
**Element: **Neutral
**Rang: **★
","Mentale Attacke der Seelenschinder.
Lähmt Geist wie Körper - eine Angewohnheit, die sich auch ein gewisses brutales Konstrukt der Indigohand zu Nutze gemacht hat.",72212,68731,68730,2,41,4,True,False,False,False,True,False,False,False,False,False,False,False
13,"**Typus: **Magie
**Element: **Neutral
**Rang: **★
","Fressmethode von Fledermäusen und Stechmücken.
Durch die Entziehung von Blut wird dem Opfer Körperäther entnommen und das eigene magische Potenzial aufgebaut. Wilde Tiere haben diese Fähigkeit aus ihrer täglichen Nah­rungs­auf­nahme entwickelt.",72213,68730,68729,31,17,1,True,True,False,False,False,False,False,False,False,False,False,False
14,"**Typus: **Magie
**Element: **Feuer
**Rang: **★★
","Imitation goblinscher Bombenattacken.
Ein Blauzauber, der die mit magischen Elementen verstärkten Bombenwürfe der Goblins imitiert.",72214,0,0,30,19,1,True,False,False,False,False,False,False,True,False,False,False,False
15,"**Typus: **Physisch/Stich
**Element: **Neutral
**Rang: **★★★★
","Natürlicher Abwehrmechanismus der Sabotender.
Die winzigen Nadeln sind magische Imitate, aber die von ihnen verursachten Schmerzen und Wunden sind sehr real.",72215,68733,68732,45,36,1,True,False,False,False,False,False,False,False,False,False,False,False
16,"**Typus: **Physisch/Stich
**Element: **Neutral
**Rang: **★★
","Magitek-basierte Werktechnik.
Die hochdrehzahlige Rotation erzeugt eine erschreckende Durchschlagskraft, die besonders bei versteinerten Gegnern fürchterliche Schäden anrichtet.",72216,0,0,46,5,1,True,False,False,False,False,False,False,False,False,False,False,False
17,"**Typus: **Magie
**Element: **Neutral
**Rang: **★★
","Kampftechnik der Dahak und anderer Nichts­gesand­ter.
Magische Konzentration böser Absichten, die über dem Schlachtfeld ausgestrahlt wird und die Feindseligkeit gegnerischer Truppen auf den Wirkenden zieht.",72217,0,0,14,27,4,True,False,False,False,False,False,False,False,False,False,False,False
18,"**Typus: **Physisch/Hieb
**Element: **Neutral
**Rang: **★★★★
","Lieblingswaffe der Tomberrys.
Ein gefürchteter Angriff. Die mit einem hasserfüllten Grinsen geführte Waffe vermag das Opfer zu verkrüppeln und zu lähmen.",72218,0,0,10,15,4,True,False,False,False,False,False,False,False,False,False,False,False
19,"**Typus: **Magie
**Element: **Neutral
**Rang: **★
","Niederer Transportzauber.
Löst den Körper in seine ätherischen Bestandteile auf, wodurch er über eine kurze Distanz durch den Ätherstrom gleiten und an anderer Stelle materialisiert werden kann. Gut geeignet für Fluchtmanöver.",72219,0,0,46,7,1,False,False,False,False,False,False,False,False,False,False,False,False
20,"**Typus: **Magie
**Element: **Feuer
**Rang: **★★★★
","Strahlförmige Feuerattacke.
Die nach vorne gerichtete Konzentration von Feueräther verhält sich wie eine hochentzündliche Flüssigkeit, die sich an das be­mit­leidens­werte Opfer heftet.",72220,0,0,20,2,4,True,False,False,False,False,False,False,False,False,False,False,False
21,"**Typus: **Magie
**Element: **Neutral
**Rang: **★★★
","List der Qiqirn.
Die fleischfressenden Qiqirn verängstigen ihre Opfer mit einer magischen Schockwelle aus der hohlen Hand, bevor sie sich geifernd daran machen, sie zu verzehren.",72221,68732,68731,32,23,1,True,False,False,False,False,False,False,True,False,False,False,False
22,"**Typus: **Magie
**Element: **Blitz
**Rang: **★★★★
","Kraft des Zyklopen.
Entfesselt einen stark gebündelten Lichtstrahl, der wie ein Blitz niedergeht und den Gegner betäubt.",72222,68734,68733,5,10,4,True,False,False,False,True,False,False,False,False,False,False,False
23,"**Typus: **Magie
**Element: **Neutral
**Rang: **★★★★
","Blaumagische Technologienachbildung.
Eine ätherisch gelenkte Waffe, deren Detonation beim Aufschlag auch gut gepanzerten Gegnern großen Schaden zufügt.",72223,0,0,85,35,4,True,False,False,False,False,False,False,False,False,False,False,True
24,"**Typus: **Magie
**Element: **Neutral
**Rang: **★★★
","Archaischer Heilzauber.
Warme Winde tragen heilende Ätherkraft über einen begrenzten Bereich. Die große Heilwirkung verlangt dem Wirkenden einiges an Kräften ab.",72224,0,0,0,13,2,False,True,False,False,False,False,False,False,False,False,False,False
25,"**Typus: **Physisch/Stich
**Element: **Neutral
**Rang: **★★
","Attacke der Vespula.
Die tödlich verletzte Vespula verwandelt den letzten Rest ihrer Lebenskraft in einen hochgiftigen Stachelstich, mit dem sie ihren Bezwinger mit in den Tod reißt.",72225,0,0,30,8,1,True,False,False,False,False,False,False,False,False,False,False,False
26,"**Typus: **Magie
**Element: **Feuer
**Rang: **★
","Typische Attacke der Bomber.
Verwandelt den gesamten Äther urplötzlich in feuerbasierten und löst so eine Explosion aus. Besonders gefährlich in ölverschmierten Umgebungen.",72226,0,0,42,21,1,True,False,False,False,False,False,False,False,False,False,False,False
27,"**Typus: **Magie
**Element: **---
**Rang: **★★
","Blaumagie aus der Geisterwelt der Neuen Welt.
Opfert die eigene Lebensenergie, um das Leiden eines anderen zu lindern und ihn vollständig zu heilen.",72227,0,0,0,22,2,False,True,False,False,False,False,False,False,False,False,False,False
28,"**Typus: **Magie
**Element: **---
**Rang: **★★★
","Von der Karpfenkröte erworbener Blauzauber.
Dieser Ausweichzauber ist der eigentliche Grund für die sagenhafte Schlüpfrigkeit der Karpfenkröte und streicht den Blaumagier mit glitschigem Öl ein. Manche stehen drauf, andere finden's widerlich.",72228,0,0,42,32,1,False,True,False,False,False,False,False,False,False,False,False,False
29,"**Typus: **Magie
**Element: **---
**Rang: **★★
","Blauzauber des Stammes der Riesen.
Ein uralter Fluch aus der Neuen Welt, der den Geist des Gegners zerfrisst und schwächt. Folgeangriffe können das wehrlos gewordene Opfer empfindlich treffen.",72229,0,0,0,20,2,True,False,False,False,False,False,False,False,False,False,False,False
30,"**Typus: **Physisch/Schlag
**Element: **Neutral
**Rang: **★★★★
","Von der Karpfenkröte erworbener Blauzauber.
Die Klebrigkeit der Zunge der Karpfenkröte ist legendär und ermöglicht ihr, Fressbeute von weit her heranzuziehen. Der Zauber imitiert diese Fähigkeit.",72230,0,0,42,31,1,True,False,False,False,False,False,False,True,False,False,False,False
31,"**Typus: **Magie
**Element: **---
**Rang: **★★★★
","Attacke des Karlabos.
Wirbelt den in der Schwanzspitze konzentrierten Äther auf den Feind, um ihm Lebensenergie zu entziehen. Erfordert eine hohe Kontrolle über den Äther und ist nicht leicht zu erlernen.",72231,0,0,28,40,4,True,False,False,False,False,False,False,False,False,False,False,True
32,"**Typus: **Magie
**Element: **---
**Rang: **★★
","Fluch der Ahriman und anderer Nichts­gesand­ten.
Setzt sich in den kleinen Rissen der Seele fest, die im Laufe des Lebens entstehen. Die Verderbnis, die sich ausbreitet, verhärtet nicht nur Herz und Gewissen.",72232,0,0,6,14,4,True,False,False,True,False,False,False,False,False,False,False,False
33,"**Typus: **Magie
**Element: **---
**Rang: **★
","Zauber der Nichts­gesand­ten.
Nichts­gesand­te der Neuen Welt versetzen mit diesem Zauber die Angehörigen eines Stammes Mondanbeter in Ekstase, um sich von ihnen verehren zu lassen.",72233,0,0,0,39,2,False,True,False,False,False,False,False,False,False,False,False,False
34,"**Typus: **Magie
**Element: **---
**Rang: **★★★★
","Zauber der Nichts­gesand­ten.
Ein enorm starker Fluch aus der Neuen Welt, der dem Opfer jeglichen Lebenswillen entzieht. Wirkt allerdings nicht zuverlässig.",72234,0,0,0,42,2,True,False,False,False,False,False,False,False,False,False,False,True
35,"**Typus: **Magie
**Element: **---
**Rang: **★★★★
","Blauzauber aus den Meeren der Neuen Welt.
Schutzzauber eines dünnhäutigen Meeresbewohners, mit dem er eine magische Mauer um sich errichtet und Fressfeinde abhält.",72235,0,0,0,30,2,False,True,False,False,False,False,False,False,False,False,False,False
36,"**Typus: **Magie
**Element: **Eis
**Rang: **★
","Zauber der Nichts­gesand­ten.
Bündelt die Feindseligkeit eines Angreifers in eine eisbasierte Ätherspitze, die auf den Aggressor zurückgeschleudert werden kann.",72236,0,0,54,16,1,False,True,True,False,False,False,False,False,False,False,False,False
37,"**Typus: **Magie
**Element: **Eis
**Rang: **★★
","Angriffstalent der Chimära.
Aus dem Ziegenteil der Chimära stammende und zur Waffe gemachte Fähigkeit, mit dem Bergziegen der nördlichen Polarregionen den eisigen Umgebungsäther kontrollieren.",72237,0,0,12,33,4,True,False,False,True,False,False,False,False,False,False,False,False
