#,Content,ExpBelowExMaxLvl,ExpAboveExMaxLvl,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown15,Unknown11,Unknown12,Unknown16,Unknown13,Unknown14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True
1,676,3091000,1236400,68836,2009808,0,1029846,1029847,1029848,1029849,0,0,0,0,1,4,False,False,True,True
2,649,3442000,1376800,68848,2009829,0,1029157,1029158,1029159,1029160,1029161,0,0,0,2,2,False,False,True,True
3,651,4021000,1608400,68876,2009955,0,1029210,1029557,1029850,1029851,0,0,0,0,3,2,False,False,True,True
4,656,4757000,1902800,69157,2010511,0,1030157,1030158,1030159,1030160,1030161,1030162,0,0,4,2,False,False,True,True
5,659,5439000,2175600,69179,2010233,0,1030297,1030298,1030299,1030300,1030301,1030302,0,0,5,3,False,False,True,True
6,652,0,2208400,69190,2010235,0,1030361,1030362,1030363,1030364,1030365,1030366,0,0,6,7,False,False,True,True
7,692,0,2254000,69210,2010808,0,1031726,1031727,1031728,1031729,0,0,0,0,7,2,False,False,True,True
8,714,0,2293200,69305,2010952,0,1032539,1032540,1032541,1032542,1032543,1032544,0,0,8,2,False,False,True,True
9,737,0,2331200,69313,2011101,0,1033839,1033840,1033841,1033842,1033843,1033844,0,0,9,3,False,False,True,True
10,746,0,2365600,69547,2011334,0,1035381,1035382,1035383,1035384,0,0,0,0,10,4,False,False,True,True
11,777,0,2404400,69598,2011521,0,1036375,1036376,1036377,1036378,1036379,1036380,0,0,11,3,False,False,True,True
12,783,6566000,2655600,69913,2011959,0,1038663,1038664,1038665,1038666,0,0,0,0,1,3,False,False,True,True
13,785,7590500,3032800,69931,2012113,0,1039957,1039958,1039959,1039960,1039961,1039962,1039963,0,2,4,False,False,True,True
14,789,8814000,3509200,69945,2012228,0,1038979,1038980,1038981,1038982,1038983,1038984,0,0,3,4,False,False,True,True
15,787,9967000,3915600,69973,2012172,0,1040154,1040155,1040156,0,0,0,0,0,4,2,False,False,True,True
16,786,10795000,4024800,69985,2012229,2012742,1040488,1040489,1040490,1040491,1040492,1040493,1040494,0,5,2,False,False,True,True
17,790,0,0,69985,2012230,0,1040496,1040497,1040498,1040499,1040500,1040501,1040502,0,6,4,False,False,False,False
18,792,0,4278400,70000,2012370,0,1041172,1041173,1041174,1041175,1041176,1041177,1041178,0,7,1,False,False,True,True
19,844,0,4532900,70065,2012839,0,1039585,1039586,1039587,1039588,0,0,0,0,8,1,False,False,True,True
20,869,0,4787300,70128,2013041,0,1042060,1042061,1042062,0,0,0,0,0,9,4,False,False,True,False
21,896,0,5041000,70210,2013225,0,1044264,1044265,1044266,1044267,1044268,1044269,0,0,10,3,False,False,True,True
22,822,0,5294500,70272,2013359,0,1045418,1045419,1045420,1045421,0,0,0,0,11,7,False,False,True,True
23,823,0,5548700,70284,2013410,0,1045662,1045663,1045664,1045665,0,0,0,0,12,1,False,False,True,True
24,826,5801800,0,70415,2013686,0,1046771,1046772,1046773,0,0,0,0,0,1,3,False,False,True,False
25,824,6689500,0,70427,2013642,0,1046856,1046857,1046858,0,0,0,0,0,2,1,False,False,True,False
26,832,0,0,70430,2013643,0,1046900,1046906,1046903,1046901,1046902,1046904,1046905,0,3,4,False,False,False,False
27,829,7718100,0,70445,2013659,0,1047713,1047715,1047717,1047716,0,0,0,0,4,5,False,False,True,True
28,831,8787000,0,70462,2013687,0,1047367,1047369,1047368,1047370,0,0,0,0,5,3,False,False,True,True
29,825,9012200,0,70481,2013848,0,1048144,1048143,1048141,1048142,0,0,0,0,6,2,False,False,True,True
30,995,0,0,70481,2013849,0,1048146,1048148,1048147,1048149,1048152,1048150,1048151,0,7,4,False,False,False,False
31,827,0,0,70495,2013791,0,1048018,1048020,1048021,0,0,0,0,0,8,2,False,False,True,True
32,1008,0,0,70782,2014476,0,1052208,1052209,1052210,1052211,1052212,0,0,0,9,4,False,False,True,True
33,1027,0,0,70840,2014676,0,1053866,1053868,1053869,0,0,0,0,0,10,2,False,False,True,True
34,1028,0,0,70907,2014845,0,1054583,1054584,1054585,1054586,1054587,1054588,1054589,0,11,2,False,False,True,True
35,1061,0,0,70907,2014846,0,1054590,1054591,1054592,1054593,1054594,1054595,1054596,0,12,4,False,False,False,False
36,1064,0,0,70964,2014992,0,1056145,1056146,1056147,1056148,0,0,0,0,13,2,False,False,True,True
200,4,0,0,0,2002696,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False
201,2,0,0,0,2002697,0,0,0,0,0,0,0,0,0,2,0,False,False,False,False
202,3,0,0,0,2002698,0,0,0,0,0,0,0,0,0,3,0,False,False,False,False
203,56,0,0,0,2002688,0,0,0,0,0,0,0,0,0,4,0,False,False,False,False
204,1,0,0,0,2002700,0,0,0,0,0,0,0,0,0,5,0,False,False,False,False
205,6,0,0,0,2002701,0,0,0,0,0,0,0,0,0,6,0,False,False,False,False
206,8,0,0,0,2002702,0,0,0,0,0,0,0,0,0,7,0,False,False,False,False
207,57,0,0,0,2002690,0,0,0,0,0,0,0,0,0,8,0,False,False,False,False
208,11,0,0,0,2002705,0,0,0,0,0,0,0,0,0,9,0,False,False,False,False
209,58,0,0,0,2002689,0,0,0,0,0,0,0,0,0,10,0,False,False,False,False
210,15,0,0,0,2002710,0,0,0,0,0,0,0,0,0,11,0,False,False,False,False
211,16,0,0,0,2002711,0,0,0,0,0,0,0,0,0,12,0,False,False,False,False
212,830,0,0,0,2012614,0,0,0,0,0,0,0,0,0,13,0,False,False,False,False
213,27,0,0,0,2004656,0,0,0,0,0,0,0,0,0,14,0,False,False,False,False
214,32,0,0,0,2004639,0,0,0,0,0,0,0,0,0,15,0,False,False,False,False
215,37,0,0,0,2005449,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False
216,39,0,0,0,2005463,0,0,0,0,0,0,0,0,0,2,0,False,False,False,False
217,34,0,0,0,2005548,0,0,0,0,0,0,0,0,0,3,0,False,False,False,False
218,31,0,0,0,2005424,0,0,0,0,0,0,0,0,0,4,0,False,False,False,False
219,38,0,0,0,2005549,0,0,0,0,0,0,0,0,0,5,0,False,False,False,False
220,141,0,0,0,2006859,0,0,0,0,0,0,0,0,0,6,0,False,False,False,False
221,171,0,0,0,2006982,0,0,0,0,0,0,0,0,0,7,0,False,False,False,False
222,182,0,0,0,2007427,0,0,0,0,0,0,0,0,0,8,0,False,False,False,False
223,219,0,0,0,2007503,0,0,0,0,0,0,0,0,0,9,0,False,False,False,False
224,238,0,0,0,2008161,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False
225,240,0,0,0,2008249,0,0,0,0,0,0,0,0,0,2,0,False,False,False,False
226,241,0,0,0,2007933,0,0,0,0,0,0,0,0,0,3,0,False,False,False,False
227,242,0,0,0,2008215,0,0,0,0,0,0,0,0,0,4,0,False,False,False,False
228,247,0,0,0,2008286,0,0,0,0,0,0,0,0,0,5,0,False,False,False,False
229,279,0,0,0,2009053,0,0,0,0,0,0,0,0,0,6,0,False,False,False,False
230,585,0,0,0,2009596,0,0,0,0,0,0,0,0,0,7,0,False,False,False,False
231,611,0,0,0,2009657,0,0,0,0,0,0,0,0,0,8,0,False,False,False,False
232,7,0,0,0,2002699,0,0,0,0,0,0,0,0,0,101,0,True,False,False,False
233,9,0,0,0,2002703,0,0,0,0,0,0,0,0,0,102,0,True,False,False,False
234,12,0,0,0,2002704,0,0,0,0,0,0,0,0,0,103,0,True,False,False,False
235,13,0,0,0,2002706,0,0,0,0,0,0,0,0,0,104,0,True,False,False,False
236,5,0,0,0,2002708,0,0,0,0,0,0,0,0,0,105,0,True,False,False,False
237,36,0,0,0,2006378,0,0,0,0,0,0,0,0,0,201,0,True,True,False,True
238,235,0,0,0,2008812,0,0,0,0,0,0,0,0,0,301,0,True,True,False,True
