#,Text,Unknown0,Type,Unknown1,Unknown2
0,,0,0,0,False
1,,0,0,0,False
2,,0,0,0,False
3,,0,0,0,False
4,,0,0,0,False
5,,0,1,0,True
6,,0,1,0,True
7,,0,1,0,True
8,,0,1,0,True
9,,0,1,0,True
10,,0,1,0,True
11,,0,1,0,True
12,Platz der Habenichtse: Erste Phase,1,2,1,True
13,Helfer gesucht!,2,2,1,False
14,Platz der Habenichtse: Zweite Phase,3,2,4,True
15,Helfer gesucht!,4,2,4,False
16,Platz der Habenichtse: Dritte Phase,5,2,7,True
17,Lizbeth sucht Helfer!,6,2,7,False
18,Platz der Habenichtse: Das Werk ist vollendet!,7,2,10,True
19,Sammlerstücke gefragt!,2,3,1,True
20,Der Wieder­aufbau Ishgards: Aufgaben,3,3,1,True
21,Der Wieder­aufbau Ishgards,1,3,1,True
22,,0,1,0,True
23,,0,1,0,True
24,,0,1,0,True
25,,0,1,0,True
26,Kreuzkarst-Spalier,1,2,11,True
27,Und weiter geht's!,2,2,11,False
28,Einen Schritt weiter am Spalier!,3,2,14,False
29,Neues Pflaster für die Himmelsstadt!,4,2,16,False
30,Nächstes Projekt: der Brunnen!,5,2,19,False
31,Die Estrade der Sankt Roelle,6,2,21,True
32,Spatenstich für eine neue Straße!,7,2,21,False
33,An unsere anmutigen Arbeiterinnen und Arbeiter,8,2,24,False
34,Stein neben Stein!,9,2,26,False
35,Stolz ist das Handwerk!,10,2,29,False
36,Das Genist,11,2,30,True
37,Schutt weg und Häuser her!,12,2,30,False
38,Wir kommen großartig voran!,13,2,33,False
39,Der Schutt ist fast geschaufelt!,14,2,35,False
40,Pflastern für die Zukunft,15,2,37,False
41,Es geht an die Häuser!,16,2,40,False
42,Das Genist nimmt Gestalt an!,17,2,43,False
43,Wir sind im Endspurt!,18,2,46,False
44,Das Genist: Das Werk ist vollendet!,19,2,48,True
45,Das Glücks-Kupo,4,3,11,True
46,Das Diadem,5,3,11,True
47,,0,1,0,True
48,,0,1,0,True
49,,0,1,0,True
50,,0,1,0,True
51,Federfall-Quartier,1,2,49,True
52,Kräftige Helfer gesucht!,2,2,50,False
53,Die Trümmer müssen weg!,3,2,52,False
54,Vielen Dank für euren unermüdlichen Einsatz!,4,2,54,False
55,Helfende Hände gesucht!,5,2,56,False
56,Lasst uns etwas Großes vollbringen!,6,2,59,False
57,Bitte helft uns bei der Errichtung der Gebäude!,7,2,62,False
58,Endspurt beim Bau der Wohnungen!,8,2,65,False
59,Arbeiten auf der Allee des Abakus,9,2,67,True
60,Arbeiten auf der Allee des Abakus,10,2,68,False
61,Versucht euer Glück auf der Allee des Abakus!,11,2,70,False
62,Prachtvolle Statue für die Allee des Abakus,12,2,73,False
63,Arbeiten am Raureif-Refugium,13,2,74,True
64,Ein großes Gebäude erfordert eure Hilfe!,14,2,75,False
65,Federfall-Quartier: Das Werk ist vollendet!,15,2,79,True
66,,0,1,0,True
67,,0,1,0,True
68,,0,1,0,True
69,,0,1,0,True
70,,0,1,0,True
71,Westliches Himmelsang,1,2,80,True
72,Schuttarbeiten in Himmelsang!,2,2,81,False
73,Pflastersetzer für Himmelsang!,3,2,83,False
74,Ein Kulturviertel entsteht!,4,2,86,False
75,Gemeinsame Schaffenskraft!,5,2,89,False
76,Die letzten Arbeiten stehen an in Himmelsang!,6,2,92,False
77,Eine Passage für die Barden!,7,2,94,True
78,Handwerker zur Balladenpassage!,8,2,95,False
79,Östliches Himmelsang,9,2,97,False
80,Schaufeln und Schubkarren gesucht!,10,2,98,False
81,Straßenarbeiten im östlichen Himmelsang!,11,2,100,False
82,Am Anfang war das Fundament,12,2,103,True
83,Häuser fürs Volk!,13,2,106,False
84,Winterliche Wonnen,14,2,108,True
85,Eine Therme entsteht!,15,2,109,False
86,Zu euren Ehren,16,2,111,False
87,Die Himmelsstadt steht!,17,2,112,True
88,,0,1,0,True
89,Das Himmelsfest,1,2,113,True
90,Fêtes,6,3,112,True
