#,Text,String,Genre,LegacyQuestID,SortKey
0,,,0,0,0
1,Sibyllinischer Singsang,,344,0,1
2,Der Schatz im Meer,,344,1,2
3,Llymlaens Legende,,344,2,3
4,Duell an Deck,,344,3,4
5,Der Himmel brennt,,344,4,5
6,Der Fluch des Waldes,,344,5,6
7,Der Groll der Gebieter,,344,6,7
8,Der Wald ruft,,344,7,8
9,Ein bewegtes Fest,,344,8,9
10,Die goldene Stadt,,344,9,10
11,Kollateralschaden,,344,10,11
12,Die latente Gefahr,,344,11,12
13,Beginn einer Freundschaft,,344,12,13
14,Rettung der Sylphen,,344,13,14
15,Zwischen den Fronten,,344,14,15
16,Ein kühner Plan,,344,15,16
17,Der Gott der Flammen,,344,16,17
18,Befreiung der Befreier,,344,17,18
19,In eine unsichere Zukunft,,344,18,19
20,Die Macht des Geldes,,346,59,20
21,Die Falschgeldaffäre,,346,60,21
22,Die Kehrseite der Münze,,346,61,22
23,Das Debüt,,346,79,23
24,Der Preis der Freiheit,,346,80,24
25,Das große Turnier,,346,81,25
26,Blutiger Baptismus,,346,99,26
27,Der Piratenball,,346,100,27
28,Befehl des Kapitäns,,346,101,28
29,Tipps für Abenteurer,,346,139,29
30,Tipps für Abenteurer,,346,140,30
31,Tipps für Abenteurer,,346,141,31
32,Auswahl eines neuen Partners,,346,143,32
33,Gemeinsam stark,,346,159,33
34,Der finstere Wald,,346,160,34
35,Schatten der Vergangenheit,,346,161,35
36,Kein Grund zum Klagen,,346,179,36
37,Lockruf des Goldes,,346,180,37
38,Sicheres Geleit,,346,181,38
39,Bestellte Blutrache,,346,239,39
40,Die Rivalin,,346,240,40
41,Die Lehre Nald'thals,,346,241,41
42,Im Dienste der Gebieter,,346,259,42
43,Des Ritters Traum,,346,260,43
44,Stimmen im Wind,,346,261,44
45,Kleine Lehrer,,346,299,45
46,Kleine Teufel,,346,300,46
47,Ausflug ins Grüne,,346,301,47
48,Auf einem Ohr taub,,346,319,48
49,Sirenengesang,,346,320,49
50,Insel der Versuchungen,,346,321,50
51,Von herrlicher Gestalt,,346,359,51
52,F'lhaminns Blume,,346,360,52
53,Die Kordialklinge,,346,361,53
54,Lebensrettendes Leder,,346,379,54
55,Markenschutz muss sein,,346,380,55
56,Reparatur-Abitur,,346,381,56
57,Akt I: Rot,,346,399,57
58,Akt II: Asche,,346,400,58
59,Akt III: Schnee,,346,401,59
60,Abgrundtiefer Schlaf,,346,419,60
61,Der Jüngling und der Drache,,346,420,61
62,Träum ich oder wach ich,,346,421,62
63,Showdown,,346,439,63
64,Der verschwundene Kunde,,346,440,64
65,Die Suppe versalzen,,346,441,65
66,Ein Fragment vergangener Zeiten,,346,459,66
67,Sabotage,,346,460,67
68,Die Ausreißerin,,346,461,68
69,Die Wurzeln Gridanias,,346,479,69
70,Fernweh,,346,480,70
71,Mogrys auf Blumen betten,,346,481,71
72,Fischrücken bezwingen,,346,499,72
73,Terz am Teich,,346,500,73
74,Eine gute Zeit,,346,501,74
75,"Götterdämmerung, Akt I „Ifrit“",,345,626,75
76,"Verhört, versenkt, verzweifelt",,345,632,76
77,Endgültige Übergangslösung,,345,633,77
78,Auge um Auge,,345,635,78
79,Der richtige Pfiff,,345,637,79
80,"Harte Schale, weicher Kern",,345,638,80
81,Der verlorene Sohn,,345,639,81
82,Werben und umwerben,,345,640,82
83,Das Rauschen des Meeres,,345,641,83
84,Im Trüben fischen,,345,642,84
85,Vom richtigen Zeitpunkt,,345,643,85
86,Dreck am Stecken,,345,645,86
87,Im Namen der Kunst,,345,647,87
88,Der Widerspenstigen Zähmung,,345,652,88
89,Pfade der Erleuchtung,,345,653,89
90,Elementarentschärfung,,345,654,90
91,Vegetarismus Venerabile,,345,655,91
92,Schelmisches Schlitzohr,,345,657,92
93,Wie im Märchen,,345,658,93
94,Schocktherapie,,345,659,94
95,Der Kampf um Anerkennung,,345,661,95
96,Lonsyggs Logbuch,,345,662,96
97,Lass Blumen sprechen,,345,663,97
98,Tödliche Arglosigkeit,,345,664,98
99,Steinernes Schweigen,,345,665,99
100,Das Gesetz des Waldes,,345,666,100
101,Geld stinkt nicht,,345,667,101
102,Von Goblins beklaut,,345,668,102
103,Nach den Gerechten sehen,,345,673,103
104,Scharfsichtige Bestechung,,345,674,104
105,Insomnie,,345,675,105
106,Der Fluch des Klans,,345,676,106
107,Nimm deine Ware und geh,,345,678,107
108,Schutzwald-Waldschutz,,345,679,108
109,Lös dich in Wohlgefallen auf,,345,680,109
110,Die einzige Spur,,345,681,110
111,"Gute Wache, böse Wache",,345,682,111
112,Von Dodos gejagt,,345,683,112
113,"Horch, was kommt von draußen rein",,345,684,113
114,Der Preis der Freiheit,,345,685,114
115,Erz auf zwei Beinen,,345,686,115
116,Unlauterer Wettbewerb,,345,689,116
117,Ruf nach Unsterblichkeit,,345,694,117
118,Panik auf der Alm,,345,705,118
119,Am Leben kleben,,345,706,119
120,Blutige Rituale,,345,707,120
121,Spenden macht selig,,345,725,121
122,Blut und Spiele,,345,726,122
123,Gerüchte um den Schwarzmarkt,,345,727,123
124,Höllenschlünde hoch im Himmel,,345,733,124
125,Ein Erntefest organisieren,,345,734,125
126,Unorganisiertes Verbrechen,,345,735,126
127,Das Herz der Unendlichkeit,,345,736,127
128,Auf der Hut vor Feindesflut,,345,743,128
129,Schuss ins Herz,,345,744,129
130,Gerüchterstattung,,345,745,130
131,Saliah Ahldbhar,,345,752,131
132,Blutige Nachforschungen,,345,753,132
133,Die ausgegrabene Wahrheit,,345,754,133
134,Rostschutzmittel,,345,755,134
135,Auf den Säbelzahn gefühlt,,345,761,135
136,Beichtvater der Azeyma,,345,762,136
137,Bittere Medizin,,345,763,137
138,Der Fluch des Fungus,,345,764,138
139,Der neugierige Goblin,,345,770,139
140,Ein sattes Geschäft,,345,771,140
141,Saure Traubenklauberei,,345,772,141
142,Ratten verlassen das stinkende Schiff,,345,773,142
143,Das Ei der Weisen (Ul'dah),,345,788,143
144,Rück-Eioberung (Ul'dah),,345,789,144
145,Das Ei der Weisen (Gridania),,345,793,145
