#,Unknown0,Unknown1,Unknown2,Unknown3
0,,,0,0
1,Mahatma des Widders,Kraft des Beteuerns,0,0
2,Mahatma des Stiers,Kraft des Besitzens,0,0
3,Mahatma der Zwillinge,Kraft des Erwägens,0,0
4,Mahatma des Krebses,Kraft des Ableitens,0,0
5,Mahatma des Löwen,Kraft des Wollens,0,0
6,Mahatma der Jungfrau,Kraft des Analysierens,0,0
7,Mahatma der Waage,Kraft des Abwägens,0,0
8,Mahatma des Skorpions,Kraft des Verlangens,0,0
9,Mahatma des Schützen,Kraft des Verstehens,0,0
10,Mahatma des Steinbocks,Kraft des Dienens,0,0
11,Mahatma des Wassermanns,Kraft des Erkennens,0,0
12,Mahatma der Fische,Kraft des Glaubens,0,0
