#,Name,Description,Icon,Image
0,,,0,0
1,Das säubernde Silkie der Sultana,"Ich war wahrlich überrascht davon, dass das Silkie des alten Palastes das Werk meiner Mutter war! Diese Entdeckung ließ mich Papashan aufsuchen, denn er kannte meine Mutter am besten. Abgesehen von meinem Vater, natürlich. Selbstverständlich formulierte ich meine Fragen sehr delikat, auf dass er mir und meinen unterirdischen Expeditionen nicht auf die Schliche kommt.
Und so sprach er liebevoll von ihrer Vorliebe fürs Putzen - eine Angewohnheit, die sie auch in den königlichen Gemächern nicht abzulegen gedachte. Ihre Zofen waren davon regelrecht empört und mühten sich, noch jeden Besen und jede Bürste vor ihr zu verbergen, damit die Hände der Sultana nicht mit Schmutz besudelt werden mögen. Ihres Werkzeuges derart beraubt, übte sie Rache, indem sie sich einen sharlayanischen Hauslehrer kommen ließ, der sie die Beschwörung eines gigantischen, mäuseartigen Familiars lehrte. Es war von einem so ausgeprägten Reinheitsfimmel, dass es sogar die Wachen mit bestimmter Regelmäßigkeit in die Enge trieb, um ihre Rüstungen blitzblank zu polieren - zur großen Belustigung des restlichen Palastes. Doch eines Tages war das Silkie plötzlich verschwunden.
Ich kann nur vermuten, dass sein Verschwinden auf dem sich zuspitzenden Konflikt mit den Republikanern beruht. Meine Mutter hatte wohl immer weniger Gelegenheit, sich in ihren geheimen Garten davonzustehlen und beauftragte stattdessen ihr Familiar, ihn in ihrer Abwesenheit zu pflegen. Welch sture, eigensinnige Seele sie doch war! Ein Putzfamiliar zu erschaffen, das ist eine Sache. Es mit derartigen Kräften auszustatten, ist wiederum eine ganz andere ...",70501,70401
2,Von Stolz und Akzeptanz,"Mit dem Blick auf zukünftige Expeditionen gerichtet, begann ich, die Palastarchive zu durchforsten. Meine Suche galt allen Dokumenten, die Sil'dih auch nur am Rande erwähnten. Auf sonderlich viel neue Information stieß ich dabei allerdings nicht. Nur ein Bericht erregte meine Aufmerksamkeit: Der eines Soldaten aus Ul'dah, der über seine Erfahrungen im Kampf gegen die Untoten geschrieben hatte, Seite an Seite mit den Amalj'aa. Er befasste sich mit der gänzlich unter­schied­lichen Kriegsführung jener neuen Verbündeten und welchen Einfluss diese Unterschiede auf die gemeinsamen Bemühungen hatten.
Die untoten Horden, die die Kanäle von Sil'dih überrannten, waren so zahllos wie unter­schied­lich begabt, was ihr Kampfgeschick betraf. Der Autor war der Ansicht, dass man sich auf die schwächeren Exemplare konzentrieren sollte, um ihre Zahl auf ein überschaubares Maß zu schrumpfen. Nicht jedoch die Amalj'aa. Das Volk von stolzen Kriegern wollte sich stets dem mächtigsten Feind stellen, um diesen zuerst außer Gefecht zu setzen. Diese Zurschaustellung der eigenen Stärke, so erklärten sie dem verärgerten Soldaten, wäre die beste Art der Kriegsführung. Jede andere Strategie, darunter auch die, sich den weniger gefährlichen Feinden zuzuwenden, würde Zweifel an den eigenen Fä­hig­kei­ten aufkommen lassen.
Es schien, als hätte man zwar gegenseitigen Respekt gelernt und ausgeübt, doch letzten Endes kämpfte jedes Volk so, wie man es selbst für richtig hielt. So hielt auch unser Soldat an seiner eigenen Vorgehensweise fest und fokussierte sich auf die Schwächsten der Untoten. Zweifelsohne ein interessanter kultureller Aspekt, aber wird es auch ein hilfreicher sein? Das wird wohl die Zeit zeigen.",70502,70402
3,Ein Fleckchen in der Sonne,"Er war ein Mitglied einer königlichen Dynastie. Sie war die Tochter eines schlichten Handelshauses. Getroffen haben sie sich bei einem Bankett im Palast, das Kontakte zwischen Adel und Handel stärken sollte. Und es war Liebe auf den ersten Blick. Eine Geschichte, die ich immer wieder gerne hörte - sie ist so unglaublich romantisch! Mutter erzählte mir auch von dem abgelegenen Ort, an dem sie sich immer mit Vater traf, ehe sie verheiratet waren. Ein sonnendurchfluteter Garten am Ende eines geheimen Tunnels, in dem sie sich aneinander erfreuen konnten, gänzlich abseits von neugierigen Blicken. Eben jener Zufluchtsort, den wir auf unserer Expedition entdeckt haben, da bin ich mir sicher!
Als sie schließlich ihre Verlobung bekanntgaben, wurde in der ganzen Stadt darüber diskutiert, an welch traumhaften Ort er ihr wohl den Antrag gemacht hat. Unverbesserlich, wie unsere Händler nun einmal sind, schlugen die natürlich enorme Profite aus dieser brodelnden Gerüchteküche. Die Wahrheit kam dennoch nie ans Licht, und nachdem ich besagten Ort nun mit eigenen Augen gesehen habe, verstehe ich auch, wieso.
So stelle ich mir die beiden in jungen Jahren vor, wie sie sich zwischen taubedeckten Blütenblättern einem müßigen Morgen hingeben. Ganz für sich, in ihrem geheimen Garten, der sie vor Thanalans heißem Sand bewahrt. Dieser Gedanke zaubert mir ein Lächeln auf die Lippen und ich muss zugeben, dass meine Erinnerungen bislang immer von Trauer getrübt waren. Hielt der Kummer wahrlich so lange an mir fest ...?",70503,70403
4,Der Schlüssel zur Erinnerung,"Zu meinem fünften Namenstag schenkten mir meine Eltern einen silbergeschmiedeten Schlüssel, sagten mir jedoch nicht, zu welchem Schloss er gehört. „Wenn du groß bist, dann zeigen wir dir den wunderbaren Ort, den dieser Schlüssel schützt.“, erklärte mir meine Mutter. Vater nickte zustimmend und fügte an: „Dort schlummern jene Erinnerungen, die weder wir noch Ul'dah jemals vergessen dürfen.“ Für mich und meinen fünfjährigen Verstand bedeutete das damals nur eines: Sie ließen mich auf mein Geschenk warten! Ach, wie war ich damals zornig und beleidigt! Und jetzt klammere ich mich so verzweifelt an diese blasse Erinnerung, als wäre sie die letzte Münze im Beutel einer vom Glück verlassenen Händlerin.
Viel zu früh wurden meine Eltern in Thals ewige Hallen gerufen. Ihr plötzliches Fehlen riss ein klaffendes Loch in meine Seele und schien mich regelrecht zu betäuben. Meiner Thronbesteigung folgten bittere Tage des Kummers und der Ungewissheit. Es kam mir vor, als stolperte ich ziellos durch die Wüste, gefangen zwischen glutheißem wie bitterkaltem Sand. Jegliche Gedanken an Schlüssel und geheime Orte wurden beiseite geschoben und vergessen.
Weshalb nur hatten sie ihrer so jungen Tochter ein derart schickalsschwangeres Geschenk gemacht? Hatten sie den „Unfall“ gar kommen sehen, der sie dahinraffte? Oder verfolgten sie doch ein gänzlich anderes Ziel? Ich werde sie nie nach ihren wahren Motiven fragen können. Sicher bin ich mir nur einer Sache: Sie vertrauten mir den Schlüssel aus gutem Grund an.",70504,70404
5,Auf Vaters Pfaden,"Die Amalj'aa errichteten Zahar'ak, als sie sich Ul'dahs Kampf gegen die untote Plage in den Aquädukten anschlossen. Wenn Zahar'ak als ihr Hauptlager diente, dürften die alten Festungsanlagen, durch die wir gekommen sind, eine Art Vor- oder Außenposten gewesen sein. Weshalb aber hinterließen mir meine Eltern einen Schlüssel, der mich in diese Anlagen führt? Nach dem Tod meines Vaters fand man sein Tagebuch, in dem er von „unwiderlegbaren Beweisen der Allianz“ geschrieben hatte. Vielleicht gibt es an diesem Ort doch noch mehr, das es zu entdecken gilt.
Zu seinen Lebzeiten war mein Vater stets ein eiserner Gegner des Ediktes zur Verbannung der Freundesvölker. Ihm entgegen standen die Republikaner, die vor allem Konkurrenz verdrängen wollten, um ihre besonderen Konzessionen und Privilegien zu bewahren. Letztlich war es die Unterstützung des Scor­pio-Krei­ses, welche sie ihren Willen über den des Sultans stellen ließ, und sie erzwangen ein Gesetz aus ihrem Vorschlag. Vater gab sich jedoch nicht geschlagen und plante, diese Geschichte an die Öffentlichkeit zu bringen. Seine Waffen sollten nicht Dokumente und Schriften sein, die viel zu leicht zu fälschen waren - nein, mit handfesten Beweisen würde er seinem Volk zeigen, was die Amalj'aa zu Ul'dahs Wohlstand beigetragen hatten. Doch dann geschah jener „Unfall“ und brachte sein Bestreben nach Harmonie und Verständnis zu einem jähen Ende, ehe es richtig begonnen hatte.
Dies führt mich zurück zu besagten Beweisen, die er in seinem Tagebuch erwähnte. Ich weiß weder, wie sie aussehen sollen oder ob sie überhaupt existieren. Aber sollten wir beim Durchsuchen der vergessenen Festungsanlage auf Hinweise stoßen, wäre das ein Durchbruch auf dem Weg zu einem beständigen Frieden mit den Amalj'aa. Wenn ich den Traum meines Vaters verwirklichen will, *muss* ich jene Beweise finden.",70505,70405
6,Die Sünden Ul'dahs,"Als der Held der Amalj'aa seinem Sarkophag entstieg, gefror mir glatt das Blut in den Adern. Er muss sich während der Kämpfe gegen die Untoten eine Verletzung zugezogen haben, sodass jener Fluch letztlich einen Weg in sein Fleisch fand ...
Das Zombie-Pulver wurde von den Thaumaturgen Ul'dahs entwickelt und auf Befehl des Sultans im Krieg gegen Sil'dih eingesetzt. Sasagan der Dritte verbreitete noch die Unwahrheit, dass es Sil'dih selbst war, die diese grausige Alchemie ins Leben gerufen hatte, um das eigene Heer in unsterbliche Soldaten zu verwandeln. Eine Anklage der Thorne zog Sasagan den Dritten später zur Rechenschaft und führte damit die erste Ul-Dynastie zu ihrem Ende. Seine Lügen überdauerten ihn allerdings und gelten heute als historischer Fakt.
Diese Täuschung entsprang nicht bloß dem Wunsch, die Autorität der Ul-Dynastie zu wahren, sondern vor allem das Ansehen des Nald'thal-Ordens - eine Institution, die untrennbar mit der Thaumaturgie verwoben ist. Zumal man sich nur schwerlich vorstellen kann, dass das Volk die bittere Wahrheit bereitwillig akzeptieren würde, dass ihre Stadt auf dem gemeuchelten Leichnam einer anderen erbaut wurde. Doch ohne einen klaren Blick auf die Ver­gangen­heit werden wir keinen sicheren Pfad gen Zukunft finden können. Der Anblick des verwesenden Amalj'aa war eine gar scharfe Mahnung: Als Sultana des Hauses Ul ist es meine unumstößliche Pflicht, die Verantwortung für die Sünden meiner Vorfahren zu tragen. Und auch wenn wir für die Wahrheit bluten müssen, so wie Ishgard für die ihre blutete, ist es nun an der Zeit, unsere Geschichte ins rechte Licht zu rücken.",70506,70406
7,Von Myrrhe und Gebeten,"Ich wollte mich mit den Amalj'aa zu einer bestimmten Facette unserer Expedition beratschlagen, doch es ist mir nicht gelungen, das Thema in einer unserer regelmäßigen Sitzungen anzubringen. Sollte bekannt werden, dass sich die Sultana aus dem Palast davonstahl, um geheimen Nach­for­schungen nachzugehen, zöge dies einen regelrechten Sturm aus Konsequenzen für meine geschätzte Begleitung nach sich. Nein, hier ist Diskretion gefragt.
Daher wandte ich mich nach einer solchen Sitzung direkt an den Stammesführer der Amalj'aa, und nach den üblichen Höflichkeitsfloskeln lenkte ich das Gespräch auf die Bräuche seines Stammes. Ich erklärte ihm, dass der Sarg eines Amalj'aa-Kriegers gefunden wurde, der dem Untod anheimgefallen war und bat ihn, mir zu erläutern, mit welchen traditionellen Riten seiner Seele die ewige Ruhe beschert werden könne.
Natürlich war er von derlei Kunde überrascht und betonte als Erstes, wie wichtig es sei, den untoten Schlummer des Kriegers nicht zu stören. „Vergeht euch nicht an seinem Sarg“, warnte er zunächst. „Stellt euch lediglich davor und ehrt die tapfere Seele darin mit einer Verbeugung. Dann erweist ihm den angemessenen Respekt und zelebriert schließlich seinen Triumph als großer Krieger. Zuletzt kniet ihr euch vor ihn, auf ein letztes Gebet.“
So ehrten die Amalj'aa ihre Gefallenen und entzündeten Myrrhe, um die geehrten Seelen noch einmal zu reinigen und auf ihre letzte Reise zu schicken.
Als ich ihm zuhörte, schossen mir plötzlich Abertausend Fragen in den Kopf, die ich bislang nie zu stellen gedacht hätte. Und so wurde ich von Scham übermannt, wie wenig ich über unsere Verbündeten weiß, und fühle mich nun entschlossener denn je, mehr über die reiche Kultur dieses stolzen Volkes zu lernen.",70507,70407
8,Ul'dah und Sil'dih,"Nachdem Belah'dia in Ul'dah und Sil'dih zerbrochen war, wurde die Kluft mit der Zeit nur tiefer. Die Geschichtsbücher sprechen von mehr und mehr eskalierenden Feindseligkeiten, wie schwer Sil'dih unter dem Zombie-Pulver litt und diese Alchemie den Konflikt letztlich zu einem grausamen Ende brachte. Ul'dah sollte sich später auf der gefallenen Metropole niederlassen, nach wie vor gespickt von den Ruinen des einstigen Widersachers - manche als Narben in der Landschaft, andere ungesehen tief unter der Erde. Jene Ruinen erwiesen sich bei der Verlegung der städtischen Wasserwege von unschätzbarem Wert und so wurde dieses unterirdische System als die Kanäle von Sil'dih bekannt. In Anbetracht der Tatsache, dass sich der Konflikt vor allem wegen Wasserquellen verschärfte, hinterlässt dieser Name doch einen besonders bitteren Geschmack in meinem Mund.
Abgesehen davon hätte es mich auch nicht überraschen sollen, dass uns eben jene Tunnel in andere Teile Sil'dihs führten. Dennoch war ich richtiggehend geschockt, mich plötzlich im Palast wiederzufinden! Wäre das Bauwerk nicht unter die Erde gesunken, hätten Thanalans Sand, Sonne und Wind es zweifelsohne zerfressen. Doch in ihrem kühlen, unterirdischen Kokon sind die Gemächer nahezu perfekt erhalten geblieben.
Wie selten es vorkommen mag, Ruinen in derlei gutem Zustand zu finden. Dieser Fund wird unsere Historiker noch jahrelang beschäftigen, sofern sie ihren Weg durch die verschlungenen Tunnel finden. Einen sicheren Weg zu schaffen, soll der erste Schritt sein.",70508,70408
9,Die Fahnen gehisst,"Als wir auf das Banner von Sil'dih stießen, unserer eigenen Flagge so ähnlich, wurde ich daran erinnert, dass die ersten Sultane dieser verfeindeten Nationen Zwillingsbrüder waren. Doch die Wappen haben mit brüderlichem Einklang wenig zu tun. Zu Belah'dias Zeiten thronten die Flamme der Magie und die Frucht der Weisheit auf den Waagschalen. Ul'dah machte sich die Flamme zu eigen und glich sie mit dem Diamant des Reichtums aus. Sil'dih hingegen wählte die Frucht und balancierte sie mit dem Helm der Macht. Jedes Königreich wähnte sich als den rechtmäßigen Erben von Belah'dia und so zeigten ihre Banner jeweils ihr reiches Vermächtnis.
Mit beiden Flaggen wurde ein Symbol der Stärke gehisst, doch der Unterschied liegt in ihrer jeweiligen Interpretation: Ul'dah glaubte an die Macht seiner Magie, während Sil'dih sich seinem Militär verschrieb. Die Gladiatoren in unserem Kolosseum könnten daher die direktesten Nachkommen von Sil'dihs Philosophie sein.
Denke ich jetzt an unsere Begegnung mit dem künstlichen Gladiator in den Ruinen zurück, muss ich zugeben, dass es kaum einen besseren Ausdruck dieser Glaubenssätze gibt: von der perfekten Traubenprägung auf seinem Helm bis zu seiner glänzenden Gestalt, die ebenso silbern glänzt wie die Waagschalen von Sil'dih. All die langen Jahre stand er Wache, dem toten Meister und dem gefallenen Reich treu ergeben. Ich muss die Feder nun niederlegen, ehe mich die Melancholie übermannt.",70509,70409
